特征,来源,分组
symbol,事件级状态表,其他
source_tf,A_事件级(62维跨动作不变),其他
source_ob_internal,事件级状态表,结构
source_ob_structure,A_事件级(62维跨动作不变),结构
source_ob_bias,A_事件级(62维跨动作不变),OB属性
source_ob_width_atr5,A_事件级(62维跨动作不变),OB属性
touch_ordinal,A_事件级(62维跨动作不变),OB属性
is_first_touch,事件级状态表,OB属性
touch_intrabar_far_edge_breach,事件级状态表,OB属性
touch_close_beyond_far_edge,事件级状态表,结构
touch_reclaimed_by_close,事件级状态表,结构
group_candidate_count,事件级状态表,OB属性
group_has_5m,事件级状态表,OB属性
group_has_15m,事件级状态表,OB属性
group_has_1h,事件级状态表,OB属性
touch_behavior,A_事件级(62维跨动作不变),OB属性
quant_width,事件级状态表,OB属性
quant_width_percentile_train,A_事件级(62维跨动作不变),OB属性
quant_top30_train,事件级状态表,OB属性
quant_crossed,事件级状态表,OB属性
quant_state,A_事件级(62维跨动作不变),OB属性
swing_bias_15m,事件级状态表,趋势
swing_bias_1h,事件级状态表,趋势
swing_bias_5m,事件级状态表,趋势
internal_bias_15m,事件级状态表,趋势
internal_bias_1h,事件级状态表,趋势
internal_bias_5m,事件级状态表,趋势
last_swing_structure_type_15m,事件级状态表,结构
last_swing_structure_type_1h,事件级状态表,结构
last_swing_structure_type_5m,事件级状态表,结构
last_swing_structure_bias_15m,事件级状态表,趋势
last_swing_structure_bias_1h,事件级状态表,趋势
last_swing_structure_bias_5m,事件级状态表,趋势
last_swing_structure_age_15m,事件级状态表,结构
last_swing_structure_age_1h,事件级状态表,结构
last_swing_structure_age_5m,事件级状态表,结构
last_internal_structure_type_15m,事件级状态表,结构
last_internal_structure_type_1h,事件级状态表,结构
last_internal_structure_type_5m,事件级状态表,结构
last_internal_structure_bias_15m,事件级状态表,趋势
last_internal_structure_bias_1h,事件级状态表,趋势
last_internal_structure_bias_5m,事件级状态表,趋势
last_internal_structure_age_15m,事件级状态表,结构
last_internal_structure_age_1h,事件级状态表,结构
last_internal_structure_age_5m,事件级状态表,结构
dsa_direction_15m,事件级状态表,DSA
dsa_direction_1h,事件级状态表,DSA
dsa_direction_5m,事件级状态表,DSA
dsa_raw_dsa_vwap_dev_pct_15m,事件级状态表,DSA
dsa_raw_dsa_vwap_dev_pct_1h,事件级状态表,DSA
dsa_raw_dsa_vwap_dev_pct_5m,事件级状态表,DSA
momentum_direction_15m,A_事件级(62维跨动作不变),动量
momentum_direction_1h,A_事件级(62维跨动作不变),动量
momentum_direction_5m,A_事件级(62维跨动作不变),动量
sqzmom_val_15m,事件级状态表,动量
sqzmom_val_1h,事件级状态表,动量
sqzmom_val_5m,事件级状态表,动量
sqzmom_delta_15m,事件级状态表,动量
sqzmom_delta_1h,事件级状态表,动量
sqzmom_delta_5m,事件级状态表,动量
above_ob_bias_15m,事件级状态表,OB属性
above_ob_bias_1h,事件级状态表,OB属性
above_ob_bias_5m,事件级状态表,OB属性
above_ob_structure_class_15m,事件级状态表,结构
above_ob_structure_class_1h,事件级状态表,结构
above_ob_structure_class_5m,事件级状态表,结构
below_ob_bias_15m,事件级状态表,OB属性
below_ob_bias_1h,事件级状态表,OB属性
below_ob_bias_5m,事件级状态表,OB属性
below_ob_structure_class_15m,事件级状态表,结构
below_ob_structure_class_1h,事件级状态表,结构
below_ob_structure_class_5m,事件级状态表,结构
ob_above_atr_15m,事件级状态表,风险几何
ob_above_atr_1h,事件级状态表,风险几何
ob_above_atr_5m,事件级状态表,风险几何
ob_below_atr_15m,事件级状态表,风险几何
ob_below_atr_1h,事件级状态表,风险几何
ob_below_atr_5m,事件级状态表,风险几何
internal_high_atr_5m,事件级状态表,风险几何
internal_high_relation_5m,事件级状态表,风险几何
internal_low_atr_5m,事件级状态表,风险几何
internal_low_relation_5m,事件级状态表,风险几何
swing_high_atr_5m,事件级状态表,风险几何
swing_high_relation_5m,事件级状态表,风险几何
swing_low_atr_5m,事件级状态表,风险几何
swing_low_relation_5m,事件级状态表,风险几何
dsa_vwap_dev_pct_5m,事件级状态表,DSA
internal_high_atr_15m,事件级状态表,风险几何
internal_high_relation_15m,事件级状态表,风险几何
internal_low_atr_15m,事件级状态表,风险几何
internal_low_relation_15m,事件级状态表,风险几何
swing_high_atr_15m,事件级状态表,风险几何
swing_high_relation_15m,事件级状态表,风险几何
swing_low_atr_15m,事件级状态表,风险几何
