symbol,direction,stop_atr,target_r,horizon,n,both_hit_rate,gap_stop_rate,gap_target_rate
ALL,follow,0.5,1.0,6,16483,0.096766,0.000546,0.000364
ALL,follow,0.5,1.5,6,16483,0.042711,0.000546,0.000728
ALL,follow,0.5,2.0,6,16483,0.018686,0.000607,6.1e-05
ALL,follow,0.5,2.5,6,16483,0.009768,0.000607,0.000485
ALL,follow,0.5,3.0,6,16483,0.005946,0.000607,0.000303
ALL,follow,0.75,1.0,6,16483,0.01814,0.000607,0.000789
ALL,follow,0.75,1.5,6,16483,0.006067,0.000728,0.000121
ALL,follow,0.75,2.0,6,16483,0.003458,0.000728,0.000303
ALL,follow,0.75,2.5,6,16483,0.002123,0.000728,6.1e-05
ALL,follow,0.75,3.0,6,16483,0.001517,0.000728,0.000121
ALL,follow,1.0,1.0,6,16483,0.004247,0.000971,0.000182
ALL,follow,1.0,1.5,6,16483,0.002305,0.000971,0.000364
ALL,follow,1.0,2.0,6,16483,0.001881,0.000971,0.0
ALL,follow,1.0,2.5,6,16483,0.001274,0.000971,0.000243
ALL,follow,1.0,3.0,6,16483,0.001213,0.000971,6.1e-05
ALL,follow,1.25,1.0,6,16483,0.002245,0.000182,0.000667
ALL,follow,1.25,1.5,6,16483,0.001577,0.000303,6.1e-05
ALL,follow,1.25,2.0,6,16483,0.001274,0.000303,0.000243
ALL,follow,1.25,2.5,6,16483,0.001213,0.000303,0.000182
ALL,follow,1.25,3.0,6,16483,0.001092,0.000303,0.0
ALL,follow,1.5,1.0,6,16483,0.00091,0.001213,0.000364
ALL,follow,1.5,1.5,6,16483,0.000364,0.001213,0.000121
ALL,follow,1.5,2.0,6,16483,0.000303,0.001213,6.1e-05
ALL,follow,1.5,2.5,6,16483,0.000182,0.001213,0.0
ALL,follow,1.5,3.0,6,16483,0.000182,0.001213,0.0
ALL,follow,2.0,1.0,6,16483,0.000607,6.1e-05,0.0
ALL,follow,2.0,1.5,6,16483,0.000243,6.1e-05,6.1e-05
ALL,follow,2.0,2.0,6,16483,0.000182,6.1e-05,0.0
ALL,follow,2.0,2.5,6,16483,0.000182,6.1e-05,0.0
ALL,follow,2.0,3.0,6,16483,0.000182,6.1e-05,0.0
ALL,follow,0.5,1.0,12,11214,0.110844,0.000713,0.000446
ALL,follow,0.5,1.5,12,11214,0.050473,0.000803,0.000357
ALL,follow,0.5,2.0,12,11214,0.022472,0.001248,8.9e-05
ALL,follow,0.5,2.5,12,11214,0.011682,0.001248,0.000535
ALL,follow,0.5,3.0,12,11214,0.007847,0.001248,0.000178
ALL,follow,0.75,1.0,12,11214,0.022026,0.000446,0.000535
ALL,follow,0.75,1.5,12,11214,0.007669,0.000624,0.000357
ALL,follow,0.75,2.0,12,11214,0.004548,0.000624,0.000178
ALL,follow,0.75,2.5,12,11214,0.002675,0.000624,0.000446
ALL,follow,0.75,3.0,12,11214,0.001783,0.000624,0.000268
ALL,follow,1.0,1.0,12,11214,0.004994,0.000981,0.000268
ALL,follow,1.0,1.5,12,11214,0.002854,0.000981,0.000178
ALL,follow,1.0,2.0,12,11214,0.002229,0.000981,8.9e-05
ALL,follow,1.0,2.5,12,11214,0.001516,0.00107,0.000624
ALL,follow,1.0,3.0,12,11214,0.001516,0.00107,0.000446
ALL,follow,1.25,1.0,12,11214,0.003032,0.000178,0.000803
ALL,follow,1.25,1.5,12,11214,0.001962,0.000178,0.000535
ALL,follow,1.25,2.0,12,11214,0.001516,0.000178,0.000624
ALL,follow,1.25,2.5,12,11214,0.001516,0.000178,0.000803
ALL,follow,1.25,3.0,12,11214,0.001338,0.000178,8.9e-05
ALL,follow,1.5,1.0,12,11214,0.000981,0.001427,0.000178
ALL,follow,1.5,1.5,12,11214,0.000178,0.001516,0.000446
ALL,follow,1.5,2.0,12,11214,0.000178,0.001516,0.000446
ALL,follow,1.5,2.5,12,11214,0.0,0.001516,0.000446
ALL,follow,1.5,3.0,12,11214,0.000268,0.001516,0.0
ALL,follow,2.0,1.0,12,11214,0.000446,0.000178,8.9e-05
ALL,follow,2.0,1.5,12,11214,8.9e-05,0.000178,0.000446
ALL,follow,2.0,2.0,12,11214,0.000268,0.000178,0.0
ALL,follow,2.0,2.5,12,11214,0.000268,0.000178,0.0
ALL,follow,2.0,3.0,12,11214,0.0,0.000178,0.0
ALL,follow,0.5,1.0,24,4101,0.089003,0.000975,0.000732
ALL,follow,0.5,1.5,24,4101,0.035601,0.001219,0.0
ALL,follow,0.5,2.0,24,4101,0.016337,0.001219,0.000244
ALL,follow,0.5,2.5,24,4101,0.008535,0.001219,0.001463
ALL,follow,0.5,3.0,24,4101,0.006096,0.001219,0.0
ALL,follow,0.75,1.0,24,4101,0.018288,0.0,0.0
ALL,follow,0.75,1.5,24,4101,0.007559,0.000488,0.000975
ALL,follow,0.75,2.0,24,4101,0.004877,0.000488,0.0
ALL,follow,0.75,2.5,24,4101,0.00317,0.000488,0.0
ALL,follow,0.75,3.0,24,4101,0.000975,0.000488,0.000488
ALL,follow,1.0,1.0,24,4101,0.004633,0.002438,0.000732
ALL,follow,1.0,1.5,24,4101,0.002438,0.002438,0.0
ALL,follow,1.0,2.0,24,4101,0.002438,0.002438,0.000732
ALL,follow,1.0,2.5,24,4101,0.000244,0.002438,0.000732
ALL,follow,1.0,3.0,24,4101,0.000244,0.002438,0.000244
ALL,follow,1.25,1.0,24,4101,0.002926,0.0,0.002195
ALL,follow,1.25,1.5,24,4101,0.001219,0.000244,0.0
ALL,follow,1.25,2.0,24,4101,0.000244,0.000244,0.000732
ALL,follow,1.25,2.5,24,4101,0.000244,0.000244,0.000488
ALL,follow,1.25,3.0,24,4101,0.0,0.000244,0.0
ALL,follow,1.5,1.0,24,4101,0.002438,0.001707,0.0
ALL,follow,1.5,1.5,24,4101,0.000244,0.001951,0.000488
ALL,follow,1.5,2.0,24,4101,0.000244,0.001951,0.000244
ALL,follow,1.5,2.5,24,4101,0.0,0.001951,0.000244
ALL,follow,1.5,3.0,24,4101,0.0,0.001951,0.0
ALL,follow,2.0,1.0,24,4101,0.001219,0.0,0.000732
ALL,follow,2.0,1.5,24,4101,0.000244,0.0,0.000244
ALL,follow,2.0,2.0,24,4101,0.0,0.0,0.0
ALL,follow,2.0,2.5,24,4101,0.0,0.0,0.0
ALL,follow,2.0,3.0,24,4101,0.0,0.0,0.0
ALL,fade,0.5,1.0,6,16483,0.096766,0.000364,0.000546
