symbol,source_tf,n,n_weighted,first_touch,retest,internal,swing,bull,bear,active_at_touch,mitigated_at_touch,mean_R_follow,mean_R_fade
AG,5m,3966,2886.8003,2144,1822,3468,498,2097,1869,3130,836,-0.041935,0.027359
AG,15m,1704,1076.2106,747,957,1528,176,895,809,1663,41,0.037537,0.017869
AG,1h,695,494.9891,193,502,642,53,406,289,689,6,-0.132824,0.102936
CU,5m,3361,2477.1288,1724,1637,3019,342,1770,1591,2782,579,0.032606,-0.024131
CU,15m,1638,1100.8192,626,1012,1484,154,840,798,1604,34,0.055819,-0.096289
CU,1h,633,454.0521,162,471,608,25,366,267,625,8,-0.056055,0.06159
RB,5m,2853,2062.4381,1265,1588,2437,416,1433,1420,2553,300,-0.055975,0.05369
RB,15m,1403,901.1504,471,932,1217,186,678,725,1386,17,-0.027006,0.056197
RB,1h,595,398.4115,149,446,531,64,273,322,584,11,0.103417,-0.155838
M,5m,2759,2008.2969,1245,1514,2412,347,1344,1415,2434,325,0.091049,-0.034834
M,15m,1298,846.5959,472,826,1201,97,679,619,1277,21,0.066572,-0.119335
M,1h,576,394.1073,130,446,529,47,260,316,573,3,0.023038,0.032281
