symbol,confluence,bias_relation,n,n_weighted,mean_R_follow,mean_R_fade
AG,only_5m,same_bias,2721,2455.0,-0.049927,0.044138
AG,only_5m,bias_conflict,9,4.0,-0.166667,0.166667
AG,only_15m,same_bias,768,726.0,0.095348,0.026444
AG,only_1h,same_bias,430,404.0,-0.161767,0.131515
AG,5m+15m,same_bias,1582,619.0,-0.025907,-0.043358
AG,5m+15m,bias_conflict,22,6.0,0.46875,0.53125
AG,5m+1h,same_bias,148,64.0,0.153601,-0.047015
AG,5m+1h,bias_conflict,10,4.0,-0.166667,0.166667
AG,15m+1h,same_bias,132,59.0,-0.308166,0.255402
AG,5m+15m+1h,same_bias,540,116.0,-0.005592,-0.104993
AG,5m+15m+1h,bias_conflict,3,1.0,0.0,1.0
CU,only_5m,same_bias,2280,2087.0,0.040371,-0.031066
CU,only_5m,bias_conflict,12,6.0,-0.050399,-0.050399
CU,only_15m,same_bias,826,792.0,0.086454,-0.144708
CU,only_1h,same_bias,370,360.0,-0.085985,0.048497
CU,5m+15m,same_bias,1326,535.0,-0.042164,-0.017922
CU,5m+15m,bias_conflict,6,3.0,,
CU,5m+1h,same_bias,209,93.0,-0.133974,0.151889
CU,5m+1h,bias_conflict,2,1.0,0.5,0.5
CU,15m+1h,same_bias,92,42.0,0.021903,0.07076
CU,5m+15m+1h,same_bias,506,112.0,0.252549,0.031642
CU,5m+15m+1h,bias_conflict,3,1.0,0.0,1.0
RB,only_5m,same_bias,1951,1745.0,-0.033477,0.034207
RB,only_5m,bias_conflict,14,7.0,-0.255096,-0.255096
RB,only_15m,same_bias,667,623.0,0.067064,0.006118
RB,only_1h,same_bias,340,303.0,0.205904,-0.291776
RB,5m+15m,same_bias,1112,439.0,-0.172248,0.144973
RB,5m+15m,bias_conflict,27,8.0,-0.112488,0.150012
RB,5m+1h,same_bias,154,69.0,-0.043829,0.148384
RB,5m+1h,bias_conflict,2,1.0,0.5,0.5
RB,15m+1h,same_bias,188,83.0,-0.08945,0.054293
RB,15m+1h,bias_conflict,3,1.0,-0.064956,-0.532478
RB,5m+15m+1h,same_bias,393,83.0,-0.207252,0.191757
M,only_5m,same_bias,1862,1691.0,0.067252,-0.012084
M,only_5m,bias_conflict,4,2.0,0.5,0.5
M,only_15m,same_bias,605,584.0,0.029584,-0.150769
M,only_1h,same_bias,306,295.0,-0.068295,0.017485
M,5m+15m,same_bias,1083,430.0,0.144919,-0.166256
M,5m+15m,bias_conflict,6,3.0,-0.223093,-0.223093
M,5m+1h,same_bias,172,79.0,0.119623,0.038966
M,5m+1h,bias_conflict,2,1.0,0.5,0.5
M,15m+1h,same_bias,139,67.0,0.1741,0.258964
M,15m+1h,bias_conflict,2,1.0,0.5,0.5
M,5m+15m+1h,same_bias,447,95.0,0.272972,0.013789
M,5m+15m+1h,bias_conflict,5,1.0,-1.0,-1.0
