symbol,source_tf,direction,horizon,n,n_weighted,mean_mfe_atr,mean_mae_atr,mean_net_atr,mfe_mae_ratio
AG,ALL,follow,6,5251,3621.0,1.189077,1.40071,-0.211633,0.84891
CU,ALL,follow,6,4513,3128.0,1.160457,1.290617,-0.13016,0.899149
RB,ALL,follow,6,3388,2293.0,1.093996,1.166874,-0.072878,0.937544
M,ALL,follow,6,3331,2270.0,1.169581,1.201676,-0.032096,0.973291
ALL,5m,follow,6,9898,7043.2474,1.16838,1.291114,-0.122734,0.904939
ALL,15m,follow,6,4632,2935.432,1.168969,1.261427,-0.092458,0.926704
ALL,1h,follow,6,1953,1333.3206,1.078823,1.287011,-0.208188,0.838239
AG,ALL,follow,12,3985,2644.0,1.675289,1.856637,-0.181348,0.902324
CU,ALL,follow,12,3266,2173.0,1.582956,1.768105,-0.18515,0.895283
RB,ALL,follow,12,1939,1196.0,1.45961,1.517105,-0.057495,0.962102
M,ALL,follow,12,2024,1268.0,1.681675,1.660541,0.021133,1.012727
ALL,5m,follow,12,6736,4565.4497,1.636724,1.764771,-0.128048,0.927442
ALL,15m,follow,12,3169,1881.513,1.610986,1.684982,-0.073996,0.956085
ALL,1h,follow,12,1309,834.0373,1.491315,1.731069,-0.239753,0.8615
AG,ALL,follow,24,2394,1598.0,2.212168,2.408494,-0.196325,0.918486
CU,ALL,follow,24,1707,1126.0,2.035348,2.15655,-0.121202,0.943798
ALL,5m,follow,24,2411,1660.5597,2.215517,2.336958,-0.121442,0.948034
ALL,15m,follow,24,1192,725.7025,2.182892,2.216141,-0.033249,0.984997
ALL,1h,follow,24,498,337.7378,1.669103,2.333557,-0.664454,0.715261
AG,ALL,fade,6,5251,3621.0,1.40071,1.189077,0.211633,1.177981
CU,ALL,fade,6,4513,3128.0,1.290617,1.160457,0.13016,1.112163
RB,ALL,fade,6,3388,2293.0,1.166874,1.093996,0.072878,1.066617
M,ALL,fade,6,3331,2270.0,1.201676,1.169581,0.032096,1.027442
ALL,5m,fade,6,9898,7043.2474,1.291114,1.16838,0.122734,1.105046
ALL,15m,fade,6,4632,2935.432,1.261427,1.168969,0.092458,1.079094
ALL,1h,fade,6,1953,1333.3206,1.287011,1.078823,0.208188,1.192977
AG,ALL,fade,12,3985,2644.0,1.856637,1.675289,0.181348,1.108249
CU,ALL,fade,12,3266,2173.0,1.768105,1.582956,0.18515,1.116965
RB,ALL,fade,12,1939,1196.0,1.517105,1.45961,0.057495,1.039391
M,ALL,fade,12,2024,1268.0,1.660541,1.681675,-0.021133,0.987433
ALL,5m,fade,12,6736,4565.4497,1.764771,1.636724,0.128048,1.078234
ALL,15m,fade,12,3169,1881.513,1.684982,1.610986,0.073996,1.045932
ALL,1h,fade,12,1309,834.0373,1.731069,1.491315,0.239753,1.160766
AG,ALL,fade,24,2394,1598.0,2.408494,2.212168,0.196325,1.088748
CU,ALL,fade,24,1707,1126.0,2.15655,2.035348,0.121202,1.059549
ALL,5m,fade,24,2411,1660.5597,2.336958,2.215517,0.121442,1.054814
ALL,15m,fade,24,1192,725.7025,2.216141,2.182892,0.033249,1.015232
ALL,1h,fade,24,498,337.7378,2.333557,1.669103,0.664454,1.39809
