symbol,touch_bin,n,n_weighted,mean_R_follow,mean_R_fade,target_hit_follow
AG,1,3084,2136.5057,-0.027829,0.024348,0.248286
AG,2,1460,1072.5533,-0.091521,0.036845,0.211364
AG,3,759,546.4365,0.041005,-0.011164,0.251627
AG,4+,1062,702.5045,-0.020745,0.098542,0.270764
CU,1,2512,1751.551,0.068089,-0.043921,0.267471
CU,2,1254,939.5992,0.031833,-0.07756,0.234074
CU,3,737,535.6064,0.048812,-0.044085,0.258621
CU,4+,1129,805.2434,-0.084521,0.045562,0.186579
RB,1,1885,1313.0369,-0.051465,0.015863,0.20625
RB,2,1100,790.3266,0.003134,0.02304,0.198198
RB,3,675,476.2651,-0.010905,-0.046329,0.216327
RB,4+,1191,782.3714,-0.031986,0.103335,0.188889
M,1,1847,1296.624,0.081064,-0.095875,0.298611
M,2,1078,787.7033,0.105899,-0.015747,0.29638
M,3,638,449.1291,0.043539,-0.048611,0.267399
M,4+,1070,715.5436,0.05543,0.010311,0.31236
