symbol,direction,policy,stop_atr,target_r,horizon,n,n_weighted,n_result,mean_R,mean_R_event,median_R,positive_R_rate,p10_R,p90_R,target_hit_rate,stop_hit_rate,timeout_rate,both_hit_rate,gap_stop_rate,gap_target_rate
AG,follow,conservative,0.5,1.0,6,5251,3621.0,5251,-0.077588,-0.078898,-1.0,0.460484,-1.0,1.0,0.459151,0.433251,0.002285,0.105313,0.000762,0.000381
CU,follow,conservative,0.5,1.0,6,4513,3128.0,4513,-0.02842,-0.024492,-1.0,0.487259,-1.0,1.0,0.486816,0.425659,0.002437,0.085088,0.000665,0.000665
RB,follow,conservative,0.5,1.0,6,3388,2293.0,3388,-0.077758,-0.133517,-1.0,0.431818,-1.0,1.0,0.431818,0.460744,0.004427,0.103011,0.000295,0.000295
M,follow,conservative,0.5,1.0,6,3331,2270.0,3331,-0.050088,-0.059352,-1.0,0.469529,-1.0,1.0,0.467727,0.431402,0.008106,0.092765,0.0003,0.0
ALL,follow,conservative,0.5,1.0,6,16483,11312.0,16483,-0.058508,-0.071278,-1.0,0.463751,-1.0,1.0,0.462841,0.43645,0.003943,0.096766,0.000546,0.000364
AG,follow,exclude,0.5,1.0,6,5251,3621.0,4698,0.010301,0.029524,1.0,0.514687,-1.0,1.0,0.459151,0.433251,0.002285,0.105313,0.000762,0.000381
CU,follow,exclude,0.5,1.0,6,4513,3128.0,4129,0.052685,0.066231,1.0,0.532574,-1.0,1.0,0.486816,0.425659,0.002437,0.085088,0.000665,0.000665
RB,follow,exclude,0.5,1.0,6,3388,2293.0,3039,0.009886,-0.03401,-1.0,0.481408,-1.0,1.0,0.431818,0.460744,0.004427,0.103011,0.000295,0.000295
M,follow,exclude,0.5,1.0,6,3331,2270.0,3022,0.040685,0.036829,1.0,0.517538,-1.0,1.0,0.467727,0.431402,0.008106,0.092765,0.0003,0.0
ALL,follow,exclude,0.5,1.0,6,16483,11312.0,14888,0.028107,0.028219,1.0,0.513434,-1.0,1.0,0.462841,0.43645,0.003943,0.096766,0.000546,0.000364
AG,follow,optimistic,0.5,1.0,6,5251,3621.0,5251,0.096397,0.131728,1.0,0.565797,-1.0,1.0,0.459151,0.433251,0.002285,0.105313,0.000762,0.000381
CU,follow,optimistic,0.5,1.0,6,4513,3128.0,4513,0.125672,0.145683,1.0,0.572347,-1.0,1.0,0.486816,0.425659,0.002437,0.085088,0.000665,0.000665
RB,follow,optimistic,0.5,1.0,6,3388,2293.0,3388,0.095814,0.072504,1.0,0.534829,-1.0,1.0,0.431818,0.460744,0.004427,0.103011,0.000295,0.000295
M,follow,optimistic,0.5,1.0,6,3331,2270.0,3331,0.124361,0.126178,1.0,0.562294,-1.0,1.0,0.467727,0.431402,0.008106,0.092765,0.0003,0.0
ALL,follow,optimistic,0.5,1.0,6,16483,11312.0,16483,0.109986,0.122254,1.0,0.560517,-1.0,1.0,0.462841,0.43645,0.003943,0.096766,0.000546,0.000364
AG,follow,conservative,0.5,1.5,6,5251,3621.0,5251,-0.025125,-0.005659,-1.0,0.398972,-1.0,1.5,0.392116,0.550181,0.011236,0.046467,0.000762,0.0
CU,follow,conservative,0.5,1.5,6,4513,3128.0,4513,0.033599,0.038843,-1.0,0.416574,-1.0,1.5,0.411035,0.542876,0.008863,0.037226,0.000665,0.001551
RB,follow,conservative,0.5,1.5,6,3388,2293.0,3388,-0.051417,-0.112731,-1.0,0.353601,-1.0,1.5,0.347698,0.587957,0.017119,0.047226,0.000295,0.0
M,follow,conservative,0.5,1.5,6,3331,2270.0,3331,-0.023289,-0.009576,-1.0,0.396277,-1.0,1.5,0.390273,0.554788,0.015311,0.039628,0.0003,0.001501
ALL,follow,conservative,0.5,1.5,6,16483,11312.0,16483,-0.013848,-0.016274,-1.0,0.393921,-1.0,1.5,0.387793,0.556877,0.012619,0.042711,0.000546,0.000728
AG,follow,exclude,0.5,1.5,6,5251,3621.0,5007,0.012338,0.042797,-1.0,0.418414,-1.0,1.5,0.392116,0.550181,0.011236,0.046467,0.000762,0.0
CU,follow,exclude,0.5,1.5,6,4513,3128.0,4345,0.06492,0.07901,-1.0,0.432681,-1.0,1.5,0.411035,0.542876,0.008863,0.037226,0.000665,0.001551
RB,follow,exclude,0.5,1.5,6,3388,2293.0,3228,-0.020115,-0.068753,-1.0,0.371128,-1.0,1.5,0.347698,0.587957,0.017119,0.047226,0.000295,0.0
M,follow,exclude,0.5,1.5,6,3331,2270.0,3199,0.013547,0.031292,-1.0,0.412629,-1.0,1.5,0.390273,0.554788,0.015311,0.039628,0.0003,0.001501
ALL,follow,exclude,0.5,1.5,6,16483,11312.0,15779,0.020595,0.027616,-1.0,0.411496,-1.0,1.5,0.387793,0.556877,0.012619,0.042711,0.000546,0.000728
AG,follow,optimistic,0.5,1.5,6,5251,3621.0,5251,0.067391,0.110509,-1.0,0.445439,-1.0,1.5,0.392116,0.550181,0.011236,0.046467,0.000762,0.0
CU,follow,optimistic,0.5,1.5,6,4513,3128.0,4513,0.107128,0.131907,-1.0,0.4538,-1.0,1.5,0.411035,0.542876,0.008863,0.037226,0.000665,0.001551
RB,follow,optimistic,0.5,1.5,6,3388,2293.0,3388,0.028445,0.005332,-1.0,0.400826,-1.0,1.5,0.347698,0.587957,0.017119,0.047226,0.000295,0.0
M,follow,optimistic,0.5,1.5,6,3331,2270.0,3331,0.06757,0.089494,-1.0,0.435905,-1.0,1.5,0.390273,0.554788,0.015311,0.039628,0.0003,0.001501
ALL,follow,optimistic,0.5,1.5,6,16483,11312.0,16483,0.070521,0.090502,-1.0,0.436632,-1.0,1.5,0.387793,0.556877,0.012619,0.042711,0.000546,0.000728
AG,follow,conservative,0.5,2.0,6,5251,3621.0,5251,-0.003245,0.024096,-1.0,0.347934,-1.0,2.0,0.32451,0.619691,0.034279,0.02152,0.000762,0.00019
CU,follow,conservative,0.5,2.0,6,4513,3128.0,4513,0.030848,0.034465,-1.0,0.351872,-1.0,2.0,0.325726,0.618436,0.039663,0.016175,0.000665,0.0
RB,follow,conservative,0.5,2.0,6,3388,2293.0,3388,-0.075134,-0.119476,-1.0,0.297521,-1.0,2.0,0.271547,0.662928,0.045455,0.020071,0.00059,0.0
M,follow,conservative,0.5,2.0,6,3331,2270.0,3331,-0.02371,-0.002464,-1.0,0.338037,-1.0,2.0,0.316722,0.631942,0.035125,0.016211,0.0003,0.0
ALL,follow,conservative,0.5,2.0,6,16483,11312.0,16483,-0.012497,-0.007943,-1.0,0.33665,-1.0,2.0,0.312382,0.63071,0.038221,0.018686,0.000607,6.1e-05
AG,follow,exclude,0.5,2.0,6,5251,3621.0,5138,0.013834,0.046619,-1.0,0.355586,-1.0,2.0,0.32451,0.619691,0.034279,0.02152,0.000762,0.00019
CU,follow,exclude,0.5,2.0,6,4513,3128.0,4440,0.042176,0.051473,-1.0,0.357658,-1.0,2.0,0.325726,0.618436,0.039663,0.016175,0.000665,0.0
RB,follow,exclude,0.5,2.0,6,3388,2293.0,3320,-0.06463,-0.101441,-1.0,0.303614,-1.0,2.0,0.271547,0.662928,0.045455,0.020071,0.00059,0.0
M,follow,exclude,0.5,2.0,6,3331,2270.0,3277,-0.007756,0.013974,-1.0,0.343607,-1.0,2.0,0.316722,0.631942,0.035125,0.016211,0.0003,0.0
ALL,follow,exclude,0.5,2.0,6,16483,11312.0,16175,0.001424,0.010948,-1.0,0.34306,-1.0,2.0,0.312382,0.63071,0.038221,0.018686,0.000607,6.1e-05
AG,follow,optimistic,0.5,2.0,6,5251,3621.0,5251,0.047293,0.088655,-1.0,0.369453,-1.0,2.0,0.32451,0.619691,0.034279,0.02152,0.000762,0.00019
CU,follow,optimistic,0.5,2.0,6,4513,3128.0,4513,0.063457,0.082992,-1.0,0.368048,-1.0,2.0,0.325726,0.618436,0.039663,0.016175,0.000665,0.0
