symbol,direction,smc_internal_align_count,dsa_tf,dsa_state,n,n_weighted,mean_R,target_hit_rate,positive_R_rate
ALL,follow,0,5m,aligned,22,19.0,-0.145064,0.181818,0.272727
ALL,follow,0,5m,flat,1545,950.0,0.001753,0.240129,0.370227
ALL,follow,0,5m,opposed,1591,932.5,-0.039689,0.256442,0.380264
ALL,follow,0,15m,aligned,66,37.1667,0.133388,0.318182,0.469697
ALL,follow,0,15m,flat,1780,1094.8333,-0.023612,0.246067,0.380337
ALL,follow,0,15m,opposed,1312,769.5,-0.022362,0.246951,0.362043
ALL,follow,0,1h,aligned,483,301.8333,0.108463,0.254658,0.434783
ALL,follow,0,1h,flat,1740,1024.4167,-0.048092,0.241954,0.359195
ALL,follow,0,1h,opposed,935,575.25,-0.037502,0.255615,0.372193
ALL,follow,1,5m,aligned,174,140.1667,0.206559,0.275862,0.431034
ALL,follow,1,5m,flat,2687,1621.3417,0.010257,0.249721,0.381094
ALL,follow,1,5m,opposed,1042,704.9167,-0.015917,0.253359,0.373321
ALL,follow,1,15m,aligned,723,440.75,0.038509,0.250346,0.390041
ALL,follow,1,15m,flat,2292,1429.9417,-0.00024,0.243892,0.382199
ALL,follow,1,15m,opposed,888,595.7333,0.029768,0.273649,0.371622
ALL,follow,1,1h,aligned,879,560.5,0.026697,0.234357,0.395904
ALL,follow,1,1h,flat,2191,1358.4833,0.009846,0.256504,0.383843
ALL,follow,1,1h,opposed,833,547.4417,0.011005,0.258103,0.358944
ALL,follow,2,5m,aligned,628,500.0833,0.032788,0.243631,0.401274
ALL,follow,2,5m,flat,2178,1323.6583,-0.04114,0.229568,0.378329
ALL,follow,2,5m,opposed,170,129.8333,0.118564,0.352941,0.441176
ALL,follow,2,15m,aligned,1150,700.2667,-0.04852,0.233043,0.382609
ALL,follow,2,15m,flat,1513,1022.0583,-0.003721,0.233311,0.372769
ALL,follow,2,15m,opposed,313,231.25,0.065362,0.29393,0.469649
ALL,follow,2,1h,aligned,925,575.5583,0.032883,0.265946,0.410811
ALL,follow,2,1h,flat,1565,1047.5167,-0.039273,0.224281,0.369329
ALL,follow,2,1h,opposed,486,330.5,-0.001368,0.238683,0.397119
ALL,follow,3,5m,aligned,560,466.5,0.059971,0.246429,0.405357
ALL,follow,3,5m,flat,589,469.0,0.09468,0.237691,0.419355
ALL,follow,3,5m,opposed,28,24.0,-0.360645,0.178571,0.25
ALL,follow,3,15m,aligned,589,481.5,0.043064,0.229202,0.397284
ALL,follow,3,15m,flat,562,456.1667,0.063177,0.243772,0.412811
ALL,follow,3,15m,opposed,26,21.8333,0.649074,0.423077,0.576923
ALL,follow,3,1h,aligned,375,302.75,0.186735,0.285333,0.445333
ALL,follow,3,1h,flat,640,531.5833,0.005877,0.217188,0.398438
ALL,follow,3,1h,opposed,162,125.1667,0.032498,0.228395,0.364198
ALL,fade,0,5m,aligned,28,24.0,0.357485,0.285714,0.5
ALL,fade,0,5m,flat,602,480.0,-0.065432,0.222591,0.348837
ALL,fade,0,5m,opposed,564,469.5,0.046478,0.27305,0.379433
ALL,fade,0,15m,aligned,29,24.8333,-0.418401,0.068966,0.344828
ALL,fade,0,15m,flat,574,465.1667,-0.034044,0.247387,0.367596
ALL,fade,0,15m,opposed,591,483.5,0.052162,0.257191,0.367174
ALL,fade,0,1h,aligned,162,125.1667,-0.007254,0.246914,0.419753
ALL,fade,0,1h,flat,657,545.5833,0.046082,0.258752,0.374429
ALL,fade,0,1h,opposed,375,302.75,-0.083369,0.229333,0.330667
ALL,fade,1,5m,aligned,170,129.8333,-0.04074,0.282353,0.335294
ALL,fade,1,5m,flat,2178,1322.6583,0.026558,0.252066,0.362718
ALL,fade,1,5m,opposed,628,501.0833,-0.074666,0.269108,0.353503
ALL,fade,1,15m,aligned,316,232.25,-0.036598,0.21519,0.31962
ALL,fade,1,15m,flat,1509,1021.0583,-0.010483,0.266402,0.368456
ALL,fade,1,15m,opposed,1151,700.2667,0.016606,0.257168,0.35795
ALL,fade,1,1h,aligned,486,330.5,-0.051023,0.248971,0.335391
ALL,fade,1,1h,flat,1565,1047.5167,0.009051,0.261342,0.385304
ALL,fade,1,1h,opposed,925,575.5583,-0.000336,0.255135,0.327568
ALL,fade,2,5m,aligned,1042,704.9167,0.072124,0.270633,0.368522
ALL,fade,2,5m,flat,2692,1620.3417,-0.046941,0.257429,0.34844
ALL,fade,2,5m,opposed,170,136.1667,-0.236164,0.205882,0.282353
ALL,fade,2,15m,aligned,892,595.7333,-0.066816,0.238789,0.345291
ALL,fade,2,15m,flat,2289,1424.9417,-0.007212,0.262997,0.350371
ALL,fade,2,15m,opposed,723,440.75,-0.016552,0.26971,0.359613
ALL,fade,2,1h,aligned,833,547.4417,-0.002155,0.267707,0.352941
ALL,fade,2,1h,flat,2192,1353.4833,-0.017092,0.267336,0.355383
ALL,fade,2,1h,opposed,879,560.5,-0.058988,0.228669,0.337884
ALL,fade,3,5m,aligned,1591,932.5,0.020159,0.252043,0.353237
ALL,fade,3,5m,flat,1527,941.0,0.037531,0.290766,0.40406
ALL,fade,3,5m,opposed,22,19.0,-0.030367,0.272727,0.409091
ALL,fade,3,15m,aligned,1302,765.5,0.043385,0.286482,0.384025
ALL,fade,3,15m,flat,1775,1091.8333,0.016149,0.257465,0.373521
ALL,fade,3,15m,opposed,63,35.1667,0.07664,0.333333,0.396825
ALL,fade,3,1h,aligned,935,575.25,-0.007047,0.233155,0.345455
ALL,fade,3,1h,flat,1722,1015.4167,0.071558,0.297329,0.407085
ALL,fade,3,1h,opposed,483,301.8333,-0.049928,0.250518,0.339545
