metric,scope,n,mean,ci025,ci975,p_gt_0,group
source_tf_5m,ALL,6736,0.000646,-0.039381,0.039273,0.5115,
source_tf_5m,AG,2477,-0.041935,-0.101184,0.019231,0.0885,
source_tf_5m,CU,1936,0.032606,-0.037651,0.097515,0.8315,
source_tf_5m,RB,1117,-0.055975,-0.14316,0.036837,0.125,
source_tf_5m,M,1206,0.091049,-0.000826,0.181039,0.974,
source_tf_15m,ALL,3169,0.036992,-0.021138,0.094433,0.9,
source_tf_15m,AG,1057,0.037537,-0.052703,0.126077,0.7825,
source_tf_15m,CU,965,0.055819,-0.051192,0.166864,0.836,
source_tf_15m,RB,584,-0.027006,-0.159815,0.104032,0.3355,
source_tf_15m,M,563,0.066572,-0.076245,0.214473,0.825,
source_tf_1h,ALL,1309,-0.042241,-0.126761,0.039511,0.1575,
source_tf_1h,AG,451,-0.132824,-0.27129,0.011716,0.0345,
source_tf_1h,CU,365,-0.056055,-0.205141,0.100825,0.242,
source_tf_1h,RB,238,0.103417,-0.085687,0.290121,0.862,
source_tf_1h,M,255,0.023038,-0.181077,0.234284,0.5675,
quantile_bin,ALL,3320,0.028337,-0.044917,0.102091,,HIGH
quantile_bin,ALL,3320,-0.063451,-0.165138,0.042055,,LOW
quantile_delta,ALL,3320,0.091532,-0.030011,0.214687,0.921,delta_HIGH_minus_LOW
quantile_bin,AG,1444,-0.013154,-0.099352,0.076083,,HIGH
quantile_bin,AG,1444,-0.173772,-0.351526,0.002359,,LOW
quantile_delta,AG,1444,0.162076,-0.034051,0.35527,0.9515,delta_HIGH_minus_LOW
quantile_bin,CU,931,0.044915,-0.074412,0.177138,,HIGH
quantile_bin,CU,931,-0.04783,-0.22809,0.145349,,LOW
quantile_delta,CU,931,0.092285,-0.138022,0.312452,0.795,delta_HIGH_minus_LOW
quantile_bin,RB,440,0.002279,-0.20402,0.212694,,HIGH
quantile_bin,RB,440,0.171878,-0.171181,0.51868,,LOW
quantile_delta,RB,440,-0.171532,-0.567911,0.222885,0.2105,delta_HIGH_minus_LOW
quantile_bin,M,505,0.27852,-0.012171,0.56001,,HIGH
quantile_bin,M,505,-0.080174,-0.261564,0.119313,,LOW
quantile_delta,M,505,0.35052,-0.009315,0.689306,0.9715,delta_HIGH_minus_LOW
