symbol,direction,stop_atr,target_r,horizon,n,both_hit_rate_w,both_hit_rate_event,gap_stop_rate_w,granularity_status
ALL,follow,0.5,1.0,6,16483,0.084247,0.096766,0.000442,BORDERLINE
ALL,follow,0.5,1.5,6,16483,0.033747,0.042711,0.000442,BORDERLINE
ALL,follow,0.5,2.0,6,16483,0.013901,0.018686,0.00053,5m_OK
ALL,follow,0.5,2.5,6,16483,0.007094,0.009768,0.00053,5m_OK
ALL,follow,0.5,3.0,6,16483,0.003868,0.005946,0.00053,5m_OK
ALL,follow,0.75,1.0,6,16483,0.013967,0.01814,0.000707,5m_OK
ALL,follow,0.75,1.5,6,16483,0.00442,0.006067,0.000796,5m_OK
ALL,follow,0.75,2.0,6,16483,0.002033,0.003458,0.000796,5m_OK
ALL,follow,0.75,2.5,6,16483,0.001149,0.002123,0.000796,5m_OK
ALL,follow,0.75,3.0,6,16483,0.000796,0.001517,0.000796,5m_OK
ALL,follow,1.0,1.0,6,16483,0.003182,0.004247,0.000884,5m_OK
ALL,follow,1.0,1.5,6,16483,0.001238,0.002305,0.000884,5m_OK
ALL,follow,1.0,2.0,6,16483,0.000796,0.001881,0.000884,5m_OK
ALL,follow,1.0,2.5,6,16483,0.00053,0.001274,0.000884,5m_OK
ALL,follow,1.0,3.0,6,16483,0.000442,0.001213,0.000884,5m_OK
ALL,follow,1.25,1.0,6,16483,0.001061,0.002245,0.000265,5m_OK
ALL,follow,1.25,1.5,6,16483,0.000707,0.001577,0.000354,5m_OK
ALL,follow,1.25,2.0,6,16483,0.00053,0.001274,0.000354,5m_OK
ALL,follow,1.25,2.5,6,16483,0.000442,0.001213,0.000354,5m_OK
ALL,follow,1.25,3.0,6,16483,0.000265,0.001092,0.000354,5m_OK
ALL,follow,1.5,1.0,6,16483,0.000707,0.00091,0.001238,5m_OK
ALL,follow,1.5,1.5,6,16483,0.000442,0.000364,0.001238,5m_OK
ALL,follow,1.5,2.0,6,16483,0.000354,0.000303,0.001238,5m_OK
ALL,follow,1.5,2.5,6,16483,0.000177,0.000182,0.001238,5m_OK
ALL,follow,1.5,3.0,6,16483,0.000177,0.000182,0.001238,5m_OK
