dsa_exact,n,mean_R,n_analyzed
+0|+0|+0,464,-0.015871,201
+1|+0|+0,256,0.117393,118
-1|+0|+0,241,0.203348,117
+0|-1|+0,222,-0.020249,115
+0|+0|-1,215,-0.018542,79
+0|+1|+0,187,0.360039,94
+0|+0|+1,147,0.22855,57
+1|+1|+0,125,0.142954,66
-1|-1|+0,124,-0.086808,59
+0|-1|-1,121,0.020719,50
+1|+0|-1,115,0.323566,47
+0|+1|+1,102,-0.017024,41
-1|+0|-1,86,0.072705,43
-1|+0|+1,78,0.033494,22
-1|-1|-1,70,0.035286,23
+1|-1|+0,59,0.169147,20
+1|+1|+1,50,-0.187416,21
-1|+1|+0,50,0.059324,29
+1|+0|+1,48,0.220922,21
+0|-1|+1,27,-0.363636,11
+1|+1|-1,19,-1.0,4
+0|+1|-1,17,-0.035276,9
-1|-1|+1,12,0.316589,3
-1|+1|-1,11,-1.0,3
+1|-1|-1,9,0.054909,4
-1|+1|+1,8,-0.25,4
+1|-1|+1,3,,0
