hypothesis,symbol,scope,n,n_weighted,mean_R,mean_R_event,target_hit_rate_w,stop_hit_rate_w,both_hit_rate_w,ci025,ci975,p_gt_0
ALL,ALL,ALL,11214,7281.0,0.005126,0.016656,0.236155,0.564125,0.000687,-0.026452,0.037289,0.643
ALL,AG,AG,3985,2644.0,-0.033538,-0.01302,0.227291,0.584736,0.001135,-0.084216,0.021839,0.119
ALL,CU,CU,3266,2173.0,0.029111,0.044235,0.242905,0.558061,0.00046,-0.029593,0.086224,0.852
ALL,RB,RB,1939,1196.0,-0.028925,-0.077376,0.202048,0.53527,0.000836,-0.1078,0.043046,0.206
ALL,M,M,2024,1268.0,0.076761,0.120666,0.275237,0.558754,0.0,-0.001424,0.150939,0.971
only15,ALL,ALL,1261,1194.0,0.076473,0.074997,0.249581,0.525963,0.0,-0.005761,0.162802,0.968
only15,AG,AG,410,386.0,0.095348,0.102236,0.248705,0.523316,0.0,-0.031161,0.228904,0.926
only15,CU,CU,418,401.0,0.086454,0.090583,0.254364,0.526185,0.0,-0.062574,0.240607,0.865
only15,RB,RB,228,208.0,0.067064,0.052207,0.235577,0.504808,0.0,-0.120697,0.253487,0.738
only15,M,M,205,199.0,0.029584,0.014084,0.256281,0.552764,0.0,-0.154595,0.231128,0.612
H4A_5m_closebeyond_fade,ALL,ALL,805,372.7465,0.123212,0.092929,0.251008,0.648622,0.004784,-0.009944,0.255264,0.963
H4A_5m_closebeyond_fade,AG,AG,337,174.1284,0.124854,0.089862,0.248046,0.666357,0.001436,-0.056598,0.317234,0.899
H4A_5m_closebeyond_fade,CU,CU,221,104.8473,0.202901,0.122372,0.244221,0.648562,0.009538,-0.021382,0.42944,0.958
H4A_5m_closebeyond_fade,RB,RB,110,42.273,0.306299,0.218587,0.143512,0.70588,0.012616,,,
H4A_5m_closebeyond_fade,M,M,137,51.4978,-0.194877,-0.047913,0.363079,0.541771,0.0,-0.449461,0.099871,0.091
H4B_15m_closebeyond_follow,ALL,ALL,263,90.863,0.069354,0.077358,0.260813,0.547536,0.009171,-0.127708,0.291109,0.74
H4B_15m_closebeyond_follow,AG,AG,105,40.0736,0.043421,0.066332,0.277362,0.567863,0.012477,,,
H4B_15m_closebeyond_follow,CU,CU,70,25.8488,0.041879,0.145497,0.202183,0.523342,0.0,,,
H4B_15m_closebeyond_follow,RB,RB,35,9.4611,-0.396109,-0.501214,0.09542,0.684381,0.035232,,,
H4B_15m_closebeyond_follow,M,M,53,15.4794,0.466868,0.391283,0.416967,0.451676,0.0,,,
