scope,target_r,quant_bin,n,mean_R,target_hit_rate_w
H1_only15,2.0,LOW,93,0.082732,0.284091
H1_only15,2.0,MID,246,0.048337,0.238095
H1_only15,2.0,HIGH,329,0.092284,0.252396
H1_only15,2.5,LOW,93,0.09586,0.181818
H1_only15,2.5,MID,246,0.079088,0.160173
H1_only15,2.5,HIGH,329,0.115464,0.15655
H1_only15,3.0,LOW,93,0.104847,0.102273
H1_only15,3.0,MID,246,0.078827,0.108225
H1_only15,3.0,HIGH,329,0.138818,0.092652
H4A_5m_closebeyond_fade,2.0,LOW,6,0.245495,0.35
H4A_5m_closebeyond_fade,2.0,MID,24,-0.040593,0.272446
H4A_5m_closebeyond_fade,2.0,HIGH,115,0.322779,0.38866
H4A_5m_closebeyond_fade,2.5,LOW,6,0.420495,0.35
H4A_5m_closebeyond_fade,2.5,MID,24,-0.034401,0.235294
H4A_5m_closebeyond_fade,2.5,HIGH,115,0.336969,0.300733
H4A_5m_closebeyond_fade,3.0,LOW,6,0.595495,0.35
H4A_5m_closebeyond_fade,3.0,MID,24,0.021103,0.216718
H4A_5m_closebeyond_fade,3.0,HIGH,115,0.423725,0.264829
H4B_15m_closebeyond_follow,2.0,LOW,2,2.0,1.0
H4B_15m_closebeyond_follow,2.0,MID,6,-0.551264,0.0
H4B_15m_closebeyond_follow,2.0,HIGH,34,0.07263,0.330975
H4B_15m_closebeyond_follow,2.5,LOW,2,2.5,1.0
H4B_15m_closebeyond_follow,2.5,MID,6,-0.551264,0.0
H4B_15m_closebeyond_follow,2.5,HIGH,34,0.041585,0.226088
H4B_15m_closebeyond_follow,3.0,LOW,2,3.0,1.0
H4B_15m_closebeyond_follow,3.0,MID,6,-0.551264,0.0
H4B_15m_closebeyond_follow,3.0,HIGH,34,0.059197,0.11654
