grouping,bucket,quantile_known,n,mean_R
overall,ALL,True,4238,0.00039
overall,ALL,False,6976,0.008873
symbol,AG,True,1754,-0.081239
symbol,AG,False,2231,0.013875
symbol,CU,True,1281,0.060877
symbol,CU,False,1985,0.002129
symbol,RB,True,583,0.015397
symbol,RB,False,1356,-0.053625
symbol,M,True,620,0.086822
symbol,M,False,1404,0.070795
source_tf,5m,True,2520,-0.011218
source_tf,5m,False,4216,0.009618
source_tf,15m,True,1179,0.052759
source_tf,15m,False,1990,0.024191
source_tf,1h,True,539,-0.052023
source_tf,1h,False,770,-0.032916
touch_behavior,NO_BREACH,True,3822,0.004187
touch_behavior,NO_BREACH,False,5149,0.010434
touch_behavior,BREACH_RECLAIM,True,190,0.018451
touch_behavior,BREACH_RECLAIM,False,904,0.047964
touch_behavior,CLOSE_BEYOND,True,226,-0.100552
touch_behavior,CLOSE_BEYOND,False,923,-0.047963
touch_bin,1,True,1795,0.001196
touch_bin,1,False,3485,0.023821
touch_bin,2,True,1042,-0.052687
touch_bin,2,False,1399,0.0396
touch_bin,3,True,563,0.104997
touch_bin,3,False,822,-0.027458
touch_bin,4+,True,838,-0.003808
touch_bin,4+,False,1270,-0.048456
