tf,kind,relative_state,n,mean_R,target_hit_rate_w
5m,internal,-1,943,0.072963,0.254525
5m,internal,1,318,0.086482,0.235484
5m,swing,-1,675,0.08611,0.259554
5m,swing,0,3,0.0,0.333333
5m,swing,1,583,0.066131,0.238011
15m,internal,-1,631,0.088975,0.250853
15m,internal,1,630,0.064424,0.248355
15m,swing,-1,605,0.100013,0.269896
15m,swing,0,21,0.089377,0.238095
15m,swing,1,635,0.053151,0.230252
1h,internal,-1,655,0.076359,0.262215
1h,internal,0,5,0.2,0.4
1h,internal,1,601,0.075521,0.234783
1h,swing,-1,575,0.093905,0.269017
1h,swing,0,72,-0.072955,0.211268
1h,swing,1,614,0.078551,0.236301
