hypothesis,direction,split,symbol,n,mean_R,ci025,ci975,p_gt_0
H4A_5m_closebeyond_fade,fade,all,ALL,805,0.123212,-0.009944,0.255264,0.963
H4A_5m_closebeyond_fade,fade,all,AG,337,0.124854,-0.056598,0.317234,0.899
H4A_5m_closebeyond_fade,fade,all,CU,221,0.202901,-0.021382,0.42944,0.958
H4A_5m_closebeyond_fade,fade,all,RB,110,0.306299,,,
H4A_5m_closebeyond_fade,fade,all,M,137,-0.194877,-0.449461,0.099871,0.091
H4A_5m_closebeyond_fade,fade,internal,ALL,710,0.143039,,,
H4A_5m_closebeyond_fade,fade,swing,ALL,95,-0.143207,,,
H4A_5m_closebeyond_fade,fade,first_touch,ALL,507,0.002845,,,
H4A_5m_closebeyond_fade,fade,retest,ALL,298,0.344476,,,
H4B_15m_closebeyond_follow,follow,all,ALL,263,0.069354,-0.127708,0.291109,0.74
H4B_15m_closebeyond_follow,follow,all,AG,105,0.043421,,,
H4B_15m_closebeyond_follow,follow,all,CU,70,0.041879,,,
H4B_15m_closebeyond_follow,follow,all,RB,35,-0.396109,,,
H4B_15m_closebeyond_follow,follow,all,M,53,0.466868,,,
H4B_15m_closebeyond_follow,follow,internal,ALL,240,0.050119,,,
H4B_15m_closebeyond_follow,follow,swing,ALL,23,0.314915,,,
H4B_15m_closebeyond_follow,follow,first_touch,ALL,122,-0.212076,,,
H4B_15m_closebeyond_follow,follow,retest,ALL,141,0.284608,,,
H4B_15m_closebeyond_follow,follow,active_at_touch,ALL,224,-0.04643,,,
