symbol,source_tf,event_bars,n_candidates
AG,15m,1525,1700
AG,1h,647,693
AG,5m,3267,3959
AL,15m,1498,1708
AL,1h,610,641
AL,5m,2692,3276
AU,15m,1483,1673
AU,1h,615,668
AU,5m,3080,3676
CF,15m,1089,1211
CF,1h,521,544
CF,5m,2289,2746
CU,15m,1482,1634
CU,1h,609,633
CU,5m,2835,3355
I,15m,1333,1494
I,1h,648,704
I,5m,2392,2885
M,15m,1181,1298
M,1h,538,574
M,5m,2301,2758
MA,15m,1044,1171
MA,1h,540,576
MA,5m,2179,2651
NI,15m,1539,1770
NI,1h,639,684
NI,5m,3183,3956
P,15m,1125,1239
P,1h,555,625
P,5m,2428,2937
RB,15m,1235,1401
RB,1h,540,595
RB,5m,2349,2850
RU,15m,1185,1322
RU,1h,667,709
RU,5m,2373,2851
SC,15m,1575,1789
SC,1h,710,778
SC,5m,3233,3878
SN,15m,1417,1611
SN,1h,696,727
SN,5m,2860,3419
TA,15m,1112,1232
TA,1h,498,553
TA,5m,2195,2629
