horizon,outcome,n,ob_mean,control_mean,delta,relative_uplift
1,max_directional_excursion_R,65829,1.0543,0.9472,0.107,0.113
1,forward_range_R,65829,1.2574,1.1353,0.1221,0.1075
1,realized_vol_R,65829,0.6537,0.5883,0.0654,0.1112
1,abs_close_move_R,65829,0.6537,0.5883,0.0654,0.1112
3,max_directional_excursion_R,65829,1.8014,1.6681,0.1333,0.0799
3,forward_range_R,65829,2.1873,2.0345,0.1527,0.0751
3,realized_vol_R,65829,1.2994,1.2132,0.0862,0.071
3,abs_close_move_R,65829,1.1136,1.0316,0.082,0.0795
6,max_directional_excursion_R,65829,2.5482,2.4212,0.127,0.0525
6,forward_range_R,65829,3.1123,2.9639,0.1484,0.0501
6,realized_vol_R,65829,1.9242,1.8311,0.0931,0.0509
6,abs_close_move_R,65829,1.5735,1.5078,0.0657,0.0436
12,max_directional_excursion_R,65829,3.6503,3.5202,0.1301,0.037
12,forward_range_R,65829,4.4726,4.3215,0.1511,0.035
12,realized_vol_R,65829,2.8179,2.7211,0.0969,0.0356
12,abs_close_move_R,65829,2.2828,2.1966,0.0863,0.0393
24,max_directional_excursion_R,65829,5.2358,5.1542,0.0816,0.0158
24,forward_range_R,65829,6.4432,6.3391,0.1041,0.0164
24,realized_vol_R,65829,4.1052,4.0476,0.0577,0.0142
24,abs_close_move_R,65829,3.2612,3.2267,0.0345,0.0107
