variable,dimension,smd_before,smd_after
atr_rel_pre,ALL,-0.0471,0.0223
pre_ret_3_R,ALL,-0.009,-0.0029
pre_ret_12_R,ALL,-0.0185,-0.0006
pre_rv_12_R,ALL,0.2835,0.0668
pre_range_12_R,ALL,0.3678,0.1081
volume_z_20_pre,ALL,0.1078,0.0253
atr_rel_pre,15m,,0.0272
pre_ret_3_R,15m,,-0.0021
pre_ret_12_R,15m,,-0.0005
pre_rv_12_R,15m,,0.0704
pre_range_12_R,15m,,0.1177
volume_z_20_pre,15m,,0.0285
atr_rel_pre,1h,,0.0281
pre_ret_3_R,1h,,-0.0051
pre_ret_12_R,1h,,-0.0012
pre_rv_12_R,1h,,0.0802
pre_range_12_R,1h,,0.1268
volume_z_20_pre,1h,,0.0253
atr_rel_pre,5m,,0.018
pre_ret_3_R,5m,,-0.0028
pre_ret_12_R,5m,,-0.0006
pre_rv_12_R,5m,,0.0617
pre_range_12_R,5m,,0.0988
volume_z_20_pre,5m,,0.0237
