factor,bucket,split,direction,bucket_candidate_n,bucket_n_excursion,bucket_mean_mfe_atr,bucket_median_mfe_atr,bucket_mean_mae_atr,bucket_median_mae_atr,bucket_mean_net_excursion_atr,bucket_n_rr,bucket_n_weighted_rr,bucket_mean_R_2R,bucket_median_R_2R,bucket_target_hit_rate,bucket_stop_hit_rate,bucket_timeout_rate,bucket_both_hit_rate,rest_candidate_n,rest_n_excursion,rest_mean_mfe_atr,rest_median_mfe_atr,rest_mean_mae_atr,rest_median_mae_atr,rest_mean_net_excursion_atr,rest_n_rr,rest_n_weighted_rr,rest_mean_R_2R,rest_median_R_2R,rest_target_hit_rate,rest_stop_hit_rate,rest_timeout_rate,rest_both_hit_rate,delta_mean_R_2R,delta_target_hit_pp,delta_mean_mfe_atr,delta_mean_mae_atr
source_tf,5m,DISCOVERY,FOLLOW,8998,4677,1.6589771720741244,1.3070274975333325,1.7723500767518008,1.262823222169052,-0.11337290467767636,4677,3165.9856,0.016311,-1.0,0.251229,0.56083,0.185161,0.00278,5815,3020,1.551272069790753,1.2423983439150044,1.7480714348873896,1.214868343827611,-0.19679936509663665,3020,1825.0144,0.013135,-1.0,0.239404,0.555298,0.201325,0.003974,0.0031759999999999983,1.1824999999999974,0.10770510228337149,0.0242786418644112
source_tf,5m,DISCOVERY,FADE,8998,4677,1.7723500767518008,1.262823222169052,1.6589771720741244,1.3070274975333325,0.11337290467767636,4677,3165.9856,-0.00583,-1.0,0.260851,0.588839,0.149455,0.000855,5815,3020,1.7480714348873896,1.214868343827611,1.551272069790753,1.2423983439150044,0.19679936509663665,3020,1825.0144,0.013972,-1.0,0.263245,0.573179,0.161258,0.002318,-0.019802,-0.23940000000000072,0.0242786418644112,0.10770510228337149
source_tf,5m,VALIDATION,FOLLOW,3941,2059,1.5863800349940573,1.253368814476751,1.7476256819252804,1.3075244841004632,-0.16124564693122312,2059,1399.4641,-0.03479,-1.0,0.241379,0.593978,0.164643,0.0,2727,1458,1.6212821069774142,1.3086967226522785,1.5988535051689436,1.17243877708381,0.022428601808470505,1458,890.5359,0.011677,-1.0,0.251715,0.567901,0.180384,0.0,-0.046467,-1.0336000000000012,-0.03490207198335682,0.1487721767563368
source_tf,5m,VALIDATION,FADE,3941,2059,1.7476256819252804,1.3075244841004632,1.5863800349940573,1.253368814476751,0.16124564693122312,2059,1399.4641,0.031863,-1.0,0.27052,0.572122,0.157358,0.0,2727,1458,1.5988535051689436,1.17243877708381,1.6212821069774142,1.3086967226522785,-0.022428601808470505,1458,890.5359,-0.071925,-1.0,0.240741,0.596708,0.162551,0.0,0.103788,2.9778999999999973,0.1487721767563368,-0.03490207198335682
source_tf,15m,DISCOVERY,FOLLOW,4145,2166,1.598731815144239,1.2743843994913204,1.7139883338705793,1.1877087806718862,-0.11525651872634035,2166,1285.1942,0.038246,-1.0,0.245614,0.554478,0.196214,0.003693,10668,5531,1.6268285972604557,1.28433367850164,1.7806336470679498,1.2595179958883878,-0.1538050498074941,5531,3705.8058,0.00714,-1.0,0.246972,0.560297,0.189658,0.003074,0.031106,-0.1357999999999998,-0.0280967821162168,-0.06664531319737055
source_tf,15m,DISCOVERY,FADE,4145,2166,1.7139883338705793,1.1877087806718862,1.598731815144239,1.2743843994913204,0.11525651872634035,2166,1285.1942,-0.006695,-1.0,0.257156,0.580332,0.160203,0.002308,10668,5531,1.7806336470679498,1.2595179958883878,1.6268285972604557,1.28433367850164,0.1538050498074941,5531,3705.8058,0.004222,-1.0,0.263605,0.58362,0.15169,0.001085,-0.010917,-0.6448999999999983,-0.06664531319737055,-0.0280967821162168
source_tf,15m,VALIDATION,FOLLOW,1898,1003,1.637396290392801,1.3419058980760117,1.6224680838587464,1.1802756758627744,0.014928206534054578,1003,596.3188,0.034291,-1.0,0.257228,0.572283,0.170489,0.0,4770,2514,1.5867694812334647,1.245444100302037,1.713467459842103,1.275001127081114,-0.12669797860863818,2514,1693.6812,-0.03468,-1.0,0.24105,0.58751,0.17144,0.0,0.068971,1.6178000000000026,0.05062680915933626,-0.0909993759833565
source_tf,15m,VALIDATION,FADE,1898,1003,1.6224680838587464,1.1802756758627744,1.637396290392801,1.3419058980760117,-0.014928206534054578,1003,596.3188,-0.097847,-1.0,0.248255,0.600199,0.151545,0.0,4770,2514,1.713467459842103,1.275001127081114,1.5867694812334647,1.245444100302037,0.12669797860863818,2514,1693.6812,0.022961,-1.0,0.262132,0.575179,0.162689,0.0,-0.120808,-1.3876999999999973,-0.0909993759833565,0.05062680915933626
source_tf,1h,DISCOVERY,FOLLOW,1670,854,1.4382807572645382,1.1959257855928447,1.8292158719291316,1.2438714598673946,-0.3909351146645934,854,539.8202,-0.046647,-1.0,0.223653,0.557377,0.214286,0.004684,13143,6843,1.641582461974116,1.2982376926594144,1.7554992246681864,1.239829155230782,-0.11391676269407047,6843,4451.1798,0.022644,-1.0,0.249452,0.558819,0.18866,0.003069,-0.069291,-2.5799000000000016,-0.20330170470957776,0.07371664726094518
source_tf,1h,DISCOVERY,FADE,1670,854,1.8292158719291316,1.2438714598673946,1.4382807572645382,1.1959257855928447,0.3909351146645934,854,539.8202,0.063175,-1.0,0.278689,0.555035,0.163934,0.002342,13143,6843,1.7554992246681864,1.239829155230782,1.641582461974116,1.2982376926594144,0.11391676269407047,6843,4451.1798,-0.00608,-1.0,0.259681,0.586146,0.152857,0.001315,0.069255,1.9008000000000025,0.07371664726094518,-0.20330170470957776
source_tf,1h,VALIDATION,FOLLOW,829,455,1.5886219091412417,1.2340817376312025,1.550991519739984,1.146416010994584,0.037630389401257736,455,294.2171,-0.034157,-1.0,0.23956,0.558242,0.202198,0.0,5839,3062,1.6016231511929488,1.288778915119398,1.7102299186417746,1.266046318258278,-0.1086067674488258,3062,1995.7829,-0.014149,-1.0,0.246571,0.586871,0.166558,0.0,-0.020007999999999998,-0.7011000000000017,-0.013001242051707163,-0.1592383989017907
source_tf,1h,VALIDATION,FADE,829,455,1.550991519739984,1.146416010994584,1.5886219091412417,1.2340817376312025,-0.037630389401257736,455,294.2171,-0.019384,-1.0,0.224176,0.589011,0.186813,0.0,5839,3062,1.7102299186417746,1.266046318258278,1.6016231511929488,1.288778915119398,0.1086067674488258,3062,1995.7829,-0.006893,-1.0,0.263227,0.581319,0.155454,0.0,-0.012490999999999999,-3.9051,-0.1592383989017907,-0.013001242051707163
source_ob_structure,internal,DISCOVERY,FOLLOW,13222,6866,1.6207960195853253,1.2784397286015958,1.7652873356121255,1.2520080745382498,-0.1444913160268002,6866,4601.6365,0.011255,-1.0,0.246432,0.561171,0.18963,0.002767,1591,831,1.6053831056035865,1.3183529621082353,1.7420218545166355,1.1395716714975246,-0.13663874891304895,831,389.3635,0.061172,-1.0,0.247894,0.537906,0.20698,0.00722,-0.049916999999999996,-0.1461999999999991,0.015412913981738718,0.02326548109548998
source_ob_structure,internal,DISCOVERY,FADE,13222,6866,1.7652873356121255,1.2520080745382498,1.6207960195853253,1.2784397286015958,0.1444913160268002,6866,4601.6365,0.00621,-1.0,0.262307,0.581561,0.154967,0.001165,1591,831,1.7420218545166355,1.1395716714975246,1.6053831056035865,1.3183529621082353,0.13663874891304895,831,389.3635,-0.055309,-1.0,0.257521,0.592058,0.146811,0.00361,0.061519,0.47860000000000125,0.02326548109548998,0.015412913981738718
source_ob_structure,internal,VALIDATION,FOLLOW,5854,3097,1.6011066600728465,1.2742299756229722,1.6880006162481156,1.2566725126050802,-0.08689395617526907,3097,2077.8995,-0.027363,-1.0,0.245722,0.58702,0.167259,0.0,814,420,1.588648302276785,1.318314435890419,1.7071162593767653,1.100481676562322,-0.11846795709998026,420,212.1005,0.087552,-1.0,0.245238,0.554762,0.2,0.0,-0.114915,0.048399999999998444,0.012458357796061525,-0.019115643128649662
source_ob_structure,internal,VALIDATION,FADE,5854,3097,1.6880006162481156,1.2566725126050802,1.6011066600728465,1.2742299756229722,0.08689395617526907,3097,2077.8995,-0.003893,-1.0,0.257023,0.582176,0.160801,0.0,814,420,1.7071162593767653,1.100481676562322,1.588648302276785,1.318314435890419,0.11846795709998026,420,212.1005,-0.053611,-1.0,0.266667,0.583333,0.15,0.0,0.049718,-0.9643999999999986,-0.019115643128649662,0.012458357796061525
source_ob_structure,swing,DISCOVERY,FOLLOW,1591,831,1.6053831056035865,1.3183529621082353,1.7420218545166355,1.1395716714975246,-0.13663874891304895,831,389.3635,0.061172,-1.0,0.247894,0.537906,0.20698,0.00722,13222,6866,1.6207960195853253,1.2784397286015958,1.7652873356121255,1.2520080745382498,-0.1444913160268002,6866,4601.6365,0.011255,-1.0,0.246432,0.561171,0.18963,0.002767,0.049916999999999996,0.1461999999999991,-0.015412913981738718,-0.02326548109548998
source_ob_structure,swing,DISCOVERY,FADE,1591,831,1.7420218545166355,1.1395716714975246,1.6053831056035865,1.3183529621082353,0.13663874891304895,831,389.3635,-0.055309,-1.0,0.257521,0.592058,0.146811,0.00361,13222,6866,1.7652873356121255,1.2520080745382498,1.6207960195853253,1.2784397286015958,0.1444913160268002,6866,4601.6365,0.00621,-1.0,0.262307,0.581561,0.154967,0.001165,-0.061519,-0.47860000000000125,-0.02326548109548998,-0.015412913981738718
source_ob_structure,swing,VALIDATION,FOLLOW,814,420,1.588648302276785,1.318314435890419,1.7071162593767653,1.100481676562322,-0.11846795709998026,420,212.1005,0.087552,-1.0,0.245238,0.554762,0.2,0.0,5854,3097,1.6011066600728465,1.2742299756229722,1.6880006162481156,1.2566725126050802,-0.08689395617526907,3097,2077.8995,-0.027363,-1.0,0.245722,0.58702,0.167259,0.0,0.114915,-0.048399999999998444,-0.012458357796061525,0.019115643128649662
source_ob_structure,swing,VALIDATION,FADE,814,420,1.7071162593767653,1.100481676562322,1.588648302276785,1.318314435890419,0.11846795709998026,420,212.1005,-0.053611,-1.0,0.266667,0.583333,0.15,0.0,5854,3097,1.6880006162481156,1.2566725126050802,1.6011066600728465,1.2742299756229722,0.08689395617526907,3097,2077.8995,-0.003893,-1.0,0.257023,0.582176,0.160801,0.0,-0.049718,0.9643999999999986,0.019115643128649662,-0.012458357796061525
touch_bin,1,DISCOVERY,FOLLOW,6483,3656,1.66390239283327,1.3232937230086947,1.7793458867293492,1.2514866471298407,-0.11544349389607933,3656,2350.0857,0.035249,-1.0,0.256565,0.556619,0.182987,0.003829,8330,4041,1.5801642964900622,1.2439638941907512,1.7493468223831499,1.233704943756464,-0.1691825258930877,4041,2640.9143,-0.002737,-1.0,0.237565,0.560505,0.199208,0.002722,0.037986000000000006,1.899999999999999,0.08373809634320772,0.029999064346199367
touch_bin,1,DISCOVERY,FADE,6483,3656,1.7793458867293492,1.2514866471298407,1.66390239283327,1.3232937230086947,0.11544349389607933,3656,2350.0857,-0.026389,-1.0,0.256291,0.59628,0.145241,0.002188,8330,4041,1.7493468223831499,1.233704943756464,1.5801642964900622,1.2439638941907512,0.1691825258930877,4041,2640.9143,0.026149,-1.0,0.266766,0.570403,0.162089,0.000742,-0.052538,-1.0475000000000012,0.029999064346199367,0.08373809634320772
touch_bin,1,VALIDATION,FOLLOW,2845,1624,1.6283513150148072,1.3064602877353058,1.7609483650836142,1.336327728749822,-0.13259705006880695,1624,1044.8902,-0.031511,-1.0,0.25431,0.594828,0.150862,0.0,3823,1893,1.5761208333461663,1.2619313962047516,1.6300394998101055,1.199314286679467,-0.05391866646393928,1893,1245.1098,-0.004308,-1.0,0.238246,0.573164,0.18859,0.0,-0.027202999999999998,1.6063999999999967,0.05223048166864097,0.13090886527350865
touch_bin,1,VALIDATION,FADE,2845,1624,1.7609483650836142,1.336327728749822,1.6283513150148072,1.3064602877353058,0.13259705006880695,1624,1044.8902,0.006094,-1.0,0.264778,0.59298,0.142241,0.0,3823,1893,1.6300394998101055,1.199314286679467,1.5761208333461663,1.2619313962047516,0.05391866646393928,1893,1245.1098,-0.020743,-1.0,0.252509,0.573164,0.174326,0.0,0.026837,1.226900000000003,0.13090886527350865,0.05223048166864097
