q_bucket,action_rows,weighted_mean_pred_q,weighted_mean_realized_R
0,2091,-0.7542101907231991,-0.6599723259914956
1,2091,-0.4245872613837276,-0.3692256217130236
2,2091,-0.28710738391153134,-0.2148015901224159
3,2091,-0.18278389425608052,-0.16742574549535813
4,2091,-0.07345931889725904,-0.0808012494390434
5,2091,0.037665597792129676,-0.045469221296130444
6,2091,0.15833705475481608,0.08443470594244527
7,2091,0.29016749859100005,0.16848098339835477
8,2091,0.46557074183571495,0.3458261638460378
9,2091,0.9311584573626026,0.8421450153668371
