模型,coverage_pct,n,success_rate,Lift,uplift
Logistic,5,1641,0.2596,0.9123,-0.025
Logistic,10,3282,0.2782,0.9776,-0.0064
Logistic,15,4922,0.2859,1.0046,0.0013
Logistic,20,6563,0.2871,1.0088,0.0025
Logistic,25,8203,0.2914,1.0239,0.0068
Logistic,30,9844,0.2905,1.021,0.006
Logistic,40,13125,0.291,1.0228,0.0065
Logistic,50,16406,0.2902,1.0198,0.0056
LightGBM,5,1641,0.3138,1.1029,0.0293
LightGBM,10,3282,0.2934,1.0311,0.0089
LightGBM,15,4923,0.2915,1.0243,0.0069
LightGBM,20,6563,0.2895,1.0174,0.0049
LightGBM,25,8203,0.2833,0.9956,-0.0012
LightGBM,30,9844,0.2846,1.0003,0.0001
LightGBM,40,13125,0.2856,1.0038,0.0011
LightGBM,50,16406,0.2866,1.0072,0.002
