维度,取值,事件数,resolved,target_wins,stop_wins,ambiguous,roll_censored,end_censored,native_base_rate
ALL,ALL,79896,79728,23126,56602,150,4,14,0.2901
direction,-1,39291,39219,11160,28059,64,4,4,0.2846
direction,1,40605,40509,11966,28543,86,0,10,0.2954
source_tf,15m,22285,22244,6396,15848,40,0,1,0.2875
source_tf,1h,9722,9709,2772,6937,10,1,2,0.2855
source_tf,5m,47889,47775,13958,33817,100,3,11,0.2922
symbol,AG,6365,6347,1757,4590,17,0,1,0.2768
symbol,AL,5625,5606,1696,3910,19,0,0,0.3025
symbol,AU,6018,6008,1697,4311,10,0,0,0.2825
symbol,CF,4507,4503,1288,3215,3,0,1,0.286
symbol,CU,5632,5627,1717,3910,5,0,0,0.3051
symbol,I,5087,5079,1477,3602,5,0,3,0.2908
symbol,M,4633,4633,1374,3259,0,0,0,0.2966
symbol,MA,4422,4406,1271,3135,15,0,1,0.2885
symbol,NI,6413,6394,1887,4507,19,0,0,0.2951
symbol,P,4801,4801,1392,3409,0,0,0,0.2899
symbol,RB,4851,4840,1374,3466,8,0,3,0.2839
symbol,RU,4885,4869,1382,3487,14,0,2,0.2838
symbol,SC,6472,6454,1845,4609,11,4,3,0.2859
symbol,SN,5771,5752,1720,4032,19,0,0,0.299
symbol,TA,4414,4409,1249,3160,5,0,0,0.2833
