symbol,模型,n,base_rate,AUC,PR_AUC,Brier,D1,D10,D10_minus_D1,decile_spearman,Top10_rate,Lift@10,Top10_uplift,Top20_rate,Lift@20,Top20_uplift,Top30_rate,Lift@30,Top30_uplift
AG,Logistic,2635,0.2676,0.5301,0.2953,0.196875,0.2462,0.3333,0.0871,0.0461,0.3333,1.2459,0.0658,0.3112,1.1631,0.0436,0.3009,1.1246,0.0333
AG,LightGBM,2635,0.2676,0.5084,0.279,0.204169,0.2273,0.2803,0.053,0.0129,0.2803,1.0477,0.0128,0.2676,1.0,0.0,0.2617,0.9781,-0.0059
AL,Logistic,2416,0.303,0.525,0.3315,0.211889,0.2769,0.3678,0.0909,0.0398,0.3678,1.2138,0.0648,0.3574,1.1797,0.0545,0.3462,1.1427,0.0432
AL,LightGBM,2416,0.303,0.5223,0.315,0.213168,0.2645,0.3388,0.0743,0.0355,0.3388,1.1184,0.0359,0.3223,1.0638,0.0193,0.3228,1.0653,0.0198
AU,Logistic,2560,0.2758,0.4952,0.2671,0.201486,0.2891,0.2266,-0.0625,-0.0074,0.2266,0.8215,-0.0492,0.2715,0.9844,-0.0043,0.2773,1.0057,0.0016
AU,LightGBM,2560,0.2758,0.5125,0.2752,0.202873,0.2266,0.25,0.0234,0.0194,0.25,0.9065,-0.0258,0.25,0.9065,-0.0258,0.2565,0.9301,-0.0193
CF,Logistic,1757,0.3022,0.4877,0.2835,0.213362,0.3068,0.233,-0.0738,-0.0196,0.233,0.7708,-0.0693,0.2642,0.8742,-0.038,0.2789,0.923,-0.0233
CF,LightGBM,1757,0.3022,0.5334,0.3381,0.212142,0.3011,0.4091,0.108,0.0531,0.4091,1.3536,0.1069,0.3636,1.2032,0.0614,0.3586,1.1867,0.0564
CU,Logistic,2392,0.296,0.5369,0.3257,0.20762,0.25,0.3167,0.0667,0.0583,0.3167,1.0699,0.0207,0.3633,1.2273,0.0673,0.3538,1.1952,0.0578
CU,LightGBM,2392,0.296,0.5051,0.2947,0.212427,0.2458,0.2875,0.0417,0.008,0.2863,0.9673,-0.0097,0.2896,0.9784,-0.0064,0.2897,0.9787,-0.0063
I,Logistic,2137,0.278,0.4583,0.2484,0.205505,0.3271,0.1729,-0.1542,-0.0647,0.1729,0.622,-0.1051,0.236,0.849,-0.042,0.2465,0.8868,-0.0315
I,LightGBM,2137,0.278,0.4925,0.2753,0.205826,0.229,0.271,0.042,-0.0117,0.271,0.9751,-0.0069,0.2581,0.9287,-0.0198,0.2699,0.971,-0.0081
M,Logistic,1821,0.3092,0.4967,0.3141,0.215538,0.3005,0.3352,0.0347,-0.0052,0.3333,1.0782,0.0242,0.3096,1.0014,0.0004,0.3035,0.9816,-0.0057
M,LightGBM,1821,0.3092,0.4344,0.2743,0.223174,0.388,0.2527,-0.1353,-0.1051,0.2568,0.8307,-0.0523,0.2685,0.8684,-0.0407,0.2614,0.8456,-0.0477
MA,Logistic,1750,0.268,0.5046,0.2714,0.198984,0.3829,0.28,-0.1029,0.0071,0.28,1.0448,0.012,0.2886,1.0768,0.0206,0.2781,1.0377,0.0101
MA,LightGBM,1750,0.268,0.4908,0.2618,0.202365,0.2171,0.2457,0.0286,-0.0141,0.2457,0.9168,-0.0223,0.2371,0.8849,-0.0309,0.2514,0.9382,-0.0166
NI,Logistic,2535,0.3026,0.4973,0.2981,0.213421,0.3189,0.2598,-0.0591,-0.0044,0.2598,0.8588,-0.0427,0.286,0.9452,-0.0166,0.2983,0.9859,-0.0043
NI,LightGBM,2535,0.3026,0.4958,0.322,0.216718,0.3228,0.3622,0.0394,-0.0066,0.3608,1.1924,0.0582,0.2899,0.9583,-0.0126,0.2865,0.9468,-0.0161
P,Logistic,1998,0.2893,0.502,0.2873,0.207288,0.33,0.285,-0.045,0.0032,0.285,0.9852,-0.0043,0.2975,1.0284,0.0082,0.2833,0.9794,-0.006
P,LightGBM,1998,0.2893,0.503,0.2895,0.20894,0.255,0.25,-0.005,0.0048,0.25,0.8642,-0.0393,0.295,1.0197,0.0057,0.2817,0.9737,-0.0076
RB,Logistic,2057,0.2829,0.4953,0.2752,0.204935,0.3252,0.2524,-0.0728,-0.0073,0.2524,0.8922,-0.0305,0.25,0.8836,-0.0329,0.282,0.9967,-0.0009
RB,LightGBM,2057,0.2829,0.5107,0.2868,0.204834,0.199,0.2816,0.0826,0.0167,0.2816,0.9951,-0.0014,0.2864,1.0123,0.0035,0.2723,0.9624,-0.0107
RU,Logistic,2113,0.2759,0.4923,0.2687,0.201738,0.2547,0.2547,0.0,-0.0119,0.2547,0.9232,-0.0212,0.253,0.9168,-0.023,0.2618,0.949,-0.0141
RU,LightGBM,2113,0.2759,0.4998,0.2909,0.203247,0.2594,0.283,0.0236,-0.0003,0.283,1.0258,0.0071,0.25,0.9061,-0.0259,0.2524,0.9147,-0.0235
SC,Logistic,2641,0.2628,0.5291,0.3006,0.193829,0.2528,0.3371,0.0843,0.0444,0.3358,1.2781,0.0731,0.3119,1.187,0.0491,0.2938,1.1181,0.031
SC,LightGBM,2641,0.2628,0.5467,0.3122,0.193804,0.1698,0.375,0.2052,0.0712,0.3722,1.4163,0.1094,0.3327,1.2661,0.0699,0.2989,1.1373,0.0361
SN,Logistic,2383,0.2866,0.5106,0.2893,0.217541,0.2636,0.2929,0.0293,0.0167,0.2929,1.0219,0.0063,0.2935,1.024,0.0069,0.2979,1.0394,0.0113
SN,LightGBM,2383,0.2866,0.5183,0.299,0.219646,0.2678,0.3347,0.0669,0.0287,0.3347,1.1679,0.0481,0.3124,1.0899,0.0258,0.3007,1.0491,0.0141
TA,Logistic,1617,0.2733,0.4666,0.249,0.202982,0.321,0.1975,-0.1235,-0.0515,0.1975,0.7226,-0.0758,0.2068,0.7565,-0.0666,0.2247,0.8222,-0.0486
TA,LightGBM,1617,0.2733,0.4996,0.2841,0.203326,0.2531,0.2407,-0.0124,-0.0006,0.2407,0.8807,-0.0326,0.3241,1.1856,0.0507,0.3031,1.1088,0.0297
