维度,取值,n,native_success_rate,flipped_success_rate,native_minus_flipped
ALL,ALL,79541,0.2907,0.2959,-0.0051
direction,SHORT,39120,0.2853,0.303,-0.0177
direction,LONG,40421,0.296,0.289,0.0071
symbol,AG,6332,0.2775,0.3116,-0.0341
symbol,AL,5591,0.3033,0.291,0.0123
symbol,AU,5997,0.283,0.3057,-0.0227
symbol,CF,4490,0.2869,0.2931,-0.0062
symbol,CU,5623,0.3054,0.2815,0.0238
symbol,I,5074,0.2911,0.2534,0.0376
symbol,M,4630,0.2968,0.303,-0.0063
symbol,MA,4388,0.2897,0.3145,-0.0248
symbol,NI,6372,0.2961,0.2906,0.0055
symbol,P,4801,0.2899,0.3141,-0.0242
symbol,RB,4836,0.2841,0.2961,-0.012
symbol,RU,4852,0.2848,0.2951,-0.0103
symbol,SC,6424,0.2872,0.2983,-0.0111
symbol,SN,5727,0.3003,0.3019,-0.0016
symbol,TA,4404,0.2836,0.287,-0.0034
source_tf,15m,22191,0.2882,0.2961,-0.0078
source_tf,1h,9690,0.2861,0.2921,-0.006
source_tf,5m,47660,0.2929,0.2966,-0.0037
