维度,取值,n,p10,p25,median,p75,p90,p95,p99,max,mean,median_hours
ALL,ALL,79728,1.0,2.0,5.0,13.0,25.0,39.0,87.0,1407.0,11.173941400762592,0.417
direction,SHORT,39219,1.0,2.0,5.0,12.0,24.0,40.0,86.0,384.0,10.812361355465463,0.417
direction,LONG,40509,1.0,2.0,5.0,13.0,26.0,39.0,87.0,1407.0,11.524007010787725,0.417
source_tf,15m,22244,1.0,2.0,5.0,13.0,26.0,42.0,90.0,1407.0,11.59863333932746,0.417
source_tf,1h,9709,1.0,2.0,6.0,13.0,27.0,44.0,94.0,1407.0,12.554949016376558,0.5
source_tf,5m,47775,1.0,2.0,5.0,12.0,24.0,37.0,78.0,1407.0,10.695552066980639,0.417
symbol,AG,6347,1.0,2.0,5.0,12.0,27.0,47.0,105.0,507.0,12.1038285804317,0.417
symbol,AL,5606,1.0,2.0,5.0,14.0,32.0,48.0,119.69999999999891,557.0,13.903139493399928,0.417
symbol,AU,6008,1.0,2.0,5.0,11.0,24.0,39.0,110.93000000000029,301.0,10.907789613848202,0.417
symbol,CF,4503,1.0,2.0,6.0,15.0,27.0,39.0,69.0,207.0,11.56495669553631,0.5
symbol,CU,5627,1.0,2.0,6.0,12.0,27.0,47.0,86.73999999999978,292.0,11.509685445175048,0.5
symbol,I,5079,1.0,2.0,6.0,14.0,25.0,36.0,69.0,238.0,10.962394172081119,0.5
symbol,M,4633,1.0,2.0,5.0,13.0,24.0,34.0,65.0,223.0,10.104036261601554,0.417
symbol,MA,4406,1.0,2.0,5.0,12.0,25.0,36.0,76.0,1407.0,11.679981842941444,0.417
symbol,NI,6394,1.0,2.0,5.0,12.0,25.0,43.0,92.0,350.0,11.061933062245856,0.417
symbol,P,4801,1.0,2.0,5.0,12.0,22.0,29.0,68.0,264.0,9.806290356175797,0.417
symbol,RB,4840,1.0,2.0,5.0,12.0,24.0,34.0,66.0,248.0,9.946694214876032,0.417
symbol,RU,4869,1.0,2.0,5.0,11.0,22.0,32.0,61.0,221.0,9.193879646744712,0.417
symbol,SC,6454,1.0,2.0,5.0,13.0,25.0,41.0,76.0,394.0,11.10784009916331,0.417
symbol,SN,5752,1.0,2.0,6.0,14.0,28.0,46.0,93.0,173.0,11.812586926286508,0.5
symbol,TA,4409,1.0,2.0,5.0,12.0,23.0,33.0,64.68000000000029,982.0,11.211385801769108,0.417
