universe,模型,n,base_rate,AUC,PR_AUC,Brier,Top20_rate,Lift@20,Top20_uplift
ALL15,M0_constant,29517,0.2749,0.5,0.2749,0.199342,0.2749,1.0,0.0
ALL15,M1_metadata,29517,0.2749,0.5224,0.2821,0.199205,0.2843,1.0342,0.0094
ALL15,M3_metadata_state,29517,0.2749,0.5084,0.2796,0.202355,0.2815,1.0239,0.0066
ALL15,ZS_M1,29517,0.2749,0.5231,0.2897,0.199052,0.2948,1.0722,0.0199
ALL15,ZS_M3,29517,0.2749,0.5022,0.2793,0.214781,0.2854,1.0381,0.0105
NEW11_zero_shot,M0_constant,21452,0.2736,0.5,0.2736,0.198759,0.2736,1.0,0.0
NEW11_zero_shot,M1_metadata,21452,0.2736,0.5219,0.2791,0.198659,0.2766,1.0108,0.003
NEW11_zero_shot,M3_metadata_state,21452,0.2736,0.5008,0.2738,0.202661,0.2666,0.9743,-0.007
NEW11_zero_shot,ZS_M1,21452,0.2736,0.53,0.294,0.198307,0.3004,1.0979,0.0268
NEW11_zero_shot,ZS_M3,21452,0.2736,0.4986,0.2761,0.217252,0.279,1.0194,0.0053
