feature,median_shift,missing_diff,frac_abs_z_gt5
last_swing_structure_type_1h,1.7214,0.0,0.0
group_has_15m,-1.0242,0.0,0.0
last_internal_structure_bias_5m,-1.0015,0.0,0.0
internal_bias_5m,-1.0015,0.0,0.0
last_internal_structure_type_15m,0.9976,0.0,0.0
last_internal_structure_bias_15m,0.9879,0.0,0.0
internal_bias_15m,0.9879,0.0,0.0
momentum_direction_15m,0.9783,0.0,0.0
momentum_direction_5m,-0.9755,0.0,0.0
last_swing_structure_bias_5m,0.9253,0.0,0.0
swing_bias_5m,0.9253,0.0,0.0
is_first_touch,-0.9172,0.0,0.0
momentum_direction_1h,0.9136,0.0,0.0
last_swing_structure_bias_1h,0.9073,0.0,0.0
swing_bias_1h,0.9073,0.0,0.0
last_internal_structure_type_5m,0.8967,0.0,0.0
source_ob_bias,0.8809,0.0,0.0
internal_bias_1h,0.8516,0.0,0.0
last_internal_structure_bias_1h,0.8516,0.0,0.0
last_swing_structure_bias_15m,0.8271,0.0,0.0
swing_bias_15m,0.8271,0.0,0.0
last_swing_structure_type_15m,0.8205,0.0,0.0
last_internal_structure_type_1h,0.8122,0.0,0.0
last_swing_structure_type_5m,0.7812,0.0,0.0
quant_top30_train,0.7102,-0.0021,0.0
quant_state,0.6593,0.0,0.0
group_candidate_count,-0.6483,0.0,0.00763
swing_high_relation_1h,-0.623,0.0,0.0
internal_low_relation_5m,0.6132,0.0,0.0
internal_high_relation_5m,-0.6028,0.0,0.0
swing_high_relation_15m,-0.56,0.0,0.0
internal_low_relation_15m,0.5559,0.0,0.0
last_swing_structure_age_1h,-0.5397,0.0,0.0
internal_high_relation_1h,-0.5372,0.0,0.0
internal_high_relation_15m,-0.5329,0.0,0.0
swing_high_relation_5m,-0.5322,0.0,0.0
group_has_5m,0.5261,0.0,0.0
swing_high_atr_1h,-0.515,0.0,0.00063
swing_low_relation_5m,0.5113,0.0,0.0
group_has_1h,-0.5102,0.0,0.0
internal_low_relation_1h,0.499,0.0,0.0
touch_intrabar_far_edge_breach,-0.4408,0.0,0.0
ob_above_atr_1h,-0.4237,-0.0831,0.0
touch_behavior,0.4128,0.0,0.0
swing_low_relation_15m,0.3964,0.0,0.0
ob_below_atr_1h,-0.3893,-0.001,0.00147
quant_width,-0.3752,-0.0021,0.0
swing_low_relation_1h,0.3703,0.0,0.0
source_ob_structure,-0.3578,0.0,0.0
source_ob_internal,0.3578,0.0,0.0
last_internal_structure_age_5m,-0.3205,0.0,0.00063
touch_close_beyond_far_edge,-0.3128,0.0,0.0
swing_low_atr_1h,-0.2843,0.0,0.00021
touch_reclaimed_by_close,-0.2818,0.0,0.0
source_ob_width_atr5,-0.2734,0.0,0.00767
above_ob_bias_15m,-0.272,-0.0349,0.0
below_ob_structure_class_5m,-0.2619,0.0,0.0
ob_above_atr_5m,-0.2592,-0.0169,0.00285
above_ob_structure_class_1h,0.2516,0.0,0.0
last_internal_structure_age_1h,-0.2499,0.0,0.0
last_swing_structure_age_5m,-0.2475,0.0,0.00172
above_ob_bias_1h,-0.2311,-0.0831,0.0
dsa_vwap_dev_pct_1h,-0.2276,-0.0068,0.0
swing_low_atr_5m,-0.2182,0.0,0.00168
dsa_vwap_dev_pct_5m,0.2151,0.0015,0.00021
below_ob_bias_15m,0.2131,-0.0037,0.0
internal_low_atr_5m,-0.2071,0.0,0.00201
sqzmom_delta_5m,0.2044,0.0,0.03559
dsa_direction_1h,-0.2016,0.0,0.0
internal_high_atr_5m,-0.1986,0.0,0.00147
internal_high_atr_1h,-0.197,0.0,0.00226
swing_high_atr_5m,-0.1764,0.0,0.00495
internal_low_atr_1h,-0.1707,0.0,0.00147
last_internal_structure_age_15m,-0.1702,0.0,0.00423
ob_below_atr_5m,-0.1701,0.0012,0.0047
ob_below_atr_15m,-0.1639,-0.0037,0.00566
touch_ordinal,-0.16,0.0,0.00801
ob_above_atr_15m,-0.156,-0.0349,0.0
swing_low_atr_15m,-0.1541,0.0,0.00172
dsa_raw_dsa_vwap_dev_pct_5m,0.1477,0.0,0.00021
below_ob_bias_1h,0.1438,-0.001,0.02679
internal_low_atr_15m,-0.1391,0.0,0.00277
internal_high_atr_15m,-0.1348,0.0,0.00612
sqzmom_delta_15m,0.1264,0.0,0.04812
sqzmom_val_5m,0.1236,0.0,0.04154
below_ob_structure_class_15m,-0.1192,0.0,0.0
sqzmom_delta_1h,0.0927,0.0,0.03488
above_ob_structure_class_15m,0.0895,0.0,0.0
last_swing_structure_age_15m,-0.0769,0.0,0.0
swing_high_atr_15m,-0.0605,0.0,0.00859
dsa_raw_dsa_vwap_dev_pct_15m,0.0599,0.0,0.00029
sqzmom_val_1h,-0.0575,0.0,0.0337
dsa_direction_5m,0.0466,0.0,0.0
dsa_vwap_dev_pct_15m,0.0465,-0.0741,0.0
dsa_direction_15m,-0.0079,0.0,0.0
dsa_raw_dsa_vwap_dev_pct_1h,-0.0056,0.0,0.0
above_ob_structure_class_5m,0.0033,0.0,0.0
below_ob_structure_class_1h,-0.0029,0.0,0.06376
quant_width_percentile_train,-0.0023,-0.0021,0.0
sqzmom_val_15m,-0.002,0.0,0.05156
