模型,特征视图,折,累计收益,夏普率,交易次数
CatBoost回归,SNAPSHOT,F1,-0.2988,-1.0502,277
CatBoost回归,SNAPSHOT,F2,-0.4613,-1.2329,403
CatBoost回归,SNAPSHOT,F3,0.1011,0.3483,339
CatBoost回归,SNAPSHOT,F4,-0.4417,-1.9112,206
CatBoost回归,TEMPORAL,F1,0.8659,4.4814,246
CatBoost回归,TEMPORAL,F2,0.8059,1.228,1099
CatBoost回归,TEMPORAL,F3,-0.9975,-1.8184,583
CatBoost回归,TEMPORAL,F4,0.0438,0.1957,219
LightGBM回归,SNAPSHOT,F1,0.5269,1.4731,563
LightGBM回归,SNAPSHOT,F2,0.9602,2.1735,703
LightGBM回归,SNAPSHOT,F3,0.4005,2.1699,113
LightGBM回归,SNAPSHOT,F4,-0.3218,-1.3265,202
LightGBM回归,TEMPORAL,F1,0.7119,1.9782,544
LightGBM回归,TEMPORAL,F2,1.1152,2.5052,622
LightGBM回归,TEMPORAL,F3,0.4005,2.1699,113
LightGBM回归,TEMPORAL,F4,-0.3218,-1.3265,202
XGBoost回归,SNAPSHOT,F1,0.3829,1.5189,229
XGBoost回归,SNAPSHOT,F2,-0.0727,-0.1844,606
XGBoost回归,SNAPSHOT,F3,0.3539,0.9143,548
XGBoost回归,SNAPSHOT,F4,-0.7873,-3.2229,242
XGBoost回归,TEMPORAL,F1,0.3829,1.5189,229
XGBoost回归,TEMPORAL,F2,0.0076,0.0287,268
XGBoost回归,TEMPORAL,F3,0.4276,1.0066,944
XGBoost回归,TEMPORAL,F4,-0.7248,-2.87,244
Ridge回归,SNAPSHOT,F1,-0.7416,-1.5506,532
Ridge回归,SNAPSHOT,F2,0.0843,0.9777,42
Ridge回归,SNAPSHOT,F3,0.3573,1.5397,119
Ridge回归,SNAPSHOT,F4,0.7325,2.816,339
Ridge回归,TEMPORAL,F1,-0.7922,-1.6608,532
Ridge回归,TEMPORAL,F2,1.1634,4.3724,175
Ridge回归,TEMPORAL,F3,0.303,1.3147,116
Ridge回归,TEMPORAL,F4,0.4629,1.8745,333
LightGBM回归+排序,SNAPSHOT,F1,1.1063,2.5095,511
LightGBM回归+排序,SNAPSHOT,F2,0.1976,0.3311,703
LightGBM回归+排序,SNAPSHOT,F3,0.5416,2.8215,112
LightGBM回归+排序,SNAPSHOT,F4,-0.5746,-2.1084,199
LightGBM回归+排序,TEMPORAL,F1,-0.009,-0.0281,299
LightGBM回归+排序,TEMPORAL,F2,0.9011,1.5767,620
LightGBM回归+排序,TEMPORAL,F3,-0.4762,-3.5495,113
LightGBM回归+排序,TEMPORAL,F4,-0.1687,-0.6016,198
XGBoost回归+排序,SNAPSHOT,F1,-0.6628,-1.3352,585
XGBoost回归+排序,SNAPSHOT,F2,-0.4115,-0.9342,606
XGBoost回归+排序,SNAPSHOT,F3,1.0406,1.8986,943
XGBoost回归+排序,SNAPSHOT,F4,-0.1609,-0.2232,1165
XGBoost回归+排序,TEMPORAL,F1,0.3796,1.3245,229
XGBoost回归+排序,TEMPORAL,F2,0.9035,1.6649,589
XGBoost回归+排序,TEMPORAL,F3,-0.5961,-1.5849,181
XGBoost回归+排序,TEMPORAL,F4,0.4278,1.2101,243
