模型,特征视图,品种,累计收益,夏普率,交易次数
CatBoost回归,SNAPSHOT,AG,-3.2792,-1.2934,537
CatBoost回归,SNAPSHOT,CU,-0.5783,-0.1966,577
CatBoost回归,SNAPSHOT,M,0.5637,0.5491,69
CatBoost回归,SNAPSHOT,RB,-1.504,-1.3443,42
CatBoost回归,TEMPORAL,AG,-3.4762,-0.7871,948
CatBoost回归,TEMPORAL,CU,1.242,0.2862,849
CatBoost回归,TEMPORAL,M,1.2759,0.5875,206
CatBoost回归,TEMPORAL,RB,-0.626,-0.4146,144
LightGBM回归,SNAPSHOT,AG,0.258,0.0936,586
LightGBM回归,SNAPSHOT,CU,4.2718,1.5128,615
LightGBM回归,SNAPSHOT,M,-3.3574,-1.8674,224
LightGBM回归,SNAPSHOT,RB,-0.5733,-0.4471,156
LightGBM回归,TEMPORAL,AG,-0.0315,-0.0111,584
LightGBM回归,TEMPORAL,CU,4.5917,1.6602,609
LightGBM回归,TEMPORAL,M,-2.7315,-1.672,183
LightGBM回归,TEMPORAL,RB,-0.2692,-0.2563,105
XGBoost回归,SNAPSHOT,AG,-0.8997,-0.3141,758
XGBoost回归,SNAPSHOT,CU,0.1984,0.071,640
XGBoost回归,SNAPSHOT,M,-0.548,-0.3641,133
XGBoost回归,SNAPSHOT,RB,0.4361,0.4235,94
XGBoost回归,TEMPORAL,AG,-0.996,-0.3323,752
XGBoost回归,TEMPORAL,CU,-0.5699,-0.1856,573
XGBoost回归,TEMPORAL,M,1.1561,0.6814,191
XGBoost回归,TEMPORAL,RB,-0.0145,-0.0094,169
Ridge回归,SNAPSHOT,AG,-1.7413,-0.7368,351
Ridge回归,SNAPSHOT,CU,2.62,0.7925,553
Ridge回归,SNAPSHOT,M,4.5841,1.8237,68
Ridge回归,SNAPSHOT,RB,-3.1278,-2.7317,60
Ridge回归,TEMPORAL,AG,-1.8824,-0.7768,388
Ridge回归,TEMPORAL,CU,5.4045,1.4594,639
Ridge回归,TEMPORAL,M,4.5249,1.7503,70
Ridge回归,TEMPORAL,RB,-3.0801,-2.6823,59
LightGBM回归+排序,SNAPSHOT,AG,-1.3355,-0.4383,583
LightGBM回归+排序,SNAPSHOT,CU,5.0357,1.4787,612
LightGBM回归+排序,SNAPSHOT,M,-0.3186,-0.1302,197
LightGBM回归+排序,SNAPSHOT,RB,2.5248,1.5022,133
LightGBM回归+排序,TEMPORAL,AG,-4.3896,-1.6804,489
LightGBM回归+排序,TEMPORAL,CU,4.2273,1.244,513
LightGBM回归+排序,TEMPORAL,M,1.1365,0.6006,155
LightGBM回归+排序,TEMPORAL,RB,-0.1197,-0.162,73
XGBoost回归+排序,SNAPSHOT,AG,3.5825,0.7418,1273
XGBoost回归+排序,SNAPSHOT,CU,5.9059,1.097,1249
XGBoost回归+排序,SNAPSHOT,M,1.7953,0.5337,390
XGBoost回归+排序,SNAPSHOT,RB,-2.7464,-1.0749,387
XGBoost回归+排序,TEMPORAL,AG,-0.1731,-0.0489,584
XGBoost回归+排序,TEMPORAL,CU,4.0767,1.2113,491
XGBoost回归+排序,TEMPORAL,M,0.5048,0.2639,102
XGBoost回归+排序,TEMPORAL,RB,4.6513,1.8341,65
