sample_reason,candidate_id,symbol,touch_time,break_step,break_from,break_to,gap_minutes,reason
夜盘正常结束,AG:5m:1:-1:6608:6613:4,AG,2025-04-08 01:45:00,10.0,2025-04-08 02:25:00,2025-04-08 09:00:00,395.0,夜盘正常结束
夜盘正常结束,RB:5m:1:-1:7661:7671:1,RB,2025-06-26 22:05:00,12.0,2025-06-26 22:55:00,2025-06-27 09:00:00,605.0,夜盘正常结束
夜盘正常结束,M:15m:1:1:2046:2061:18,M,2025-07-07 22:55:00,2.0,2025-07-07 22:55:00,2025-07-08 09:00:00,605.0,夜盘正常结束
夜盘正常结束,RB:15m:1:-1:7745:7753:4,RB,2026-06-03 22:05:00,12.0,2026-06-03 22:55:00,2026-06-04 09:00:00,605.0,夜盘正常结束
夜盘正常结束,CU:5m:1:-1:19083:19090:1,CU,2025-11-13 00:05:00,12.0,2025-11-13 00:55:00,2025-11-13 09:00:00,485.0,夜盘正常结束
夜盘正常结束,RB:5m:1:1:10473:10486:10,RB,2025-08-26 22:40:00,5.0,2025-08-26 22:55:00,2025-08-27 09:00:00,605.0,夜盘正常结束
夜盘正常结束,CU:15m:1:1:387:388:7,CU,2025-01-23 00:05:00,12.0,2025-01-23 00:55:00,2025-01-23 09:00:00,485.0,夜盘正常结束
夜盘正常结束,CU:5m:1:1:1466:1476:1,CU,2025-01-24 00:15:00,10.0,2025-01-24 00:55:00,2025-01-24 09:00:00,485.0,夜盘正常结束
夜盘正常结束,CU:5m:1:-1:20279:20285:2,CU,2025-12-02 00:15:00,10.0,2025-12-02 00:55:00,2025-12-02 09:00:00,485.0,夜盘正常结束
夜盘正常结束,CU:5m:1:-1:34841:34845:1,CU,2026-07-30 00:30:00,7.0,2026-07-30 00:55:00,2026-07-30 09:00:00,485.0,夜盘正常结束
夜盘正常结束,CU:15m:1:1:9398:9404:6,CU,2026-04-30 00:20:00,9.0,2026-04-30 00:55:00,2026-04-30 09:00:00,485.0,夜盘正常结束
夜盘正常结束,RB:1h:1:-1:401:416:2,RB,2025-04-07 22:55:00,2.0,2025-04-07 22:55:00,2025-04-08 09:00:00,605.0,夜盘正常结束
夜盘正常结束,M:5m:1:-1:19855:19857:5,M,2026-05-13 22:15:00,10.0,2026-05-13 22:55:00,2026-05-14 09:00:00,605.0,夜盘正常结束
夜盘正常结束,CU:5m:1:-1:24109:24121:2,CU,2026-02-04 00:45:00,4.0,2026-02-04 00:55:00,2026-02-04 09:00:00,485.0,夜盘正常结束
夜盘正常结束,RB:15m:1:1:6417:6419:6,RB,2026-04-09 22:55:00,2.0,2026-04-09 22:55:00,2026-04-10 09:00:00,605.0,夜盘正常结束
夜盘正常结束,M:5m:1:1:12395:12398:3,M,2025-09-29 22:45:00,4.0,2025-09-29 22:55:00,2025-09-30 09:00:00,605.0,夜盘正常结束
夜盘正常结束,RB:1h:1:1:2397:2401:2,RB,2026-06-11 22:25:00,8.0,2026-06-11 22:55:00,2026-06-12 09:00:00,605.0,夜盘正常结束
夜盘正常结束,CU:5m:1:-1:24517:24524:1,CU,2026-02-06 00:45:00,4.0,2026-02-06 00:55:00,2026-02-06 09:00:00,485.0,夜盘正常结束
夜盘正常结束,M:5m:1:-1:10713:10736:2,M,2026-03-12 22:20:00,9.0,2026-03-12 22:55:00,2026-03-13 09:00:00,605.0,夜盘正常结束
夜盘正常结束,M:5m:1:-1:18852:18854:2,M,2026-02-26 22:10:00,11.0,2026-02-26 22:55:00,2026-02-27 09:00:00,605.0,夜盘正常结束
数据末尾不足12根,AG:5m:1:1:44349:44364:1,AG,2026-09-04 14:40:00,,,,,数据末尾不足12根
数据末尾不足12根,RB:5m:1:-1:27807:27812:1,RB,2026-09-04 14:50:00,,,,,数据末尾不足12根
数据末尾不足12根,RB:15m:1:-1:9212:9215:2,RB,2026-09-04 14:05:00,,,,,数据末尾不足12根
数据末尾不足12根,AG:15m:1:1:14783:14788:1,AG,2026-09-04 14:35:00,,,,,数据末尾不足12根
数据末尾不足12根,RB:5m:1:1:27796:27799:1,RB,2026-09-04 14:40:00,,,,,数据末尾不足12根
日盘与夜盘之间,RB:5m:1:-1:15843:15851:1,RB,2025-12-16 14:25:00,8.0,2025-12-16 14:55:00,2025-12-16 21:00:00,365.0,日盘与夜盘之间
日盘与夜盘之间,CU:5m:1:-1:23507:23512:7,CU,2026-01-22 14:35:00,6.0,2026-01-22 14:55:00,2026-01-22 21:00:00,365.0,日盘与夜盘之间
日盘与夜盘之间,CU:5m:1:-1:15732:15738:2,CU,2025-09-15 14:35:00,6.0,2025-09-15 14:55:00,2025-09-15 21:00:00,365.0,日盘与夜盘之间
日盘与夜盘之间,RB:5m:1:-1:21199:21208:2,RB,2026-04-17 14:40:00,5.0,2026-04-17 14:55:00,2026-04-17 21:00:00,365.0,日盘与夜盘之间
日盘与夜盘之间,CU:5m:1:-1:380:397:1,CU,2025-01-08 14:45:00,4.0,2025-01-08 14:55:00,2025-01-08 21:00:00,365.0,日盘与夜盘之间
日盘与夜盘之间,RB:5m:1:1:24568:24576:3,RB,2026-07-02 14:50:00,3.0,2026-07-02 14:55:00,2026-07-02 21:00:00,365.0,日盘与夜盘之间
日盘与夜盘之间,CU:5m:1:1:36102:36106:1,CU,2026-08-18 14:45:00,4.0,2026-08-18 14:55:00,2026-08-18 21:00:00,365.0,日盘与夜盘之间
日盘与夜盘之间,M:15m:1:1:4546:4554:2,M,2025-11-03 14:50:00,3.0,2025-11-03 14:55:00,2025-11-03 21:00:00,365.0,日盘与夜盘之间
日盘与夜盘之间,RB:5m:1:1:4935:4941:1,RB,2025-04-24 14:15:00,10.0,2025-04-24 14:55:00,2025-04-24 21:00:00,365.0,日盘与夜盘之间
日盘与夜盘之间,M:5m:1:-1:14988:14997:1,M,2025-11-28 14:20:00,9.0,2025-11-28 14:55:00,2025-11-28 21:00:00,365.0,日盘与夜盘之间
日盘与夜盘之间,AG:5m:1:1:2617:2625:3,AG,2025-02-13 14:50:00,3.0,2025-02-13 14:55:00,2025-02-13 21:00:00,365.0,日盘与夜盘之间
日盘与夜盘之间,AG:5m:0:1:33483:33550:1,AG,2026-04-24 14:55:00,2.0,2026-04-24 14:55:00,2026-04-24 21:00:00,365.0,日盘与夜盘之间
日盘与夜盘之间,CU:5m:1:1:13751:13758:4,CU,2025-08-18 14:10:00,11.0,2025-08-18 14:55:00,2025-08-18 21:00:00,365.0,日盘与夜盘之间
日盘与夜盘之间,AG:15m:1:1:8773:8777:2,AG,2025-12-29 14:30:00,7.0,2025-12-29 14:55:00,2025-12-29 21:00:00,365.0,日盘与夜盘之间
