scope,触碰小时,合格事件数,可评价事件数,删除数,删除比例
ALL,0,827,827,0,0.0
ALL,1,466,466,0,0.0
ALL,2,283,283,0,0.0
ALL,9,3815,3815,0,0.0
ALL,10,2043,2043,0,0.0
ALL,11,1430,1430,0,0.0
ALL,13,1519,1519,0,0.0
ALL,14,2609,2604,5,0.001916
ALL,15,210,210,0,0.0
ALL,21,3697,3697,0,0.0
ALL,22,2088,2088,0,0.0
ALL,23,1026,1026,0,0.0
AG,0,385,385,0,0.0
AG,1,417,417,0,0.0
AG,2,283,283,0,0.0
AG,9,969,969,0,0.0
AG,10,489,489,0,0.0
AG,11,304,304,0,0.0
AG,13,396,396,0,0.0
AG,14,575,573,2,0.003478
AG,15,37,37,0,0.0
AG,21,893,893,0,0.0
AG,22,587,587,0,0.0
AG,23,443,443,0,0.0
CU,0,442,442,0,0.0
CU,1,49,49,0,0.0
CU,9,853,853,0,0.0
CU,10,471,471,0,0.0
CU,11,334,334,0,0.0
CU,13,424,424,0,0.0
CU,14,603,603,0,0.0
CU,15,44,44,0,0.0
CU,21,1003,1003,0,0.0
CU,22,522,522,0,0.0
CU,23,480,480,0,0.0
M,9,1006,1006,0,0.0
M,10,493,493,0,0.0
M,11,353,353,0,0.0
M,13,300,300,0,0.0
M,14,659,659,0,0.0
M,15,63,63,0,0.0
M,21,923,923,0,0.0
M,22,537,537,0,0.0
M,23,44,44,0,0.0
RB,9,987,987,0,0.0
RB,10,590,590,0,0.0
RB,11,439,439,0,0.0
RB,13,399,399,0,0.0
RB,14,772,769,3,0.003886
RB,15,66,66,0,0.0
RB,21,878,878,0,0.0
RB,22,442,442,0,0.0
RB,23,59,59,0,0.0
