candidate_id,symbol,trading_day,touch_time,reward_observation_end_time,split
M:5m:1:-1:5:9:1,M,2025-01-02,2025-01-02 10:10:00,2025-01-02 11:25:00,TRAIN
M:5m:1:-1:5:9:2,M,2025-01-02,2025-01-02 11:25:00,2025-01-02 13:50:00,TRAIN
RB:5m:1:1:9:13:1,RB,2025-01-02,2025-01-02 13:35:00,2025-01-02 14:20:00,TRAIN
AG:5m:1:1:36:45:1,AG,2025-01-03,2025-01-02 21:15:00,2025-01-02 22:00:00,TRAIN
AG:15m:1:1:23:29:1,AG,2025-01-03,2025-01-03 01:35:00,2025-01-03 09:05:00,TRAIN
AG:5m:1:1:69:85:1,AG,2025-01-03,2025-01-03 01:45:00,2025-01-03 09:05:00,TRAIN
AG:15m:1:1:23:29:2,AG,2025-01-03,2025-01-03 02:25:00,2025-01-03 09:05:00,TRAIN
AG:5m:1:1:69:85:2,AG,2025-01-03,2025-01-03 09:35:00,2025-01-03 10:35:00,TRAIN
AG:15m:1:1:23:29:3,AG,2025-01-03,2025-01-03 09:35:00,2025-01-03 10:35:00,TRAIN
AG:5m:1:1:69:85:3,AG,2025-01-03,2025-01-03 10:05:00,2025-01-03 10:35:00,TRAIN
AG:5m:1:-1:111:118:1,AG,2025-01-03,2025-01-03 10:35:00,2025-01-03 13:35:00,TRAIN
AG:15m:1:-1:37:39:1,AG,2025-01-03,2025-01-03 10:35:00,2025-01-03 13:35:00,TRAIN
AG:15m:1:1:23:29:4,AG,2025-01-03,2025-01-03 10:55:00,2025-01-03 13:35:00,TRAIN
AG:5m:1:-1:111:118:2,AG,2025-01-03,2025-01-03 11:05:00,2025-01-03 13:35:00,TRAIN
AG:5m:1:1:69:85:4,AG,2025-01-03,2025-01-03 13:35:00,2025-01-03 14:35:00,TRAIN
AG:15m:1:1:23:29:5,AG,2025-01-03,2025-01-03 13:35:00,2025-01-03 14:35:00,TRAIN
AG:15m:1:-1:37:39:2,AG,2025-01-03,2025-01-03 14:25:00,2025-01-03 21:05:00,TRAIN
AG:15m:1:-1:37:39:3,AG,2025-01-03,2025-01-03 14:40:00,2025-01-03 21:05:00,TRAIN
AG:15m:1:-1:37:39:4,AG,2025-01-03,2025-01-03 15:00:00,2025-01-03 21:05:00,TRAIN
CU:15m:1:-1:8:15:1,CU,2025-01-03,2025-01-03 10:35:00,2025-01-03 10:55:00,TRAIN
CU:5m:1:1:103:108:1,CU,2025-01-03,2025-01-03 11:15:00,2025-01-03 13:35:00,TRAIN
CU:5m:1:1:83:88:1,CU,2025-01-03,2025-01-03 11:25:00,2025-01-03 14:25:00,TRAIN
M:5m:1:-1:5:9:3,M,2025-01-03,2025-01-02 21:05:00,2025-01-02 21:40:00,TRAIN
M:5m:1:-1:14:27:1,M,2025-01-03,2025-01-02 21:05:00,2025-01-02 21:40:00,TRAIN
M:15m:1:-1:4:9:1,M,2025-01-03,2025-01-02 21:05:00,2025-01-02 21:40:00,TRAIN
M:5m:1:-1:45:54:1,M,2025-01-03,2025-01-03 09:05:00,2025-01-03 10:00:00,TRAIN
M:15m:1:-1:4:9:2,M,2025-01-03,2025-01-03 09:05:00,2025-01-03 10:00:00,TRAIN
AG:5m:1:-1:111:118:3,AG,2025-01-06,2025-01-03 21:05:00,2025-01-03 21:20:00,TRAIN
AG:5m:1:1:172:174:1,AG,2025-01-06,2025-01-03 22:55:00,2025-01-03 23:55:00,TRAIN
AG:5m:1:1:172:174:2,AG,2025-01-06,2025-01-03 23:05:00,2025-01-04 00:05:00,TRAIN
AG:5m:1:1:160:167:1,AG,2025-01-06,2025-01-04 01:35:00,2025-01-06 09:05:00,TRAIN
AG:5m:1:-1:192:210:1,AG,2025-01-06,2025-01-06 09:20:00,2025-01-06 09:55:00,TRAIN
AG:15m:1:-1:64:70:1,AG,2025-01-06,2025-01-06 09:20:00,2025-01-06 09:55:00,TRAIN
AG:5m:1:1:216:223:1,AG,2025-01-06,2025-01-06 09:45:00,2025-01-06 10:05:00,TRAIN
AG:15m:1:-1:75:77:1,AG,2025-01-06,2025-01-06 10:45:00,2025-01-06 13:35:00,TRAIN
AG:5m:1:-1:225:232:1,AG,2025-01-06,2025-01-06 11:00:00,2025-01-06 13:35:00,TRAIN
AG:15m:1:-1:75:77:2,AG,2025-01-06,2025-01-06 11:10:00,2025-01-06 13:35:00,TRAIN
AG:15m:1:1:46:52:1,AG,2025-01-06,2025-01-06 13:35:00,2025-01-06 14:05:00,TRAIN
AG:15m:1:1:16:21:1,AG,2025-01-06,2025-01-06 13:40:00,2025-01-06 14:05:00,TRAIN
CU:5m:1:-1:108:118:1,CU,2025-01-06,2025-01-03 21:05:00,2025-01-03 21:20:00,TRAIN
CU:5m:1:-1:33:41:1,CU,2025-01-06,2025-01-03 21:15:00,2025-01-03 21:55:00,TRAIN
CU:15m:1:-1:8:15:2,CU,2025-01-06,2025-01-03 21:15:00,2025-01-03 21:55:00,TRAIN
CU:15m:1:1:54:62:1,CU,2025-01-06,2025-01-06 13:50:00,2025-01-06 14:30:00,TRAIN
CU:5m:1:1:162:188:1,CU,2025-01-06,2025-01-06 14:25:00,2025-01-06 21:05:00,TRAIN
CU:15m:1:1:54:62:2,CU,2025-01-06,2025-01-06 14:25:00,2025-01-06 21:05:00,TRAIN
M:5m:1:-1:106:115:1,M,2025-01-06,2025-01-03 22:30:00,2025-01-06 09:05:00,TRAIN
M:5m:1:-1:106:115:2,M,2025-01-06,2025-01-06 09:10:00,2025-01-06 09:30:00,TRAIN
M:5m:1:-1:96:98:1,M,2025-01-06,2025-01-06 09:30:00,2025-01-06 10:45:00,TRAIN
M:5m:1:-1:96:98:2,M,2025-01-06,2025-01-06 09:50:00,2025-01-06 10:55:00,TRAIN
M:5m:1:1:175:176:1,M,2025-01-06,2025-01-06 14:40:00,2025-01-06 21:05:00,TRAIN
M:5m:1:-1:150:159:1,M,2025-01-06,2025-01-06 14:50:00,2025-01-06 21:05:00,TRAIN
RB:5m:1:-1:107:120:1,RB,2025-01-06,2025-01-03 21:55:00,2025-01-03 22:55:00,TRAIN
RB:15m:1:-1:35:40:1,RB,2025-01-06,2025-01-03 21:55:00,2025-01-03 22:55:00,TRAIN
RB:5m:1:-1:107:120:2,RB,2025-01-06,2025-01-03 22:05:00,2025-01-06 09:05:00,TRAIN
RB:5m:1:-1:84:87:1,RB,2025-01-06,2025-01-03 22:45:00,2025-01-06 09:10:00,TRAIN
RB:5m:1:1:126:134:1,RB,2025-01-06,2025-01-03 22:55:00,2025-01-06 09:20:00,TRAIN
