feature_index,feature_name,physical_group,source_module,source_field,decision_time_available,future_data_risk,missing_rate,dtype,notes,family,is_categorical,varies_across_actions,candidates_with_variation,row_grain
1,source_tf,订单块或结构位置,research/ob_rl_model_view_v0_spec.py,source_tf,YES,NONE,0.0,object,订单块来源周期 5m/15m/1h,EVENT,True,False,0,candidate_x_action
2,source_ob_structure,订单块或结构位置,research/ob_rl_model_view_v0_spec.py,source_ob_structure,YES,NONE,0.0,object,订单块结构类型 internal/swing,EVENT,True,False,0,candidate_x_action
3,source_ob_bias,订单块或结构位置,research/ob_rl_model_view_v0_spec.py,source_ob_bias,YES,NONE,0.0,int64,订单块方向 +1 多头 / -1 空头,EVENT,False,False,0,candidate_x_action
4,source_ob_width_atr5,订单块或结构位置,research/ob_rl_model_view_v0_spec.py,source_ob_width_atr5,YES,NONE,0.0,float64,订单块宽度，按 ATR5 归一化,EVENT,False,False,0,candidate_x_action
5,touch_behavior,订单块或结构位置,research/ob_rl_model_view_v0_spec.py,touch_behavior,YES,NONE,0.0,object,触碰行为 NO_BREACH/BREACH_RECLAIM/CLOSE_BEYOND,EVENT,True,False,0,candidate_x_action
6,touch_ordinal,订单块或结构位置,research/ob_rl_model_view_v0_spec.py,touch_ordinal,YES,NONE,0.0,int64,该订单块被触碰的序号,EVENT,False,False,0,candidate_x_action
7,internal_bias_rel_5m,趋势,research/ob_rl_model_view_v0_spec.py,internal_bias_rel_5m,ACTION_DEPENDENT,NONE,0.0,float64,5m 内部结构方向，按交易方向旋转,SMC_5m,False,True,10065,candidate_x_action
8,swing_bias_rel_5m,趋势,research/ob_rl_model_view_v0_spec.py,swing_bias_rel_5m,ACTION_DEPENDENT,NONE,0.0,float64,5m 摆动结构方向，按交易方向旋转,SMC_5m,False,True,10031,candidate_x_action
9,target_fit_internal_5m,结构,research/ob_rl_model_view_v0_spec.py,target_fit_internal_5m,ACTION_DEPENDENT,NONE,0.301788,float64,5m 前方内部结构距离 / 目标距离，随 target_R 变化,SMC_5m,False,True,10065,candidate_x_action
10,target_fit_swing_5m,结构,research/ob_rl_model_view_v0_spec.py,target_fit_swing_5m,ACTION_DEPENDENT,NONE,0.217337,float64,5m 前方摆动结构距离 / 目标距离，随 target_R 变化,SMC_5m,False,True,10057,candidate_x_action
11,target_fit_ob_5m,订单块或结构位置,research/ob_rl_model_view_v0_spec.py,target_fit_ob_5m,ACTION_DEPENDENT,NONE,0.015698,float64,5m 前方活跃订单块距离 / 目标距离，随 target_R 变化,SMC_5m,False,True,10065,candidate_x_action
12,stop_structure_internal_5m,结构,research/ob_rl_model_view_v0_spec.py,stop_structure_internal_5m,ACTION_DEPENDENT,NONE,0.301788,float64,5m 后方内部结构距离 / 止损距离，止损固定 1 ATR，随方向翻转,SMC_5m,False,True,9968,candidate_x_action
13,stop_structure_swing_5m,结构,research/ob_rl_model_view_v0_spec.py,stop_structure_swing_5m,ACTION_DEPENDENT,NONE,0.217337,float64,5m 后方摆动结构距离 / 止损距离，止损固定 1 ATR，随方向翻转,SMC_5m,False,True,10020,candidate_x_action
14,stop_structure_ob_5m,订单块或结构位置,research/ob_rl_model_view_v0_spec.py,stop_structure_ob_5m,ACTION_DEPENDENT,NONE,0.015698,float64,5m 后方活跃订单块距离 / 止损距离，止损固定 1 ATR，随方向翻转,SMC_5m,False,True,9910,candidate_x_action
15,forward_active_ob_bias_rel_5m,订单块或结构位置,research/ob_rl_model_view_v0_spec.py,forward_active_ob_bias_rel_5m,ACTION_DEPENDENT,NONE,0.015698,float64,5m 前方最近活跃订单块方向，按交易方向旋转,SMC_5m,False,True,316,candidate_x_action
16,forward_active_ob_structure_class_5m,订单块或结构位置,research/ob_rl_model_view_v0_spec.py,forward_active_ob_structure_class_5m,ACTION_DEPENDENT,NONE,0.015698,object,5m 前方最近活跃订单块结构类别，缺失为 NO_OB,SMC_5m,True,True,1705,candidate_x_action
17,backward_active_ob_bias_5m,订单块或结构位置,research/ob_rl_model_view_v0_spec.py,backward_active_ob_bias_5m,ACTION_DEPENDENT,NONE,0.015698,float64,5m 后方最近活跃订单块方向,SMC_5m,False,True,10065,candidate_x_action
18,backward_active_ob_structure_class_5m,订单块或结构位置,research/ob_rl_model_view_v0_spec.py,backward_active_ob_structure_class_5m,ACTION_DEPENDENT,NONE,0.015698,object,5m 后方最近活跃订单块结构类别，缺失为 NO_OB,SMC_5m,True,True,1705,candidate_x_action
19,internal_bias_rel_15m,趋势,research/ob_rl_model_view_v0_spec.py,internal_bias_rel_15m,ACTION_DEPENDENT,NONE,0.0,float64,15m 内部结构方向，按交易方向旋转,SMC_15m,False,True,10063,candidate_x_action
20,swing_bias_rel_15m,趋势,research/ob_rl_model_view_v0_spec.py,swing_bias_rel_15m,ACTION_DEPENDENT,NONE,0.0,float64,15m 摆动结构方向，按交易方向旋转,SMC_15m,False,True,9913,candidate_x_action
21,target_fit_internal_15m,结构,research/ob_rl_model_view_v0_spec.py,target_fit_internal_15m,ACTION_DEPENDENT,NONE,0.250671,float64,15m 前方内部结构距离 / 目标距离，随 target_R 变化,SMC_15m,False,True,10065,candidate_x_action
22,target_fit_swing_15m,结构,research/ob_rl_model_view_v0_spec.py,target_fit_swing_15m,ACTION_DEPENDENT,NONE,0.210184,float64,15m 前方摆动结构距离 / 目标距离，随 target_R 变化,SMC_15m,False,True,10021,candidate_x_action
23,target_fit_ob_15m,订单块或结构位置,research/ob_rl_model_view_v0_spec.py,target_fit_ob_15m,ACTION_DEPENDENT,NONE,0.040387,float64,15m 前方活跃订单块距离 / 目标距离，随 target_R 变化,SMC_15m,False,True,10058,candidate_x_action
24,stop_structure_internal_15m,结构,research/ob_rl_model_view_v0_spec.py,stop_structure_internal_15m,ACTION_DEPENDENT,NONE,0.250671,float64,15m 后方内部结构距离 / 止损距离，止损固定 1 ATR，随方向翻转,SMC_15m,False,True,9981,candidate_x_action
25,stop_structure_swing_15m,结构,research/ob_rl_model_view_v0_spec.py,stop_structure_swing_15m,ACTION_DEPENDENT,NONE,0.210184,float64,15m 后方摆动结构距离 / 止损距离，止损固定 1 ATR，随方向翻转,SMC_15m,False,True,10004,candidate_x_action
