品种,模型,退出方式,累计收益,夏普率,最大回撤,利润因子,交易次数,提前退出比例,平均持有K线数
AG,LightGBM,固定退出,2.3702,0.3037,9.0983,1.0708178676104423,624,0.0,
AG,LightGBM,动态退出,-1.0057,-0.1501,7.9292,1.0642739382602264,624,0.3221,3.484
AG,XGBoost,固定退出,2.3702,0.3037,9.0983,1.0708178676104423,624,0.0,
AG,XGBoost,动态退出,-2.5515,-0.382,11.23,1.055346092425516,624,0.3862,3.4696
AG,线性,固定退出,2.3702,0.3037,9.0983,1.0708178676104423,624,0.0,
AG,线性,动态退出,4.5732,0.751,7.1229,1.0469787648691538,624,0.4792,2.476
CU,LightGBM,固定退出,10.7711,1.2689,7.6392,1.195592046933881,662,0.0,
CU,LightGBM,动态退出,5.4028,0.7376,7.9839,1.1621827603096755,662,0.352,4.0498
CU,XGBoost,固定退出,10.7711,1.2689,7.6392,1.195592046933881,662,0.0,
CU,XGBoost,动态退出,4.6773,0.6769,10.3837,1.1364450777026243,662,0.3958,3.7281
CU,线性,固定退出,10.7711,1.2689,7.6392,1.195592046933881,662,0.0,
CU,线性,动态退出,8.6259,1.2897,7.6546,1.1844317969688996,662,0.4713,3.0725
M,LightGBM,固定退出,-13.5243,-2.7342,15.5873,0.7650322359998273,227,0.0,
M,LightGBM,动态退出,-15.0713,-3.3431,18.6173,0.768097310457579,227,0.4053,4.5463
M,XGBoost,固定退出,-13.5243,-2.7342,15.5873,0.7650322359998273,227,0.0,
M,XGBoost,动态退出,-16.7304,-3.8945,19.3171,0.7068377521069897,227,0.4273,4.467
M,线性,固定退出,-13.5243,-2.7342,15.5873,0.7650322359998273,227,0.0,
M,线性,动态退出,-12.2039,-3.7405,13.1399,0.7459829297449045,227,0.5507,2.8855
RB,LightGBM,固定退出,-2.1561,-0.5789,12.9246,1.483664147648819,168,0.0,
RB,LightGBM,动态退出,-9.7058,-3.0056,16.4126,1.1521007742426024,168,0.3988,4.3155
RB,XGBoost,固定退出,-2.1561,-0.5789,12.9246,1.483664147648819,168,0.0,
RB,XGBoost,动态退出,-11.902,-3.9232,16.3721,1.147960633042694,168,0.3988,4.131
RB,线性,固定退出,-2.1561,-0.5789,12.9246,1.483664147648819,168,0.0,
RB,线性,动态退出,-5.7361,-2.2744,8.4407,1.2305875285016694,168,0.5655,2.5476
