feature,group,n_valid,nan_rate,p10,median,p90,note
approach_return_R_3,3,96900,0.0,-0.2703,0.6977,2.0,
approach_return_R_6,6,96900,0.0,-0.2966,1.0,2.5543,
approach_return_R_12,12,96900,0.0,-0.3125,1.3257,3.3824,
path_length_R_3,3,96900,0.0,0.4545,1.2663,2.3529,
path_length_R_6,6,96900,0.0,1.1321,2.4634,3.6667,
path_length_R_12,12,96900,0.0,2.4286,4.5833,6.9231,
efficiency_3,3,96900,0.0,0.1429,0.7377,1.0,unsigned |net|/plen；与 approach_efficiency_3 互补（符号 vs 幅度）
efficiency_6,6,96900,0.0,0.0952,0.5,0.9149,
efficiency_12,12,96900,0.0,0.0667,0.3333,0.6842,
toward_fraction_3,3,96900,0.0,0.3333,0.6667,1.0,
toward_fraction_6,6,96900,0.0,0.3333,0.5,0.8333,
toward_fraction_12,12,96900,0.0,0.3333,0.5,0.6667,
mean_range_R_3,3,96900,0.0,0.463,0.8621,1.0897,
mean_range_R_6,6,96900,0.0,0.4444,0.8205,1.0526,
mean_range_R_12,12,96900,0.0,0.4167,0.7738,1.1047,
range_ratio_3_12,derived,96900,0.0,0.7522,1.0526,1.5833,
approach_efficiency_3,derived,96900,0.0,-0.3333,0.6471,1.0,"SIGNED counterpart of efficiency_3: equals side*net/plen (= approach_return_R_3 / path_length_R_3), NOT identical to unsigned efficiency_3"
