feature_set,model,wf,roc_auc,n
G4_ONLY,logistic,WF1,0.6131881302943929,18389
G4_ONLY,logistic,WF2,0.6332553021571268,16263
G4_ONLY,logistic,WF3,0.630811055629475,15577
G4_ONLY,hgb,WF1,0.6211161322746301,18389
G4_ONLY,hgb,WF2,0.6373464206630755,16263
G4_ONLY,hgb,WF3,0.6361290432434763,15577
G4_BASE,logistic,WF1,0.6037712454237477,18389
G4_BASE,logistic,WF2,0.6336313216733169,16263
G4_BASE,logistic,WF3,0.630743576072141,15577
G4_BASE,hgb,WF1,0.6336228113288576,18389
G4_BASE,hgb,WF2,0.6591039918664263,16263
G4_BASE,hgb,WF3,0.6626762290939371,15577
G4_D1,logistic,WF1,0.5984644914336399,18389
G4_D1,logistic,WF2,0.6326311602305783,16263
G4_D1,logistic,WF3,0.6324853308962293,15577
G4_D1,hgb,WF1,0.6338227552254175,18389
G4_D1,hgb,WF2,0.6588777399312632,16263
G4_D1,hgb,WF3,0.6593083499372244,15577
