selector,wf,symbol,n_selected,selection_rate,actionable_precision,n_pred_LONG,n_pred_SHORT
S3_CLASS_SPECIFIC_PRECISION,WF1,AG,147,0.1327,0.6871,66,81
S3_CLASS_SPECIFIC_PRECISION,WF1,AL,423,0.2257,0.6312,210,213
S3_CLASS_SPECIFIC_PRECISION,WF1,AU,208,0.1742,0.6058,115,93
S3_CLASS_SPECIFIC_PRECISION,WF1,CF,326,0.1474,0.7147,111,215
S3_CLASS_SPECIFIC_PRECISION,WF1,CU,249,0.1794,0.6506,155,94
S3_CLASS_SPECIFIC_PRECISION,WF1,I,301,0.1352,0.6611,153,148
S3_CLASS_SPECIFIC_PRECISION,WF1,M,392,0.2153,0.6454,189,203
S3_CLASS_SPECIFIC_PRECISION,WF1,MA,348,0.1997,0.6437,142,206
S3_CLASS_SPECIFIC_PRECISION,WF1,NI,314,0.204,0.5287,135,179
S3_CLASS_SPECIFIC_PRECISION,WF1,P,339,0.2453,0.6106,152,187
S3_CLASS_SPECIFIC_PRECISION,WF1,RB,487,0.2514,0.6263,209,278
S3_CLASS_SPECIFIC_PRECISION,WF1,RU,349,0.2324,0.5874,170,179
S3_CLASS_SPECIFIC_PRECISION,WF1,SC,244,0.1593,0.4713,98,146
S3_CLASS_SPECIFIC_PRECISION,WF1,SN,195,0.1423,0.7077,79,116
S3_CLASS_SPECIFIC_PRECISION,WF1,TA,456,0.2503,0.6118,186,270
S3_CLASS_SPECIFIC_PRECISION,WF2,AG,249,0.2367,0.494,91,158
S3_CLASS_SPECIFIC_PRECISION,WF2,AL,381,0.3041,0.6168,198,183
S3_CLASS_SPECIFIC_PRECISION,WF2,AU,259,0.2038,0.6139,88,171
S3_CLASS_SPECIFIC_PRECISION,WF2,CF,569,0.3502,0.6134,325,244
S3_CLASS_SPECIFIC_PRECISION,WF2,CU,347,0.3012,0.513,174,173
S3_CLASS_SPECIFIC_PRECISION,WF2,I,721,0.2931,0.5492,353,368
S3_CLASS_SPECIFIC_PRECISION,WF2,M,612,0.3409,0.6601,334,278
S3_CLASS_SPECIFIC_PRECISION,WF2,MA,552,0.3418,0.567,351,201
S3_CLASS_SPECIFIC_PRECISION,WF2,NI,344,0.255,0.4826,186,158
S3_CLASS_SPECIFIC_PRECISION,WF2,P,488,0.3604,0.623,266,222
S3_CLASS_SPECIFIC_PRECISION,WF2,RB,777,0.3779,0.5997,328,449
S3_CLASS_SPECIFIC_PRECISION,WF2,RU,550,0.3691,0.5691,353,197
S3_CLASS_SPECIFIC_PRECISION,WF2,SC,343,0.2361,0.6735,170,173
S3_CLASS_SPECIFIC_PRECISION,WF2,SN,227,0.2164,0.5154,123,104
S3_CLASS_SPECIFIC_PRECISION,WF2,TA,420,0.2966,0.519,249,171
S3_CLASS_SPECIFIC_PRECISION,WF3,AG,282,0.2141,0.5603,130,152
S3_CLASS_SPECIFIC_PRECISION,WF3,AL,573,0.3802,0.5916,246,327
S3_CLASS_SPECIFIC_PRECISION,WF3,AU,341,0.2593,0.6276,150,191
S3_CLASS_SPECIFIC_PRECISION,WF3,CF,594,0.4314,0.5741,292,302
S3_CLASS_SPECIFIC_PRECISION,WF3,CU,432,0.3088,0.6644,213,219
S3_CLASS_SPECIFIC_PRECISION,WF3,I,874,0.4399,0.5755,335,539
S3_CLASS_SPECIFIC_PRECISION,WF3,M,619,0.4056,0.6268,320,299
