group,value,n,reversal_rate,continuation_rate,LONG_rate,SHORT_rate,symbol_count,macro_median_reversal
liquidity_scope,15m,2812,0.3887,0.6113,0.4872,0.5128,15,0.3888888888888889
liquidity_scope,1h,683,0.3719,0.6281,0.4978,0.5022,15,0.3548387096774194
liquidity_scope,5m,10233,0.4019,0.5981,0.4833,0.5167,15,0.3967280163599182
liquidity_scope,CONTIG_SESSION,40611,0.4056,0.5944,0.4915,0.5085,15,0.4072778166550035
liquidity_scope,TRADING_DAY,9077,0.4008,0.5992,0.488,0.512,15,0.409288824383164
liquidity_scope,TRADING_WEEK,1592,0.3989,0.6011,0.5019,0.4981,15,0.4
liquidity_type,CANONICAL_EQH,3384,0.4314,0.5686,0.5686,0.4314,15,0.4252336448598131
liquidity_type,CANONICAL_EQL,3300,0.3736,0.6264,0.3736,0.6264,15,0.3717948717948718
liquidity_type,CONFIRMED_SWING_HIGH,3530,0.3963,0.6037,0.6037,0.3963,15,0.3916349809885932
liquidity_type,CONFIRMED_SWING_LOW,3514,0.3893,0.6107,0.3893,0.6107,15,0.3783783783783784
liquidity_type,PREV_CONTIG_SESSION_HIGH,20381,0.4144,0.5856,0.5856,0.4144,15,0.40750528541226216
liquidity_type,PREV_CONTIG_SESSION_LOW,20230,0.3967,0.6033,0.3967,0.6033,15,0.3896797153024911
liquidity_type,PREV_TRADING_DAY_HIGH,4564,0.4132,0.5868,0.5868,0.4132,15,0.410958904109589
liquidity_type,PREV_TRADING_DAY_LOW,4513,0.3882,0.6118,0.3882,0.6118,15,0.37960339943342775
liquidity_type,PREV_TRADING_WEEK_HIGH,824,0.4005,0.5995,0.5995,0.4005,15,0.4074074074074074
liquidity_type,PREV_TRADING_WEEK_LOW,768,0.3971,0.6029,0.3971,0.6029,15,0.367816091954023
side,-1,32325,0.3924,0.6076,0.3924,0.6076,15,0.3876975169300226
side,1,32683,0.4137,0.5863,0.5863,0.4137,15,0.4113636363636364
contact_type,GAP_CROSS,9879,0.4467,0.5533,0.4863,0.5137,15,0.4433497536945813
contact_type,PENETRATE_CLOSE_AT,4322,0.4447,0.5553,0.472,0.528,15,0.43044189852700493
contact_type,PENETRATE_CLOSE_BEYOND,19301,0.4031,0.5969,0.4993,0.5007,15,0.4040550325850833
