field,block,missing_rate,p10,p25,median,p75,p90,n
nearest_above_R,TB1,0.0483,0.4,0.8333,1.9444,3.6111,5.4574,22688
nearest_above_R,TB2,0.0159,0.3333,0.6897,1.6667,3.1818,5.0,25903
nearest_above_R,TB3,0.0364,0.3571,0.75,1.7267,3.4722,5.4379,24440
nearest_above_R,TB4,0.0077,0.3704,0.8333,1.9681,3.6364,5.5882,23869
nearest_below_R,TB1,0.0365,0.3571,0.8065,1.9048,3.5237,5.5,22688
nearest_below_R,TB2,0.0019,0.3448,0.7273,1.6837,3.261,5.0,25903
nearest_below_R,TB3,0.0034,0.3704,0.7692,1.8333,3.4783,5.3571,24440
nearest_below_R,TB4,0.0,0.3571,0.7692,1.8889,3.5743,5.4418,23869
nearest_ahead_R,TB1,0.0881,0.4375,0.8333,1.625,2.9091,4.875,22688
nearest_ahead_R,TB2,0.018,0.375,0.75,1.5,2.6316,4.4595,25903
nearest_ahead_R,TB3,0.0391,0.3846,0.7692,1.5306,2.6923,4.375,24440
nearest_ahead_R,TB4,0.0098,0.3927,0.8333,1.6667,3.0,4.7605,23869
nearest_behind_R,TB1,0.0033,0.4545,1.25,2.6101,4.1667,6.1056,22688
nearest_behind_R,TB2,0.0008,0.4167,1.0606,2.3684,3.8964,5.6859,25903
nearest_behind_R,TB3,0.0027,0.4348,1.1364,2.6,4.2857,6.1298,24440
nearest_behind_R,TB4,0.0002,0.4348,1.1765,2.6471,4.2857,6.2439,23869
