wf,metric,continuation,reversal
WF1,n_executed_trades,614.0,364.0
WF1,target_hit_rate,0.5065,0.6126
WF1,median_target_R_exec,0.8889,0.6522
WF1,mean_win_R,0.9525,0.7162
WF1,mean_loss_R,-1.0629,-1.0203
WF1,payoff_ratio,0.8962,0.7019
WF1,gross_expectancy_R,-0.042,0.0435
WF1,profit_factor_R,0.9199,1.1101
WF2,n_executed_trades,856.0,725.0
WF2,target_hit_rate,0.5666,0.6207
WF2,median_target_R_exec,0.7487,0.6481
WF2,mean_win_R,0.8291,0.6955
WF2,mean_loss_R,-1.0255,-1.0112
WF2,payoff_ratio,0.8085,0.6878
WF2,gross_expectancy_R,0.0253,0.0481
WF2,profit_factor_R,1.0569,1.1255
WF3,n_executed_trades,848.0,572.0
WF3,target_hit_rate,0.5401,0.6101
WF3,median_target_R_exec,0.75,0.6885
WF3,mean_win_R,0.8349,0.6562
WF3,mean_loss_R,-1.065,-1.035
WF3,payoff_ratio,0.7839,0.6339
WF3,gross_expectancy_R,-0.0376,-0.0032
WF3,profit_factor_R,0.9229,0.9921
