wf,block,model,baseline_trades,post_veto_trades,baseline_tradeoff_share,post_veto_tradeoff_share,tradeoff_share_delta,clear_retention_rate,baseline_E_R,post_veto_E_R,delta_E_R,post_veto_target_hit_rate,post_veto_LONG_trades,post_veto_SHORT_trades,post_veto_trades_per_day,n_exit_on_or_after_oos
WF1,G0_OUTERMOST,LOGIT,614,614,0.184,0.184,0.0,1.0,-0.042,-0.042,0.0,0.5065,369,245,6.0196,0
WF1,G0_OUTERMOST,HGB,614,614,0.184,0.184,0.0,1.0,-0.042,-0.042,0.0,0.5065,369,245,6.0196,0
WF2,G0_OUTERMOST,LOGIT,856,856,0.16,0.16,0.0,1.0,0.0253,0.0253,0.0,0.5666,434,422,8.3922,0
WF2,G0_OUTERMOST,HGB,856,856,0.16,0.16,0.0,1.0,0.0253,0.0253,0.0,0.5666,434,422,8.3922,0
WF3,G0_OUTERMOST,LOGIT,848,848,0.1792,0.1792,0.0,1.0,-0.0376,-0.0376,0.0,0.5401,302,546,8.396,0
WF3,G0_OUTERMOST,HGB,848,848,0.1792,0.1792,0.0,1.0,-0.0376,-0.0376,0.0,0.5401,302,546,8.396,0
WF1,G1_ARCH_AGG,LOGIT,614,614,0.184,0.184,0.0,1.0,-0.042,-0.042,0.0,0.5065,369,245,6.0196,0
WF1,G1_ARCH_AGG,HGB,614,614,0.184,0.184,0.0,1.0,-0.042,-0.042,0.0,0.5065,369,245,6.0196,0
WF2,G1_ARCH_AGG,LOGIT,856,856,0.16,0.16,0.0,1.0,0.0253,0.0253,0.0,0.5666,434,422,8.3922,0
WF2,G1_ARCH_AGG,HGB,856,856,0.16,0.16,0.0,1.0,0.0253,0.0253,0.0,0.5666,434,422,8.3922,0
WF3,G1_ARCH_AGG,LOGIT,848,848,0.1792,0.1792,0.0,1.0,-0.0376,-0.0376,0.0,0.5401,302,546,8.396,0
WF3,G1_ARCH_AGG,HGB,848,848,0.1792,0.1792,0.0,1.0,-0.0376,-0.0376,0.0,0.5401,302,546,8.396,0
