risk_ATR,wf,model,roc_auc,pr_auc,top20_delivery_rate,bottom20_delivery_rate,test_base_rate
0.5,WF1,R0,0.7750519097247894,0.8221019348106566,0.8807069219440353,0.2528929097412161,0.5860298758678729
0.5,WF1,R2,0.7918346503220777,0.8502327918974207,0.9288870187250158,0.24489795918367346,0.5860298758678729
0.5,WF1,R3,0.7897206008976058,0.84912977172477,0.925310330317694,0.25710077845571216,0.5860298758678729
0.5,WF2,R0,0.7725881012722154,0.797970591008831,0.8770065566357675,0.23151706986208456,0.5562991769919508
0.5,WF2,R2,0.7864788109119302,0.8328272937492904,0.9061722812570654,0.230838797196473,0.5562991769919508
0.5,WF2,R3,0.78460157446749,0.8336329274412385,0.9165724621297762,0.23513452407867963,0.5562991769919508
0.5,WF3,R0,0.7691132025558879,0.8051620331539525,0.8849321166258625,0.2481638103716893,0.5482348751279883
0.5,WF3,R2,0.7803330001403508,0.8292990692718947,0.917427108835967,0.24438014689517026,0.5482348751279883
0.5,WF3,R3,0.779700625625037,0.8299835402496947,0.9207656354328956,0.25506343200534165,0.5482348751279883
1.0,WF1,R0,0.7895607342180374,0.9180717075161228,0.9602306621594751,0.45794392523364486,0.7687107293406507
1.0,WF1,R2,0.8161811014587015,0.9375222175688076,0.992046132431895,0.4424338834758401,0.7687107293406507
1.0,WF1,R3,0.8149499463100525,0.9374177447966976,0.9922449791210977,0.44979121097633723,0.7687107293406507
1.0,WF2,R0,0.774972920713596,0.8999551014628935,0.9448142581060769,0.43847970796650204,0.7491304161119938
1.0,WF2,R2,0.8030442818820513,0.9262583046472146,0.9877603607472621,0.4253811466609405,0.7491304161119938
1.0,WF2,R3,0.8012596737494246,0.9259651998125192,0.9866867081812326,0.432681984109942,0.7491304161119938
1.0,WF3,R0,0.7789858323420701,0.9025636844232954,0.95293867120954,0.43185689948892675,0.7427914306401465
1.0,WF3,R2,0.7989354127452901,0.9210556723355263,0.979344122657581,0.42142248722316866,0.7427914306401465
1.0,WF3,R3,0.799030104967558,0.9212627414219534,0.9799829642248722,0.4239778534923339,0.7427914306401465
2.0,WF1,R0,0.8153141011468177,0.976558981117938,0.9917322834645669,0.7438976377952756,0.9164107410032286
2.0,WF1,R2,0.8578019471665503,0.9847048813156796,1.0,0.7177165354330709,0.9164107410032286
2.0,WF1,R3,0.855100968220295,0.9844780160140223,1.0,0.7238188976377953,0.9164107410032286
2.0,WF2,R0,0.8063088885751325,0.9677639140880927,0.9829278702518139,0.7020913358941528,0.9016218523260777
2.0,WF2,R2,0.8491399863943832,0.9803133963994777,0.9991463935125907,0.677336747759283,0.9016218523260777
2.0,WF2,R3,0.8416208961737411,0.9793957193966811,0.9989329918907384,0.6850192061459667,0.9016218523260777
2.0,WF3,R0,0.8147706994794105,0.9705683362617934,0.9902439024390244,0.6829268292682927,0.8956186113585274
2.0,WF3,R2,0.8444327358276131,0.9786278542911864,0.999575821845175,0.6702014846235419,0.8956186113585274
2.0,WF3,R3,0.8434474179084224,0.9784065369333231,0.9989395546129375,0.6663838812301166,0.8956186113585274
