risk_ATR,geo_bin,n,delivery_rate,no_delivery_rate
0.25,<=0.25,419,0.47255369928400953,0.5274463007159904
0.25,"(0.25,0.5]",1780,0.5629213483146067,0.4370786516853933
0.25,"(0.5,1]",7904,0.5170799595141701,0.4829200404858299
0.25,"(1,2]",17931,0.3886565166471474,0.6113434833528526
0.25,>2,65326,0.24783394054434682,0.7521660594556532
0.5,<=0.25,2199,0.793087767166894,0.206912232833106
0.5,"(0.25,0.5]",7904,0.7832742914979757,0.21672570850202433
0.5,"(0.5,1]",17931,0.7142936813340026,0.2857063186659974
0.5,"(1,2]",24848,0.5932066967160334,0.40679330328396657
0.5,>2,40478,0.341098868521172,0.658901131478828
0.75,<=0.25,5396,0.9006671608598962,0.09933283914010382
0.75,"(0.25,0.5]",13719,0.8752824549894307,0.12471754501056931
0.75,"(0.5,1]",22656,0.8012888418079096,0.1987111581920904
0.75,"(1,2]",24710,0.6524079320113314,0.3475920679886686
0.75,>2,26879,0.40194947728710145,0.5980505227128985
1.0,<=0.25,10103,0.9465505295456795,0.05344947045432047
1.0,"(0.25,0.5]",17931,0.9072555908761363,0.09274440912386372
1.0,"(0.5,1]",24848,0.831777205408886,0.168222794591114
1.0,"(1,2]",22722,0.6743244432708388,0.32567555672916115
1.0,>2,17756,0.4320792971389953,0.5679207028610047
1.5,<=0.25,19115,0.9711744703112739,0.028825529688726093
1.5,"(0.25,0.5]",22656,0.9336158192090396,0.06638418079096042
1.5,"(0.5,1]",24710,0.8845811412383651,0.11541885876163493
1.5,"(1,2]",18524,0.7159900669401857,0.28400993305981426
1.5,>2,8355,0.5002992220227409,0.4997007779772591
2.0,<=0.25,28034,0.9832703146179639,0.01672968538203612
2.0,"(0.25,0.5]",24848,0.9529539600772698,0.047046039922730154
2.0,"(0.5,1]",22722,0.9026934248745709,0.09730657512542906
2.0,"(1,2]",13946,0.7464505951527319,0.25354940484726807
2.0,>2,3810,0.5136482939632546,0.4863517060367454
3.0,<=0.25,41771,0.9922673625242393,0.007732637475760695
3.0,"(0.25,0.5]",24710,0.9724403075677863,0.027559692432213678
3.0,"(0.5,1]",18524,0.9364608076009501,0.06353919239904993
3.0,"(1,2]",7395,0.7913455037187289,0.20865449628127108
3.0,>2,960,0.49375,0.50625
