risk_ATR,geo_bin,n,delivery_rate,no_delivery_rate
0.25,<=0.25,238,0.8319327731092437,0.16806722689075626
0.25,"(0.25,0.5]",1118,0.8962432915921288,0.10375670840787121
0.25,"(0.5,1]",4777,0.8555578815155955,0.14444211848440447
0.25,"(1,2]",10874,0.6408865183005333,0.35911348169946666
0.25,>2,60991,0.2654490006722303,0.7345509993277697
0.5,<=0.25,1867,0.9341189073379753,0.06588109266202469
0.5,"(0.25,0.5]",6740,0.9185459940652819,0.08145400593471808
0.5,"(0.5,1]",15551,0.8236126294128995,0.17638737058710052
0.5,"(1,2]",23636,0.6236249788458283,0.37637502115417165
0.5,>2,40151,0.34387686483524693,0.6561231351647531
0.75,<=0.25,5114,0.9503324208056316,0.04966757919436837
0.75,"(0.25,0.5]",13053,0.9199417758369723,0.08005822416302766
0.75,"(0.5,1]",21961,0.8266472382860526,0.17335276171394742
0.75,"(1,2]",24468,0.6588605525584437,0.34113944744155633
0.75,>2,26816,0.40289379474940334,0.5971062052505967
1.0,<=0.25,9917,0.9643037208833316,0.035696279116668395
1.0,"(0.25,0.5]",17582,0.925264475031282,0.07473552496871805
1.0,"(0.5,1]",24668,0.8378466028863305,0.1621533971136695
1.0,"(1,2]",22618,0.677425059686975,0.322574940313025
1.0,>2,17721,0.4329326787427346,0.5670673212572654
1.5,<=0.25,19023,0.9758713136729222,0.024128686327077764
1.5,"(0.25,0.5]",22556,0.9377549210852988,0.06224507891470121
1.5,"(0.5,1]",24634,0.887310221644881,0.11268977835511895
1.5,"(1,2]",18476,0.7178501840225157,0.28214981597748434
1.5,>2,8332,0.5016802688430149,0.49831973115698514
2.0,<=0.25,27990,0.9848160057163272,0.015183994283672786
2.0,"(0.25,0.5]",24780,0.9555690072639225,0.044430992736077535
2.0,"(0.5,1]",22675,0.9045644983461962,0.09543550165380377
2.0,"(1,2]",13894,0.7492442781056571,0.2507557218943429
2.0,>2,3802,0.5147290899526565,0.48527091004734346
3.0,<=0.25,41750,0.9927664670658682,0.007233532934131759
3.0,"(0.25,0.5]",24690,0.9732280275415148,0.02677197245848517
3.0,"(0.5,1]",18476,0.9388936999350509,0.061106300064949104
3.0,"(1,2]",7382,0.7927390950961799,0.2072609049038201
3.0,>2,955,0.4963350785340314,0.5036649214659685
