risk_ATR,wf,model,roc_auc_lo,roc_auc_hi,brier_lo,brier_hi,bottom20_gain_lo,bottom20_gain_hi
0.25,WF1,M0,0.5421675643521472,0.570201759953025,0.21158349512207952,0.2192660389201715,0.018744189546628615,0.05230245492522496
0.25,WF1,M_G1,0.6520002777580995,0.6767442841769513,0.19674954797850636,0.20399192579307343,0.14748537814261858,0.1717411287684123
0.25,WF1,M_G2,0.517007156252694,0.547224788911541,0.22212451876796244,0.23213439377681439,-0.0028653866051453307,0.03240524742286677
0.25,WF1,M_G3,0.6165422008297476,0.6418474248969215,0.20347052821513217,0.21030901046554457,0.10138794198029637,0.1286267667099997
0.25,WF1,M_G4,0.5421675643521472,0.570201759953025,0.21158349512207952,0.2192660389201715,0.018744189546628615,0.05230245492522496
0.25,WF1,M_G5,0.5642828285254844,0.5868938587937809,0.20971948628194073,0.21781393518135828,0.04832465457580992,0.0837873572583261
0.25,WF1,M_simple,0.6213419732352434,0.6478907850072883,0.20713622558987282,0.21545249457599389,0.09856767432504833,0.12977948979122433
0.25,WF1,M_field,0.6213419732352434,0.6478907850072883,0.20713622558987282,0.21545249457599389,0.09856767432504833,0.12977948979122433
0.25,WF1,M_B2_full,0.6209483040443707,0.6469372842575324,0.20763591460308617,0.21604636878071032,0.09828233706872139,0.12751913707328713
0.25,WF1,M_ob,0.5394539151602922,0.5688429292728632,0.2119391720632838,0.22032542939880276,0.011508185862199986,0.04309078654534119
0.25,WF1,M_full,0.5938261236026158,0.6191008930015797,0.23123326096188113,0.24041026358379605,0.09084004377271025,0.11518616691074755
0.25,WF1,M_full_minus_ob,0.5942064394403851,0.6191779178149398,0.23105655758278693,0.24030366778183443,0.09337122364314594,0.11752892963520815
0.25,WF1,M_B2mG1,0.59182334092013,0.6211830641474426,0.2124337010388831,0.2212675181537924,0.08115739360073794,0.1108357280604366
0.25,WF1,M_B2mG2,0.6509541784889699,0.6757644966529062,0.1969613768293796,0.2041848823269976,0.1421686118069275,0.16772171820487805
0.25,WF1,M_B2mG3,0.6216170410985089,0.6476374017122849,0.2071983761308253,0.2154059876801451,0.09807046353158769,0.12913809652083535
0.25,WF1,M_B2mG4,0.6209483040443707,0.6469372842575324,0.20763591460308617,0.21604636878071032,0.09828233706872139,0.12751913707328713
0.25,WF1,M_B2mG5,0.6211207665834596,0.6480607092354378,0.20701417006298192,0.21550897189418303,0.10085530942147784,0.13138084647559464
0.25,WF2,M0,0.5239770706707904,0.5576499802629663,0.20874736536396235,0.2154968119871253,0.027225610240248162,0.06474707964859798
0.25,WF2,M_G1,0.6503202924183598,0.6783638516484889,0.19287772778322004,0.1995604440893417,0.1412764431049317,0.16933675722989813
0.25,WF2,M_G2,0.5236882711933754,0.5514202965710568,0.21477392564418893,0.2223000618303998,0.014819250104008757,0.05256646646979633
0.25,WF2,M_G3,0.6097825502295298,0.6387776627975328,0.19926981621309406,0.20575013201962475,0.10923856130871776,0.13799278772902263
0.25,WF2,M_G4,0.5239770706707904,0.5576499802629663,0.20874736536396235,0.2154968119871253,0.027225610240248162,0.06474707964859798
0.25,WF2,M_G5,0.5504308180853389,0.5801321129545435,0.20757322835761674,0.21460264476780158,0.05067638446565133,0.08802925480715941
0.25,WF2,M_simple,0.6267306056940846,0.6557782840172162,0.198825002631115,0.20646862290743367,0.11606211832946411,0.14366155818376683
0.25,WF2,M_field,0.6267306056940846,0.6557782840172162,0.198825002631115,0.20646862290743367,0.11606211832946411,0.14366155818376683
0.25,WF2,M_B2_full,0.6288077525485622,0.6573541441811468,0.1984481356520837,0.20605504198805738,0.11639054564014552,0.1471083730436765
0.25,WF2,M_ob,0.5173478932858264,0.5508345899347619,0.21096726705325197,0.217423869709808,0.025857738148073395,0.06188690902319089
0.25,WF2,M_full,0.6088238865073616,0.6395161816499237,0.20527548210855484,0.21662401492623246,0.08683109419451783,0.12141666816811868
0.25,WF2,M_full_minus_ob,0.609042522040093,0.6395565282207839,0.2053268825584204,0.21619134148845634,0.08819462559107123,0.12052715112399684
0.25,WF2,M_B2mG1,0.5996662377361242,0.6267847684490263,0.20378936528209768,0.21094397514045957,0.09170433564106957,0.12437452523983511
0.25,WF2,M_B2mG2,0.6511369936773678,0.6790076091350727,0.19267783376966138,0.19943771969528534,0.14161800733468982,0.16978269745957897
0.25,WF2,M_B2mG3,0.628589233865514,0.6573450112684165,0.1985124280480424,0.20607782091269994,0.11459317395038146,0.14331703539751273
0.25,WF2,M_B2mG4,0.6288077525485622,0.6573541441811468,0.1984481356520837,0.20605504198805738,0.11639054564014552,0.1471083730436765
0.25,WF2,M_B2mG5,0.6272354616456586,0.6560587604444978,0.19881069932916703,0.20635773786138428,0.11806374307267882,0.14847435549933835
0.25,WF3,M0,0.5192955392897889,0.5445738879838675,0.20516392428871266,0.2127437624901778,0.02368244184020407,0.06759152528133724
0.25,WF3,M_G1,0.6637448498738125,0.6866905812159374,0.18834143534951941,0.19557520442875295,0.14505349725865807,0.17652565281442975
0.25,WF3,M_G2,0.5091703762748622,0.5423683157069641,0.2097213442125943,0.21780829256159515,0.014941368759729385,0.05666503665898406
0.25,WF3,M_G3,0.6214441123673833,0.6447065433030803,0.19543483113314192,0.20292606068956234,0.10957379064166006,0.14025930277846788
0.25,WF3,M_G4,0.5192955392897889,0.5445738879838675,0.20516392428871266,0.2127437624901778,0.02368244184020407,0.06759152528133724
0.25,WF3,M_G5,0.5416309683958214,0.565064249835724,0.20461122470479248,0.21291836076641363,0.04070920287972431,0.07717532053083725
0.25,WF3,M_simple,0.6425093808876616,0.6675401390475162,0.19272950940345382,0.20027012898897562,0.1303991051250669,0.16004808495711903
