risk_ATR,wf,model,n_symbols,macro_median_delta,iqr_lo,iqr_hi,positive_symbols,eligible_symbols
0.25,WF1,M_G1,15,0.250447251102191,0.1993414719329269,0.2839334399884972,15,15
0.25,WF1,M_G2,15,0.005669650505396584,0.001988660447578894,0.011092884427350513,12,15
0.25,WF1,M_G3,15,0.16479281719981942,0.131246346783138,0.18639691925926072,15,15
0.25,WF1,M_G4,15,0.14958039109822918,0.112796034090135,0.2194664263066862,15,15
0.25,WF1,M_G5,15,0.057728077549049406,0.04616101911027981,0.10340720183400243,14,15
0.25,WF1,M_simple,15,0.2502231114693688,0.19933183589051234,0.2835150951488474,15,15
0.25,WF1,M_field,15,0.20701781806814645,0.15323232300151762,0.2681289583059758,15,15
0.25,WF1,M_B2_full,15,0.20635754589721633,0.15498858575677982,0.2670244326395241,15,15
0.25,WF1,M_ob,15,0.0038957113246034236,-0.0051442900452250695,0.01942337771793648,8,15
0.25,WF1,M_full,15,0.2137108818728074,0.15084711255297617,0.26012377414946747,15,15
0.25,WF1,M_full_minus_ob,15,0.21749331388281046,0.1582595299224961,0.2602201697112811,15,15
0.25,WF1,M_B2mG1,15,0.16439220645136843,0.12041151498762537,0.22682651035185286,15,15
0.25,WF1,M_B2mG2,15,0.2227277893809585,0.1583978017124033,0.26805518092461145,15,15
0.25,WF1,M_B2mG3,15,0.20955513423702044,0.15485923588366762,0.267780646625309,15,15
0.25,WF1,M_B2mG4,15,0.2483518539843389,0.20091162299452064,0.2861760146623115,15,15
0.25,WF1,M_B2mG5,15,0.20552062084621958,0.15448768339666252,0.2673164954061459,15,15
0.25,WF2,M_G1,15,0.2372544951590596,0.17088341949481767,0.28954024576801096,15,15
0.25,WF2,M_G2,15,0.020496770953309595,0.0019702256305365318,0.03008809919204758,11,15
0.25,WF2,M_G3,15,0.1381902545213507,0.12531768385374448,0.1848581563726549,15,15
0.25,WF2,M_G4,15,0.2006592389501074,0.13992340303111744,0.2213824081792033,15,15
0.25,WF2,M_G5,15,0.05781381132219421,0.030644796755807835,0.09497844047246504,15,15
0.25,WF2,M_simple,15,0.2372351313969573,0.17141122096567357,0.2898491087664855,15,15
0.25,WF2,M_field,15,0.23012309820193655,0.16737607632815027,0.2521969724575748,15,15
0.25,WF2,M_B2_full,15,0.2321645919778702,0.16724093541212587,0.2540349384698408,15,15
0.25,WF2,M_ob,15,-0.00753278731467083,-0.0156666283672858,0.010337077678540085,7,15
0.25,WF2,M_full,15,0.23052697095435692,0.16557593975521917,0.2547268562217647,15,15
0.25,WF2,M_full_minus_ob,15,0.23354495159059496,0.16884393852683616,0.252701292373728,15,15
0.25,WF2,M_B2mG1,15,0.2012120659247097,0.14792810597577277,0.22894097337476665,15,15
0.25,WF2,M_B2mG2,15,0.2326625172890735,0.17176588878700655,0.2560046994510087,15,15
0.25,WF2,M_B2mG3,15,0.2300047207598992,0.16742748003146196,0.25388076889191347,15,15
0.25,WF2,M_B2mG4,15,0.2402475795297373,0.1706009325136783,0.28860690595978533,15,15
0.25,WF2,M_B2mG5,15,0.23208160442600279,0.16680635505377317,0.2528405916832316,15,15
0.25,WF3,M_G1,15,0.23104912474584638,0.19000631688137343,0.2650574901820524,15,15
0.25,WF3,M_G2,15,0.017354813814393244,-0.023189131624137466,0.031009487621384002,10,15
0.25,WF3,M_G3,15,0.1599884386409648,0.12708574056108374,0.18192712471016736,15,15
0.25,WF3,M_G4,15,0.18328417173784017,0.15639098385227135,0.20425012081736077,15,15
0.25,WF3,M_G5,15,0.05224858937223731,0.04127757215681652,0.07843773656392533,15,15
0.25,WF3,M_simple,15,0.2311631250570002,0.18984139849905812,0.2652119790775318,15,15
0.25,WF3,M_field,15,0.21797060904238225,0.18935305930710042,0.2537312992323722,15,15
0.25,WF3,M_B2_full,15,0.2141182712714645,0.18929676890525324,0.2506653437053281,15,15
0.25,WF3,M_ob,15,-0.013638383410918331,-0.026198148419265987,0.013843176616766706,4,15
0.25,WF3,M_full,15,0.20344877484082585,0.18450373093629235,0.24302329567618075,15,15
0.25,WF3,M_full_minus_ob,15,0.20164801594957876,0.18121615983500142,0.2468481856308049,15,15
0.25,WF3,M_B2mG1,15,0.18744131455399077,0.16501863529259578,0.2079785203505397,15,15
0.25,WF3,M_B2mG2,15,0.21351373078654584,0.18928617968159003,0.25049193216946153,15,15
0.25,WF3,M_B2mG3,15,0.21664254936008748,0.1904514318628529,0.25182811574347597,15,15
0.25,WF3,M_B2mG4,15,0.22715299646464915,0.1910804207235942,0.26127269302192635,15,15
0.25,WF3,M_B2mG5,15,0.21481284970094555,0.18690183580710587,0.25140403523527466,15,15
0.5,WF1,M_G1,15,0.2799034098809813,0.23318786938252278,0.2931309957593621,15,15
0.5,WF1,M_G2,15,0.003733691227915781,0.0015443351553713347,0.005606506118168514,13,15
0.5,WF1,M_G3,15,0.1868018396155966,0.17725935746067484,0.20448637882872975,15,15
0.5,WF1,M_G4,15,0.20549255790081478,0.15822158112387774,0.21640566373597045,15,15
0.5,WF1,M_G5,15,0.07359221158504314,0.052459507254011606,0.1081365017394558,15,15
0.5,WF1,M_simple,15,0.27953710904305995,0.23412197368768634,0.29238471608625505,15,15
0.5,WF1,M_field,15,0.2675853948255382,0.19165382693063276,0.2753472034518393,15,15
0.5,WF1,M_B2_full,15,0.26752505426340556,0.1967600861178866,0.2750222539799124,15,15
0.5,WF1,M_ob,15,-0.0028530080628488275,-0.01456479124920984,0.007785206306035519,6,15
0.5,WF1,M_full,15,0.25396564361832097,0.18395146483237035,0.26952941052896673,15,15
0.5,WF1,M_full_minus_ob,15,0.2585214351495104,0.1906297160620034,0.2767771535787221,15,15
0.5,WF1,M_B2mG1,15,0.21404600155279507,0.17195128357079692,0.23530421988418818,15,15
0.5,WF1,M_B2mG2,15,0.2620966189773529,0.21933416519298787,0.2813365139494245,15,15
0.5,WF1,M_B2mG3,15,0.26905764279136213,0.19204960812203814,0.27672540688043445,15,15
0.5,WF1,M_B2mG4,15,0.27563075845517604,0.23308430760464582,0.29239368331185434,15,15
0.5,WF1,M_B2mG5,15,0.2665475371568563,0.19580180182793444,0.2735841045039592,15,15
0.5,WF2,M_G1,15,0.26558896605867577,0.21427188154773785,0.3141026292637853,15,15
0.5,WF2,M_G2,15,0.024440713770325972,0.0010641007089086385,0.03816726287792599,11,15
0.5,WF2,M_G3,15,0.17354933155934416,0.16356463751810774,0.20970114323119227,15,15
0.5,WF2,M_G4,15,0.2097916224314058,0.1582668291055968,0.2563798488921872,15,15
0.5,WF2,M_G5,15,0.08247576734870476,0.027399654835258802,0.10888997405758122,15,15
0.5,WF2,M_simple,15,0.2654908310695375,0.21466566819198746,0.31419594199765094,15,15
0.5,WF2,M_field,15,0.2534402395669212,0.19301378483661275,0.3017185436819146,15,15
0.5,WF2,M_B2_full,15,0.25405632650587806,0.19319157143606908,0.3007286711781335,15,15
0.5,WF2,M_ob,15,0.010616857909171662,-0.015141081412712976,0.01839380204690305,9,15
0.5,WF2,M_full,15,0.2533872156910273,0.1869967209593142,0.29405806643820304,15,15
0.5,WF2,M_full_minus_ob,15,0.25331146729689324,0.18965425887983456,0.29428739051212144,15,15
0.5,WF2,M_B2mG1,15,0.218929152806285,0.1653412268283192,0.2574951456238145,15,15
0.5,WF2,M_B2mG2,15,0.25223584010018973,0.19316041951997048,0.3025801608549371,15,15
0.5,WF2,M_B2mG3,15,0.25501269063836796,0.19290745400254422,0.30231179928693025,15,15
0.5,WF2,M_B2mG4,15,0.2664431865323108,0.21405522257955084,0.31130324104638374,15,15
0.5,WF2,M_B2mG5,15,0.25251358421201453,0.19327315556667635,0.3004749340910406,15,15
0.5,WF3,M_G1,15,0.24149569626223322,0.21033458871512195,0.2986394694741209,15,15
0.5,WF3,M_G2,15,0.014196042831605471,-0.006770597693758762,0.05960775622779391,10,15
0.5,WF3,M_G3,15,0.1842310479631727,0.1499122448730555,0.20740169463137723,15,15
0.5,WF3,M_G4,15,0.21733472149921906,0.18302929694940961,0.24334183337362758,15,15
0.5,WF3,M_G5,15,0.05878143031502281,0.03955736154093592,0.07561391983669252,15,15
0.5,WF3,M_simple,15,0.241415553885155,0.21036591359396317,0.2984499812269974,15,15
0.5,WF3,M_field,15,0.24027329471760395,0.2028014526557403,0.29380764416312066,15,15
0.5,WF3,M_B2_full,15,0.23992877461384265,0.2029673674620811,0.2919009893315344,15,15
0.5,WF3,M_ob,15,0.0291230028888102,-0.006173850478248144,0.040036965584982404,10,15
0.5,WF3,M_full,15,0.2375281880084894,0.20298985766965238,0.2892525697563446,15,15
0.5,WF3,M_full_minus_ob,15,0.2371228702393584,0.20069373877442992,0.2913771516484941,15,15
0.5,WF3,M_B2mG1,15,0.2143771739771254,0.19000927466861578,0.2481118236002655,15,15
0.5,WF3,M_B2mG2,15,0.23964873688244304,0.20287696150236106,0.2917692291858409,15,15
0.5,WF3,M_B2mG3,15,0.23926000029477645,0.2036521302788149,0.2924573226901782,15,15
0.5,WF3,M_B2mG4,15,0.24067308542624688,0.21010856056124333,0.2964672801007868,15,15
0.5,WF3,M_B2mG5,15,0.24013880291239253,0.20241598230669255,0.29312575932330676,15,15
0.75,WF1,M_G1,15,0.29070933618606076,0.22332515846261897,0.3220791353154391,15,15
0.75,WF1,M_G2,15,0.0017789240532439798,-0.0004126234252961325,0.0032314352768703647,11,15
0.75,WF1,M_G3,15,0.20715435932827242,0.18044115322460036,0.24441670591717335,15,15
0.75,WF1,M_G4,15,0.21158384699972832,0.17037379665966074,0.23979010020242064,15,15
0.75,WF1,M_G5,15,0.08984599917744374,0.053911799542392363,0.11076146505019491,15,15
0.75,WF1,M_simple,15,0.2910777818716188,0.22349535335141135,0.32222593294763713,15,15
0.75,WF1,M_field,15,0.2612151879286383,0.19096734221230016,0.2928672462317709,15,15
0.75,WF1,M_B2_full,15,0.26226646731716063,0.19324518787303124,0.2937892289758499,15,15
0.75,WF1,M_ob,15,-0.0024375164789207093,-0.018669482033024737,0.012305815789831198,7,15
0.75,WF1,M_full,15,0.2577377150392701,0.1894854641645674,0.2930638452011001,15,15
0.75,WF1,M_full_minus_ob,15,0.2640340108086885,0.19349551111722157,0.29653511421012346,15,15
