risk_ATR,wf,removed_block,dROC_Full_minus_block,dBottom20gain_Full_minus_block
0.25,WF1,G1,0.02657504349553408,0.016113185301630972
0.25,WF2,G1,0.029940549558988616,0.024286322965487855
0.25,WF3,G1,0.03149981737211449,0.02047709520793753
0.5,WF1,G1,0.04008138318623011,0.033208881902141885
0.5,WF2,G1,0.04346060294691767,0.03408606731998293
0.5,WF3,G1,0.039701610216427485,0.025121384842727468
0.75,WF1,G1,0.03901069269375135,0.0416584790725093
0.75,WF2,G1,0.04319282321300022,0.017682147422241168
0.75,WF3,G1,0.035200560090222655,0.036309900781085036
1.0,WF1,G1,0.038514423572403644,0.03831794065631755
1.0,WF2,G1,0.040168500922255324,0.019599488708990198
1.0,WF3,G1,0.0377194324266753,0.02216592780240656
1.5,WF1,G1,0.03306001322563967,0.02220475535468658
1.5,WF2,G1,0.02560346171000527,0.010012782275245047
1.5,WF3,G1,0.032946393475383196,0.024276968545492883
2.0,WF1,G1,0.0235595113054321,0.019453723717822835
2.0,WF2,G1,0.017976790995209213,0.007669365146996121
2.0,WF3,G1,0.028776815029268765,0.017099430018999384
3.0,WF1,G1,0.014267434470880747,0.00098251129887994
3.0,WF2,G1,0.010443553651164894,-0.0014912654452492458
3.0,WF3,G1,0.01789479946799921,0.008233058898036827
0.25,WF1,G2,-0.029491556044166756,-0.04224798585183728
0.25,WF2,G2,-0.02089815796408534,-0.02364720920323818
0.25,WF3,G2,-0.01871941371015362,-0.01731053409330799
0.5,WF1,G2,-0.027993844957163505,-0.042837492631165264
0.5,WF2,G2,-0.015976630638921185,-0.028760119301235676
0.5,WF3,G2,-0.012188816650008483,-0.0162550137217648
0.75,WF1,G2,-0.025671878059096098,-0.021811750835134647
0.75,WF2,G2,-0.013627114454167644,-0.032168726033233896
0.75,WF3,G2,-0.011818029007192865,-0.017310534093308017
1.0,WF1,G2,-0.023147903237352163,-0.034191393201021825
1.0,WF2,G2,-0.008714573498636358,-0.02449936088623772
1.0,WF3,G2,-0.018128713980358535,-0.03272113151783829
1.5,WF1,G2,-0.019582411743161,-0.02908233444684616
1.5,WF2,G2,-0.008517386691958673,-0.013847464848742996
1.5,WF3,G2,-0.018113175521387026,-0.025965801139962053
2.0,WF1,G2,-0.014189930467345957,-0.009432108469247358
2.0,WF2,G2,-0.016055560185571083,-0.025777588410737073
2.0,WF3,G2,-0.018423837747795213,-0.03483217226092461
3.0,WF1,G2,-0.02530596315115141,-0.016113185301630972
3.0,WF2,G2,-0.017437629940726396,-0.009160630592245367
3.0,WF3,G2,-0.024460519763076838,-0.012244036309900785
0.25,WF1,G3,-0.000836140279375952,-0.00019650225977599356
0.25,WF2,G3,0.00012804419082323992,0.0029825308904985193
0.25,WF3,G3,-0.0007059376811319185,-0.0014777285201604262
0.5,WF1,G3,0.0005218168971329318,0.005698565533503619
0.5,WF2,G3,0.0003241530329037845,0.00021303792074989225
0.5,WF3,G3,0.0002714796400983266,-0.0018999366687776909
0.75,WF1,G3,0.000945696998456369,0.0033405384161917517
0.75,WF2,G3,0.0011653480221465173,0.0025564550489987625
0.75,WF3,G3,-0.0003021270238025009,-0.0040109774118640695
1.0,WF1,G3,0.0007146929498351717,0.0011790135586559058
1.0,WF2,G3,0.0005996598402978615,-0.0004260758414997845
1.0,WF3,G3,0.00036687147883451843,-0.005699810006333128
1.5,WF1,G3,0.0012917889982458908,-0.0005895067793280084
1.5,WF2,G3,0.0025076507445201957,-0.002556455048998707
