risk_ATR,wf,removed_block,dROC_Full_minus_block,dBottom20gain_Full_minus_block
0.25,WF1,contact,-0.0040391411287376,-0.0029475338966397924
0.25,WF2,contact,-0.006330355733579207,-0.0021303792074989225
0.25,WF3,contact,-0.006204110916087746,-0.005699810006333128
0.5,WF1,contact,-0.0038906275823578085,-0.01198663784633519
0.5,WF2,contact,-0.0036268274166360026,0.0036216446527481683
0.5,WF3,contact,-0.008870777391051576,-0.01076630778974036
0.75,WF1,contact,-0.0031965679217590415,0.007467085871487533
0.75,WF2,contact,-0.0031113235631048397,-0.0019173412867490303
0.75,WF3,contact,-0.004809965116354564,-0.0090774751952713
1.0,WF1,contact,-0.0008865103302809763,0.00393004519551976
1.0,WF2,contact,-0.00135227305551322,0.0010651896037494613
1.0,WF3,contact,-0.002982688903416353,0.00021110407430863232
1.5,WF1,contact,-0.0015525642696521125,-0.0049125564943997
1.5,WF2,contact,-0.003950295797441772,-0.0014912654452492458
1.5,WF3,contact,-0.002589596841293562,-0.004855393709098599
2.0,WF1,contact,-0.005261721781236295,0.0
2.0,WF2,contact,-0.0020852242737399163,0.0031955688112483838
2.0,WF3,contact,-0.002036481129907175,0.002111040743086434
3.0,WF1,contact,-0.0066536879609983,0.0011790135586559058
3.0,WF2,contact,-0.0022799785545549733,0.0019173412867490303
3.0,WF3,contact,-0.003148765200811976,0.001055520371543106
0.25,WF1,liquidity,0.04767587864403533,0.0677932796227157
0.25,WF2,liquidity,0.06557471943966942,0.05752023860247124
0.25,WF3,liquidity,0.07644808747550735,0.059109140806417576
0.5,WF1,liquidity,0.09870840124518587,0.12556494399685597
0.5,WF2,liquidity,0.10976135313110702,0.14465274818917767
0.5,WF3,liquidity,0.1051692471623118,0.11842938568714373
0.75,WF1,liquidity,0.11120155125218845,0.14718019257221454
0.75,WF2,liquidity,0.12288908107780827,0.15296122709842358
0.75,WF3,liquidity,0.1141316474948415,0.12539582013932865
1.0,WF1,liquidity,0.12858572110077515,0.15464727844370207
1.0,WF2,liquidity,0.14746719213874282,0.17809970174691092
1.0,WF3,liquidity,0.11096319257240661,0.12497361199071139
1.5,WF1,liquidity,0.13860015132377923,0.11672234230693646
1.5,WF2,liquidity,0.1404789876567093,0.12633148700468688
1.5,WF3,liquidity,0.12057564328779424,0.11906269791006963
2.0,WF1,liquidity,0.1514835498150633,0.09550009825112982
2.0,WF2,liquidity,0.14515833895248853,0.10481465700894765
2.0,WF3,liquidity,0.12391537788888762,0.10322989233692215
3.0,WF1,liquidity,0.12685826937997702,0.04185498133228527
3.0,WF2,liquidity,0.12496952237495551,0.047720494247976086
3.0,WF3,liquidity,0.1312464783877939,0.05319822672577579
0.25,WF1,trend,0.0039021544559519894,0.008449597170367473
0.25,WF2,trend,-0.00015666866848673688,-0.0012782275244993535
0.25,WF3,trend,-0.0003597712196569125,0.001266624445851794
0.5,WF1,trend,0.0014272500753893524,-0.004126547455295726
0.5,WF2,trend,-0.002516049822962607,-0.001278227524499409
0.5,WF3,trend,-0.0008842496030074809,0.0023221448173949555
0.75,WF1,trend,0.0002325104601725858,-0.0027510316368638543
0.75,WF2,trend,-0.0006260804302937739,0.000852151682999569
0.75,WF3,trend,-0.0001242502119932487,-0.0018999366687777464
1.0,WF1,trend,-0.001457240859604747,-0.006091570053055606
1.0,WF2,trend,-0.0010601283976533482,0.0027694929697486548
1.0,WF3,trend,-0.0005452710792487325,0.0023221448173949555
1.5,WF1,trend,-0.0007610190615159329,-0.0017685203379839143
1.5,WF2,trend,-0.0011999908423924177,0.0027694929697487103
1.5,WF3,trend,-0.0011794212404735438,0.0014777285201603707
2.0,WF1,trend,-0.0019009190631191775,-0.0011790135586559058
2.0,WF2,trend,-0.002244328441511567,0.0038346825734980605
2.0,WF3,trend,-0.0013540102601795612,-0.001266624445851794
3.0,WF1,trend,0.0013416297226743756,0.0011790135586559058
3.0,WF2,trend,0.0012465095449030184,0.0012782275244993535
3.0,WF3,trend,0.0006946323260849097,-0.00021110407430868783
0.25,WF1,ob,0.00025633539280689455,-0.0005895067793279529
0.25,WF2,ob,-0.00027169156204442935,-0.00021303792074989225
0.25,WF3,ob,-0.0018896028207278093,-0.0014777285201604262
0.5,WF1,ob,-0.0011023941500146739,0.0011790135586559614
0.5,WF2,ob,-0.000439641696276305,0.0012782275244993535
0.5,WF3,ob,-0.001839095482088271,0.001266624445851794
0.75,WF1,ob,-0.0020171128981896214,-0.002554529377087833
0.75,WF2,ob,0.0001660007170861677,0.001704303365999138
0.75,WF3,ob,0.0004077231330931186,-0.000633312222925897
1.0,WF1,ob,-0.0004952293727337187,-0.0017685203379839143
1.0,WF2,ob,-0.0012510274577052227,-0.0006391137622496768
1.0,WF3,ob,-0.0026386705694830814,-0.00042220814861726463
1.5,WF1,ob,0.001877259799168085,0.0001965022597759658
1.5,WF2,ob,-0.0009473309940012387,0.0012782275244994645
1.5,WF3,ob,-0.005255029056465799,-0.004222081486172757
2.0,WF1,ob,-0.0012708316929450625,-0.0005895067793280084
2.0,WF2,ob,-0.0015736664924096422,0.0019173412867490303
2.0,WF3,ob,-0.0026704331911122647,0.001266624445851905
3.0,WF1,ob,-0.0007201630578793639,0.0025545293770877775
3.0,WF2,ob,0.00035117531929373946,-0.0014912654452492458
3.0,WF3,ob,0.001505855498681985,-0.0018999366687777464
