risk_ATR,opportunity_label,n_4class,share_of_risk_4class,outcome_path,n_6path,share_of_risk_6path
0.25,DELIVERY,28446,0.29356037151702785,BOTH_DIRECTION_DELIVERY,66,0.0006811145510835913
0.25,DELIVERY,28446,0.29356037151702785,LONG_ONLY_DELIVERY,14621,0.1508875128998968
0.25,DELIVERY,28446,0.29356037151702785,NO_DELIVERY,49552,0.5113725490196078
0.25,DELIVERY,28446,0.29356037151702785,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808
0.25,DELIVERY,28446,0.29356037151702785,SHORT_ONLY_DELIVERY,13759,0.14199174406604748
0.25,DELIVERY,28446,0.29356037151702785,UNRESOLVED,15362,0.15853457172342622
0.25,NO_DELIVERY,49552,0.5113725490196078,BOTH_DIRECTION_DELIVERY,66,0.0006811145510835913
0.25,NO_DELIVERY,49552,0.5113725490196078,LONG_ONLY_DELIVERY,14621,0.1508875128998968
0.25,NO_DELIVERY,49552,0.5113725490196078,NO_DELIVERY,49552,0.5113725490196078
0.25,NO_DELIVERY,49552,0.5113725490196078,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808
0.25,NO_DELIVERY,49552,0.5113725490196078,SHORT_ONLY_DELIVERY,13759,0.14199174406604748
0.25,NO_DELIVERY,49552,0.5113725490196078,UNRESOLVED,15362,0.15853457172342622
0.25,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,BOTH_DIRECTION_DELIVERY,66,0.0006811145510835913
0.25,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,LONG_ONLY_DELIVERY,14621,0.1508875128998968
0.25,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,NO_DELIVERY,49552,0.5113725490196078
0.25,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808
0.25,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,SHORT_ONLY_DELIVERY,13759,0.14199174406604748
0.25,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,UNRESOLVED,15362,0.15853457172342622
0.25,UNRESOLVED,15362,0.15853457172342622,BOTH_DIRECTION_DELIVERY,66,0.0006811145510835913
0.25,UNRESOLVED,15362,0.15853457172342622,LONG_ONLY_DELIVERY,14621,0.1508875128998968
0.25,UNRESOLVED,15362,0.15853457172342622,NO_DELIVERY,49552,0.5113725490196078
0.25,UNRESOLVED,15362,0.15853457172342622,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808
0.25,UNRESOLVED,15362,0.15853457172342622,SHORT_ONLY_DELIVERY,13759,0.14199174406604748
