direction,risk_ATR,n,mean_R,median_R,p75_R,p90_R,pct_zero_R,pct_stopped,median_bars_to_best,p90_bars_to_best
LONG,0.25,96900,4.5165,0.0,0.0,4.7059,0.7957,0.9707,2.0,179.0
LONG,0.5,96900,4.1491,0.0,1.0847,7.2727,0.6504,0.9614,3.0,235.0
LONG,0.75,96900,4.0004,0.0,1.4493,7.9739,0.5498,0.9528,4.0,289.0
LONG,1.0,96900,3.7887,0.1087,1.6667,8.148,0.4879,0.9445,6.0,375.0
LONG,1.5,96900,3.5251,0.2778,2.2727,8.4848,0.4029,0.9272,12.0,546.0
LONG,2.0,96900,3.2986,0.3595,2.5,8.4467,0.348,0.9129,20.0,690.0
LONG,3.0,96900,2.9439,0.5171,2.6282,7.9762,0.2859,0.8849,42.0,1001.0
SHORT,0.25,96900,3.231,0.0,0.0,4.0404,0.8019,0.9889,2.0,109.0
SHORT,0.5,96900,3.0453,0.0,0.9615,6.1284,0.6543,0.987,2.0,138.0
SHORT,0.75,96900,2.8662,0.0,1.3333,6.6667,0.5557,0.9847,3.0,172.0
SHORT,1.0,96900,2.6802,0.0735,1.5385,6.5,0.4917,0.9831,5.0,215.0
SHORT,1.5,96900,2.4934,0.2551,1.9444,6.4957,0.4082,0.979,10.0,337.0
SHORT,2.0,96900,2.3028,0.3191,2.0292,6.2964,0.3578,0.9742,17.0,455.0
SHORT,3.0,96900,2.0377,0.4167,2.0436,5.6989,0.2953,0.9668,31.0,686.0
