symbol,block,n_contacts,no_direction_share,no_reach_share_of_no_direction,robust_share,reversal_rate,align_4h_delta,align_1h_delta,align_15m_delta,align_5m_delta,switch_atr_median
AG,TB1,1525,0.5666,0.934,0.1613,0.4675,0.0,0.0772,-0.0907,0.0571,1.25
AG,TB2,1367,0.5318,0.879,0.1814,0.3427,0.0,0.0472,0.057,0.0257,0.875
AG,TB3,1262,0.5808,0.9482,0.1751,0.4525,0.0612,0.08,-0.0661,-0.0383,1.25
AG,TB4,1445,0.6561,0.9293,0.1689,0.3934,0.0259,0.0387,0.0777,0.1059,1.25
AL,TB1,1812,0.4807,0.8439,0.1909,0.4422,-0.0549,0.0717,0.1008,0.1123,0.875
AL,TB2,2098,0.4766,0.77,0.1973,0.3696,0.0,0.0272,-0.1019,0.0238,0.875
AL,TB3,1431,0.5618,0.8893,0.1712,0.4408,0.0068,-0.0198,0.0232,-0.009,1.25
AL,TB4,1649,0.5567,0.8769,0.2153,0.4085,0.0623,0.1392,0.147,0.0989,1.25
AU,TB1,1317,0.514,0.9084,0.164,0.4259,0.1008,0.1054,0.0025,-0.0051,1.25
AU,TB2,1408,0.5838,0.9465,0.152,0.2944,0.1069,0.0356,0.008,0.0338,0.875
AU,TB3,1406,0.6465,0.9703,0.1515,0.4225,-0.174,0.0308,-0.0517,0.0418,1.75
AU,TB4,1444,0.6572,0.9347,0.1641,0.2658,0.0339,0.0831,0.0319,0.042,0.875
CF,TB1,2065,0.4707,0.749,0.153,0.4684,0.1195,0.1642,-0.1396,-0.1043,1.25
CF,TB2,2286,0.486,0.73,0.1903,0.4,-0.0292,0.0331,0.054,0.0336,1.25
CF,TB3,1910,0.4843,0.7222,0.167,0.4796,0.0,0.0594,-0.0129,-0.0634,1.25
CF,TB4,1565,0.4741,0.8652,0.2141,0.4,-0.1532,-0.0982,-0.04,0.0655,1.25
CU,TB1,1358,0.4904,0.9129,0.2518,0.538,0.0401,0.0046,-0.0621,-0.069,1.25
CU,TB2,1551,0.5538,0.9092,0.2308,0.3436,-0.0076,0.0182,-0.0702,0.0318,1.25
