block,direction_stability,n,share
TB1,ROBUST_LONG,2153,0.0949
TB1,ROBUST_SHORT,2123,0.0936
TB1,RISK_DEPENDENT,4281,0.1887
TB1,NO_DIRECTION,11755,0.5181
TB1,UNRESOLVED,2376,0.1047
TB2,ROBUST_LONG,2588,0.0999
TB2,ROBUST_SHORT,2773,0.1071
TB2,RISK_DEPENDENT,5452,0.2105
TB2,NO_DIRECTION,13836,0.5341
TB2,UNRESOLVED,1254,0.0484
TB3,ROBUST_LONG,2394,0.098
TB3,ROBUST_SHORT,2270,0.0929
TB3,RISK_DEPENDENT,4780,0.1956
TB3,NO_DIRECTION,12946,0.5297
TB3,UNRESOLVED,2050,0.0839
TB4,ROBUST_LONG,2290,0.0959
TB4,ROBUST_SHORT,2311,0.0968
TB4,RISK_DEPENDENT,3982,0.1668
TB4,NO_DIRECTION,13299,0.5572
TB4,UNRESOLVED,1987,0.0832
ALL,ROBUST_LONG,9425,0.0973
ALL,ROBUST_SHORT,9477,0.0978
ALL,RISK_DEPENDENT,18495,0.1909
ALL,NO_DIRECTION,51836,0.5349
ALL,UNRESOLVED,7667,0.0791
