symbol,liquidity_id,contact_number,risk_ATR,rr_direction_frozen,rr_direction_recon,long_R_lower_frozen,long_R_lower_recon,short_R_upper_frozen,short_R_upper_recon,match
AG,AG|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-01-02 13:30:00|7622.0,1,0.25,TRADEOFF_OR_OVERLAP,TRADEOFF_OR_OVERLAP,0.0,0.0,0.4651,0.4651,True
AG,AG|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-01-02 13:30:00|7622.0,1,0.5,TRADEOFF_OR_OVERLAP,TRADEOFF_OR_OVERLAP,0.0,0.0,0.2326,0.2326,True
AG,AG|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-01-02 13:30:00|7622.0,1,0.75,LONG_DOMINATES,LONG_DOMINATES,0.9302,0.9302,0.155,0.155,True
AG,AG|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-01-02 13:30:00|7622.0,1,1.0,SHORT_DOMINATES,SHORT_DOMINATES,0.6977,0.6977,2.6744,2.6744,True
AG,AG|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-01-02 13:30:00|7622.0,1,1.5,SHORT_DOMINATES,SHORT_DOMINATES,0.4651,0.4651,1.7829,1.7829,True
AG,AG|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-01-02 13:30:00|7622.0,1,2.0,SHORT_DOMINATES,SHORT_DOMINATES,0.3488,0.3488,1.3372,1.3372,True
AG,AG|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-01-02 13:30:00|7622.0,1,3.0,SHORT_DOMINATES,SHORT_DOMINATES,0.2326,0.2326,0.8915,0.8915,True
AG,AG|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-01-02 10:30:00|7626.0,1,0.25,TRADEOFF_OR_OVERLAP,TRADEOFF_OR_OVERLAP,0.0,0.0,0.4651,0.4651,True
AG,AG|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-01-02 10:30:00|7626.0,1,0.5,TRADEOFF_OR_OVERLAP,TRADEOFF_OR_OVERLAP,0.0,0.0,0.2326,0.2326,True
AG,AG|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-01-02 10:30:00|7626.0,1,0.75,LONG_DOMINATES,LONG_DOMINATES,0.9302,0.9302,0.155,0.155,True
