symbol,n5,n15,n15_disc,atr15_nan,first_end,last_end
AG,44451,14817,0,1,2025-01-02T09:15:00.000000000,2026-09-04T15:00:00.000000000
AL,37323,12441,0,1,2025-01-02T09:15:00.000000000,2026-09-04T15:00:00.000000000
AU,44451,14817,0,1,2025-01-02T09:15:00.000000000,2026-09-04T15:00:00.000000000
CF,27819,9273,0,1,2025-01-02T09:15:00.000000000,2026-09-04T15:00:00.000000000
CU,37323,12441,0,1,2025-01-02T09:15:00.000000000,2026-09-04T15:00:00.000000000
I,27819,9273,0,1,2025-01-02T09:15:00.000000000,2026-09-04T15:00:00.000000000
M,27819,9273,0,1,2025-01-02T09:15:00.000000000,2026-09-04T15:00:00.000000000
MA,27819,9273,0,1,2025-01-02T09:15:00.000000000,2026-09-04T15:00:00.000000000
NI,37323,12441,0,1,2025-01-02T09:15:00.000000000,2026-09-04T15:00:00.000000000
P,27819,9273,0,1,2025-01-02T09:15:00.000000000,2026-09-04T15:00:00.000000000
RB,27819,9273,0,1,2025-01-02T09:15:00.000000000,2026-09-04T15:00:00.000000000
RU,27819,9273,0,1,2025-01-02T09:15:00.000000000,2026-09-04T15:00:00.000000000
SC,44449,14815,1,1,2025-01-02T09:15:00.000000000,2026-09-04T15:00:00.000000000
SN,37323,12441,0,1,2025-01-02T09:15:00.000000000,2026-09-04T15:00:00.000000000
TA,27819,9273,0,1,2025-01-02T09:15:00.000000000,2026-09-04T15:00:00.000000000
