wf,action,h,scale,target_bin,risk_bin,n_available,E_R_lower,E_R_upper,ambiguity_gap_R,target_first_rate,gap_invalid_rate
WF0,OUTWARD,2,0.2,1-2,0.25-0.5,1347,-0.08897850889878614,-0.07688478251934548,0.012093726379440665,0.1945063103192279,0.0
WF0,OUTWARD,2,0.2,0.5-1,0.5-1,1375,0.07372507759994626,0.08334084201145298,0.00961576441150673,0.5112727272727273,0.0
WF0,OUTWARD,2,0.2,2-3,0.25-0.5,527,-0.319146847168735,-0.2936092127601329,0.02553763440860215,0.09297912713472485,0.0
WF0,OUTWARD,2,0.2,1-2,0.5-1,1583,-0.0018982228076938822,0.006176911219426899,0.008075134027120784,0.32596336070751736,0.0
WF0,OUTWARD,2,0.2,1-2,1-2,1068,0.06465514230472864,0.06465514230472864,0.0,0.4541198501872659,0.0
WF0,OUTWARD,2,0.2,3-5,0.25-0.5,221,-0.6525469649654915,-0.6525469649654915,0.0,0.04524886877828054,0.0
WF0,OUTWARD,2,0.2,2-3,0.5-1,594,-0.16322738946884555,-0.16322738946884555,0.0,0.1734006734006734,0.0
WF0,OUTWARD,2,0.2,>=5,0.25-0.5,165,-1.0,-1.0,0.0,0.0,0.0
WF0,OUTWARD,2,0.2,3-5,0.5-1,403,-0.1447457449956649,-0.1447457449956649,0.0,0.10918114143920596,0.0
WF0,OUTWARD,2,0.2,>=5,<0.25,90,-1.0,-1.0,0.0,0.0,0.0
WF0,OUTWARD,2,0.2,>=5,1-2,168,-0.6863917742427144,-0.6863917742427144,0.0,0.041666666666666664,0.0
WF0,OUTWARD,2,0.2,<0.5,0.25-0.5,175,-0.2602264627466001,-0.20594074846088586,0.054285714285714284,0.38285714285714284,0.0
WF0,OUTWARD,2,0.2,1-2,2-3,201,-0.09581408956466773,-0.09581408956466773,0.0,0.5074626865671642,0.0
WF0,OUTWARD,2,0.2,0.5-1,1-2,803,-0.04045148007884618,-0.0304705276978938,0.00998095238095238,0.5828144458281445,0.0
WF0,OUTWARD,2,0.2,2-3,<0.25,393,-0.4509971972154659,-0.4509971972154659,0.0,0.03816793893129771,0.0
WF0,OUTWARD,2,0.2,0.5-1,0.25-0.5,778,-0.10073904431973624,-0.09292654431973624,0.0078125,0.27892030848329047,0.0
WF0,OUTWARD,2,0.2,3-5,>=3,70,0.13639990698082036,0.13639990698082036,0.0,0.42857142857142855,0.0
WF0,OUTWARD,2,0.2,1-2,<0.25,966,-0.2534433706671156,-0.2534433706671156,0.0,0.08488612836438923,0.0
WF0,OUTWARD,2,0.2,3-5,2-3,89,0.3960830613997956,0.3960830613997956,0.0,0.3146067415730337,0.0
WF0,OUTWARD,2,0.2,>=5,0.5-1,206,-0.6770771128149141,-0.6770771128149141,0.0,0.03398058252427184,0.0
WF0,OUTWARD,2,0.2,<0.5,0.5-1,614,-0.12134512696102968,-0.11869853162407744,0.0026465953369522563,0.5960912052117264,0.0
WF0,OUTWARD,2,0.2,0.5-1,<0.25,481,-0.23229230013922245,-0.21150227934920166,0.02079002079002079,0.17463617463617465,0.0
WF0,OUTWARD,2,0.2,2-3,1-2,406,-0.08423193096758408,-0.08423193096758408,0.0,0.27832512315270935,0.0
WF1,OUTWARD,2,0.2,3-5,0.5-1,402,-0.16595591518868813,-0.16595591518868813,0.0,0.13681592039800994,0.0
WF1,OUTWARD,2,0.2,1-2,<0.25,1161,-0.34661947544497507,-0.33971697328794315,0.006902502157031924,0.07838070628768304,0.0
WF1,OUTWARD,2,0.2,1-2,0.5-1,2195,-0.09039480833191069,-0.08878294501791972,0.0016118633139909737,0.3084282460136674,0.0
WF1,OUTWARD,2,0.2,0.5-1,1-2,1022,0.03913612963307013,0.04243951995471603,0.0033033903216459,0.6487279843444227,0.0
WF1,OUTWARD,2,0.2,>=5,0.5-1,173,-0.6218185222152951,-0.6218185222152951,0.0,0.04046242774566474,0.0
WF1,OUTWARD,2,0.2,1-2,>=3,108,-0.2136167485692419,-0.2136167485692419,0.0,0.35185185185185186,0.0
WF1,OUTWARD,2,0.2,3-5,0.25-0.5,321,-0.714316034119567,-0.714316034119567,0.0,0.028037383177570093,0.0
WF1,OUTWARD,2,0.2,>=5,>=3,40,-0.4112369719760521,-0.4112369719760521,0.0,0.15,0.0
WF1,OUTWARD,2,0.2,1-2,1-2,1254,-0.08368579166771466,-0.07880178678370978,0.004884004884004884,0.39792663476874,0.0
WF1,OUTWARD,2,0.2,1-2,0.25-0.5,1623,0.07724512726647575,0.07888554721398232,0.0016404199475065617,0.19531731361675908,0.0
WF1,OUTWARD,2,0.2,2-3,0.25-0.5,722,-0.04595767389584595,-0.04595767389584595,0.0,0.1038781163434903,0.0
WF1,OUTWARD,2,0.2,0.5-1,0.25-0.5,1178,-0.11161913999199391,-0.10816788891347795,0.003451251078515962,0.2775891341256367,0.0
WF1,OUTWARD,2,0.2,<0.5,0.5-1,735,-0.03400731632310693,-0.024584064733642805,0.009423251589464124,0.6653061224489796,0.0
WF1,OUTWARD,2,0.2,2-3,2-3,133,0.37818463688792847,0.37818463688792847,0.0,0.46616541353383456,0.0
WF1,OUTWARD,2,0.2,0.5-1,<0.25,598,-0.6919506833231592,-0.6842583756308515,0.007692307692307692,0.06688963210702341,0.0
WF1,OUTWARD,2,0.2,0.5-1,0.5-1,1657,-0.10764315375619155,-0.08751486884881518,0.020128284907376382,0.43270971635485816,0.0
WF1,OUTWARD,2,0.2,2-3,0.5-1,846,-0.07154847699885283,-0.07154847699885283,0.0,0.1950354609929078,0.0
WF1,OUTWARD,2,0.2,<0.5,1-2,698,-0.06093311080991365,-0.059362513581164685,0.0015705972287489557,0.7220630372492837,0.0
WF1,OUTWARD,2,0.2,2-3,>=3,89,0.49568653949482794,0.49568653949482794,0.0,0.5617977528089888,0.0
WF1,OUTWARD,2,0.2,3-5,1-2,330,-0.2562181070589901,-0.2562181070589901,0.0,0.13636363636363635,0.0
WF1,OUTWARD,2,0.2,<0.5,>=3,38,0.06141702444464358,0.06141702444464358,0.0,0.9736842105263158,0.0
WF1,OUTWARD,2,0.2,2-3,1-2,555,-0.09714883364785251,-0.09714883364785251,0.0,0.24864864864864866,0.0
WF1,OUTWARD,2,0.2,>=5,2-3,79,-0.1336826024814306,-0.1336826024814306,0.0,0.12658227848101267,0.0
WF1,OUTWARD,2,0.2,>=5,1-2,207,-0.6002340930880197,-0.6002340930880197,0.0,0.043478260869565216,0.0
WF1,OUTWARD,2,0.2,1-2,2-3,238,0.04204183808484008,0.04204183808484008,0.0,0.5336134453781513,0.0
WF1,OUTWARD,2,0.2,3-5,<0.25,214,-0.5679413664235009,-0.5679413664235009,0.0,0.02336448598130841,0.0
WF1,OUTWARD,2,0.2,<0.5,0.25-0.5,259,-0.2254215141107974,-0.12374506065362904,0.10167645345716833,0.3667953667953668,0.0
WF2,OUTWARD,2,0.2,2-3,<0.25,551,0.6197632739025273,0.6197632739025273,0.0,0.12341197822141561,0.0
WF1,OUTWARD,2,0.2,0.5-1,2-3,210,0.033840326970752725,0.033840326970752725,0.0,0.6714285714285714,0.0
WF2,OUTWARD,2,0.2,2-3,1-2,433,-0.2096805966777454,-0.20018819792355141,0.00949239875419397,0.22401847575057737,0.0
WF2,OUTWARD,2,0.2,1-2,2-3,353,-0.024912232209459376,-0.024912232209459376,0.0,0.5240793201133145,0.0
WF2,OUTWARD,2,0.2,3-5,1-2,292,-0.23360366304875627,-0.23360366304875627,0.0,0.1506849315068493,0.0
WF2,OUTWARD,2,0.2,<0.5,1-2,603,0.02977381117959459,0.02977381117959459,0.0,0.8126036484245439,0.0
WF2,OUTWARD,2,0.2,1-2,1-2,1277,-0.1022264942876044,-0.1022264942876044,0.0,0.39937353171495693,0.0
WF2,OUTWARD,2,0.2,1-2,<0.25,1310,-0.255018885522397,-0.24783110474971057,0.007187780772686433,0.07099236641221374,0.0
WF2,OUTWARD,2,0.2,0.5-1,1-2,897,0.010691317772484474,0.012266120922090772,0.0015748031496062992,0.6387959866220736,0.0
WF2,OUTWARD,2,0.2,1-2,0.25-0.5,1723,-0.17994817651020883,-0.17057809882038993,0.00937007768981893,0.1717933836331979,0.0
WF2,OUTWARD,2,0.2,3-5,<0.25,254,-0.05295872139992309,-0.05295872139992309,0.0,0.04330708661417323,0.0
WF2,OUTWARD,2,0.2,3-5,0.25-0.5,365,-0.3696983812371008,-0.3696983812371008,0.0,0.0547945205479452,0.0
WF2,OUTWARD,2,0.2,>=5,0.5-1,149,-0.20581709561576075,-0.20581709561576075,0.0,0.087248322147651,0.0
WF3,OUTWARD,2,0.2,<0.5,2-3,106,-0.15472783263765033,-0.15472783263765033,0.0,0.6886792452830188,0.0
WF3,OUTWARD,2,0.2,1-2,0.5-1,1762,-0.014815836053303838,-0.00890185755868018,0.0059139784946236566,0.2922814982973893,0.0
WF2,OUTWARD,2,0.2,<0.5,0.5-1,602,-0.020440033613998602,-0.020440033613998602,0.0,0.6096345514950167,0.0
WF2,OUTWARD,2,0.2,<0.5,<0.25,48,-0.5032814407814408,-0.37828144078144077,0.125,0.1875,0.0
WF2,OUTWARD,2,0.2,1-2,0.5-1,1931,-0.08659429896013965,-0.08250507962928465,0.004089219330855019,0.3096841015018125,0.0
WF2,OUTWARD,2,0.2,0.5-1,<0.25,514,0.00890890106400026,0.10034858977995356,0.0914396887159533,0.19066147859922178,0.0
WF2,OUTWARD,2,0.2,0.5-1,0.5-1,1375,-0.23007103619406993,-0.2014198959708773,0.02865114022319263,0.39054545454545453,0.0
WF2,OUTWARD,2,0.2,>=5,2-3,32,-0.10689433439059842,-0.10689433439059842,0.0,0.09375,0.0
WF2,OUTWARD,2,0.2,1-2,>=3,115,-0.002670834921328466,-0.002670834921328466,0.0,0.48695652173913045,0.0
WF2,OUTWARD,2,0.2,0.5-1,0.25-0.5,1130,-0.020072245188805377,-0.020072245188805377,0.0,0.315929203539823,0.0
WF2,OUTWARD,2,0.2,2-3,0.25-0.5,632,-0.14371329749392237,-0.11003982810616725,0.0336734693877551,0.11075949367088607,0.0
WF2,OUTWARD,2,0.2,>=5,0.25-0.5,106,-0.7542623258683944,-0.7542623258683944,0.0,0.018867924528301886,0.0
WF3,OUTWARD,2,0.2,0.5-1,0.5-1,1486,-0.0005211178351520368,0.03650402751029478,0.0370251453454468,0.48115746971736206,0.0
WF2,OUTWARD,2,0.2,3-5,0.5-1,337,-0.08956927745280259,-0.08956927745280259,0.0,0.142433234421365,0.0
WF3,OUTWARD,2,0.2,3-5,1-2,363,-0.1990367285688935,-0.1990367285688935,0.0,0.1487603305785124,0.0
WF2,OUTWARD,2,0.2,2-3,0.5-1,785,0.0912152030694359,0.0912152030694359,0.0,0.2178343949044586,0.0
WF3,OUTWARD,2,0.2,>=5,<0.25,132,-0.5370967852695576,-0.5370967852695576,0.0,0.022727272727272728,0.0
WF3,OUTWARD,2,0.2,0.5-1,1-2,1048,0.033297753325151766,0.033297753325151766,0.0,0.607824427480916,0.0
WF2,OUTWARD,2,0.2,2-3,2-3,115,-0.07032049993477262,-0.07032049993477262,0.0,0.3130434782608696,0.0
WF2,OUTWARD,2,0.2,0.5-1,2-3,192,-0.015234852245288784,-0.015234852245288784,0.0,0.6927083333333334,0.0
WF3,OUTWARD,2,0.2,2-3,0.5-1,810,-0.18474511395546445,-0.18474511395546445,0.0,0.17160493827160495,0.0
WF3,OUTWARD,2,0.2,0.5-1,0.25-0.5,913,0.20549944880989435,0.2314723311770306,0.02597288236713624,0.35815991237677985,0.0
WF3,OUTWARD,2,0.2,1-2,<0.25,1147,-0.08344730337618328,-0.08344730337618328,0.0,0.07933740191804708,0.0
WF3,OUTWARD,2,0.2,2-3,<0.25,581,0.034093779448046924,0.034093779448046924,0.0,0.0757314974182444,0.0
WF3,OUTWARD,2,0.2,2-3,0.25-0.5,610,-0.2680857585432433,-0.2680857585432433,0.0,0.09508196721311475,0.0
WF3,OUTWARD,2,0.2,3-5,0.25-0.5,369,-0.45422429843243156,-0.45422429843243156,0.0,0.04878048780487805,0.0
WF3,OUTWARD,2,0.2,1-2,1-2,1068,-0.004509424672991248,0.00033971325804323056,0.004849137931034483,0.4241573033707865,0.0
WF3,OUTWARD,2,0.2,<0.5,0.5-1,626,0.01137887722614726,0.03632562908983203,0.024946751863684773,0.6932907348242812,0.0
WF3,OUTWARD,2,0.2,3-5,0.5-1,416,-0.6090638417408593,-0.6090638417408593,0.0,0.055288461538461536,0.0
WF3,OUTWARD,2,0.2,<0.5,1-2,543,0.06585795259711569,0.07979847304321235,0.013940520446096654,0.8250460405156538,0.0
WF3,OUTWARD,2,0.2,2-3,2-3,134,0.2659459402791697,0.2659459402791697,0.0,0.43283582089552236,0.0
WF3,OUTWARD,2,0.2,3-5,<0.25,342,-0.8135956052906773,-0.8135956052906773,0.0,0.008771929824561403,0.0
WF3,OUTWARD,2,0.2,0.5-1,<0.25,584,-0.1855277081707216,-0.16782880657188437,0.017698901598837257,0.14383561643835616,0.0
WF3,OUTWARD,2,0.2,2-3,1-2,490,-0.20367516866796836,-0.20367516866796836,0.0,0.22244897959183674,0.0
WF3,OUTWARD,2,0.2,2-3,>=3,79,-0.15762055892106785,-0.15762055892106785,0.0,0.20253164556962025,0.0
WF3,OUTWARD,2,0.2,1-2,0.25-0.5,1372,-0.17063562113342962,-0.15444727118038834,0.016188349953041276,0.17784256559766765,0.0
WF3,OUTWARD,2,0.2,>=5,0.25-0.5,130,-0.8156825878002025,-0.8156825878002025,0.0,0.007692307692307693,0.0
WF3,OUTWARD,2,0.2,3-5,2-3,105,-0.6423887321503029,-0.6423887321503029,0.0,0.10476190476190476,0.0
WF3,OUTWARD,2,0.2,<0.5,0.25-0.5,232,0.49969208261673964,0.522393232042027,0.02270114942528736,0.6896551724137931,0.0
WF3,OUTWARD,2,0.2,1-2,2-3,232,-0.16583275193915079,-0.16583275193915079,0.0,0.46120689655172414,0.0
WF3,OUTWARD,2,0.2,3-5,>=3,73,0.19100883375744182,0.19100883375744182,0.0,0.2054794520547945,0.0
WF0,OUTWARD,2,0.2,2-3,2-3,78,-0.0900842827675829,-0.0900842827675829,0.0,0.38461538461538464,0.0
WF0,OUTWARD,2,0.2,2-3,>=3,41,0.4865123017807282,0.4865123017807282,0.0,0.6585365853658537,0.0
WF0,OUTWARD,2,0.2,3-5,1-2,251,-0.5282205971295046,-0.5282205971295046,0.0,0.11553784860557768,0.0
WF0,OUTWARD,2,0.2,0.5-1,>=3,69,0.11397836958875864,0.11397836958875864,0.0,0.6376811594202898,0.0
WF0,OUTWARD,2,0.2,>=5,2-3,43,-0.8666666666666666,-0.8666666666666666,0.0,0.023255813953488372,0.0
WF0,OUTWARD,2,0.2,>=5,>=3,38,-0.747867803837953,-0.747867803837953,0.0,0.02631578947368421,0.0
WF0,OUTWARD,2,0.2,<0.5,2-3,70,0.06435889262896018,0.06435889262896018,0.0,0.7857142857142857,0.0
WF0,OUTWARD,2,0.2,3-5,<0.25,184,-0.25723964223106743,-0.25723964223106743,0.0,0.05434782608695652,0.0
WF1,OUTWARD,2,0.2,>=5,<0.25,100,-1.0,-1.0,0.0,0.0,0.0
WF1,OUTWARD,2,0.2,2-3,<0.25,439,-0.5073312665665305,-0.5073312665665305,0.0,0.03416856492027335,0.0
WF1,OUTWARD,2,0.2,3-5,2-3,120,-0.4380249878576178,-0.4380249878576178,0.0,0.13333333333333333,0.0
WF2,OUTWARD,2,0.2,>=5,1-2,100,-0.47273526339458843,-0.47273526339458843,0.0,0.08,0.0
WF2,OUTWARD,2,0.2,>=5,>=3,30,-0.532656995865681,-0.532656995865681,0.0,0.06666666666666667,0.0
WF3,OUTWARD,2,0.2,>=5,1-2,130,-0.8000188826790797,-0.8000188826790797,0.0,0.023076923076923078,0.0
WF3,OUTWARD,2,0.2,>=5,0.5-1,130,-0.19720743843044272,-0.19720743843044272,0.0,0.06923076923076923,0.0
WF0,OUTWARD,2,0.2,0.5-1,2-3,132,0.023392957801654634,0.023392957801654634,0.0,0.6515151515151515,0.0
WF2,OUTWARD,2,0.2,3-5,2-3,112,0.010380883035764532,0.010380883035764532,0.0,0.19642857142857142,0.0
WF3,OUTWARD,2,0.2,>=5,>=3,40,0.4015109890109891,0.4015109890109891,0.0,0.1,0.0
WF3,OUTWARD,2,0.2,1-2,>=3,148,0.22924275209054898,0.22924275209054898,0.0,0.6486486486486487,0.0
WF0,OUTWARD,2,0.2,<0.5,1-2,352,-0.09080001233428817,-0.09080001233428817,0.0,0.7073863636363636,0.0
WF1,OUTWARD,2,0.2,3-5,>=3,37,-0.19132663629669358,-0.19132663629669358,0.0,0.13513513513513514,0.0
WF0,OUTWARD,2,0.2,1-2,>=3,69,0.03542910539569258,0.03542910539569258,0.0,0.5797101449275363,0.0
WF1,OUTWARD,2,0.2,<0.5,2-3,90,0.004929335861576125,0.004929335861576125,0.0,0.8,0.0
WF1,OUTWARD,2,0.2,<0.5,<0.25,62,-0.21466973886328727,-0.21466973886328727,0.0,0.25806451612903225,0.0
WF1,OUTWARD,2,0.2,>=5,0.25-0.5,139,-0.47916666666666674,-0.47916666666666674,0.0,0.02877697841726619,0.0
WF2,OUTWARD,2,0.2,>=5,<0.25,80,0.8985148728299275,0.8985148728299275,0.0,0.0375,0.0
WF2,OUTWARD,2,0.2,3-5,>=3,83,-0.37454121622717196,-0.37454121622717196,0.0,0.1686746987951807,0.0
WF2,OUTWARD,2,0.2,<0.5,>=3,29,0.006872380964102458,0.006872380964102458,0.0,0.8620689655172413,0.0
WF3,OUTWARD,2,0.2,>=5,2-3,77,-0.7742448330683626,-0.7742448330683626,0.0,0.025974025974025976,0.0
WF3,OUTWARD,2,0.2,0.5-1,2-3,259,0.10949995387727149,0.10949995387727149,0.0,0.7451737451737451,0.0
WF0,OUTWARD,2,0.4,0.5-1,0.5-1,1375,0.07372507759994626,0.08334084201145298,0.00961576441150673,0.5112727272727273,0.0
WF0,OUTWARD,2,0.4,2-3,0.25-0.5,488,-0.2780018297498743,-0.2502848348556365,0.027716994894237783,0.09836065573770492,0.0
WF0,OUTWARD,2,0.4,1-2,0.5-1,1583,-0.0018982228076938822,0.006176911219426899,0.008075134027120784,0.32596336070751736,0.0
WF0,OUTWARD,2,0.4,1-2,1-2,1068,0.06465514230472864,0.06465514230472864,0.0,0.4541198501872659,0.0
WF0,OUTWARD,2,0.4,3-5,0.25-0.5,206,-0.6963309172532413,-0.6963309172532413,0.0,0.043689320388349516,0.0
WF0,OUTWARD,2,0.4,2-3,0.5-1,594,-0.16322738946884555,-0.16322738946884555,0.0,0.1734006734006734,0.0
WF0,OUTWARD,2,0.4,>=5,0.25-0.5,165,-1.0,-1.0,0.0,0.0,0.0
WF0,OUTWARD,2,0.4,3-5,0.5-1,403,-0.1447457449956649,-0.1447457449956649,0.0,0.10918114143920596,0.0
