scale,wf,signals,executed_trades,execution_rate,EV_censor_worst_per_signal,EV_R_lower_filled,win_rate,profit_factor,mean_R,median_R,total_R,max_drawdown_R,ambiguity_rate,gap_invalid_rate
0.2,WF1,4159,4095,0.9846116855013224,-0.0083119163189117,0.02653253353742583,0.6383394383394383,0.9770173549453456,-0.0083119163189117,0.375,-34.03729732594341,82.35459783492345,0.004087521038711229,0.015388314498677566
0.2,WF2,3584,3526,0.9838169642857143,0.06141350628942057,0.0807230791731149,0.6755530346001134,1.189286733545889,0.06141350628942057,0.4166671964870837,216.54402317649692,29.14167495834772,0.0030691964285714285,0.016183035714285716
0.2,WF3,3739,3692,0.9874297940625836,-0.017906110524553574,0.021090014064586934,0.6316359696641387,0.9513901764289326,-0.017906110524553574,0.391304347826087,-66.1093600566518,108.90323036457235,0.0016047071409467772,0.012570205937416421
0.2,WF0,3255,3190,0.9800307219662059,-0.06023572176721554,-0.023184083557320812,0.6087774294670847,0.8460320893930949,-0.06023572176721554,0.36285266457680254,-192.15195243741758,195.30047484638214,0.0064516129032258064,0.019969278033794162
0.4,WF1,5614,5525,0.9841467759173494,-0.02805763527192746,0.01897183398910831,0.598552036199095,0.9301089112365197,-0.02805763527192746,0.33783783783783783,-155.01843487739922,214.44481833144786,0.003206270039187745,0.015853224082650517
0.4,WF2,5026,4913,0.9775169120573021,0.01476271982515791,0.06097664237093015,0.6224302869936902,1.0390993221029654,0.01476271982515791,0.3888888888888889,72.52924250100081,105.8790441797201,0.0021886191802626344,0.02248308794269797
0.4,WF3,4948,4855,0.9812045270816492,-0.04455114482487316,0.011713018947707923,0.5868177136972194,0.8921755692299306,-0.04455114482487316,0.375,-216.29580812475916,217.24957299789983,0.0032336297493936943,0.018795472918350847
0.4,WF0,4543,4452,0.9799691833590138,-0.0821458493046599,-0.03145610834423936,0.5640161725067385,0.8115850998947213,-0.0821458493046599,0.3076923076923077,-365.7133211043459,370.6837146976812,0.004622496147919877,0.020030816640986132
0.8,WF1,5442,5331,0.9796030871003307,-0.0011166846509997185,0.06013278003693421,0.5468017257550178,0.9975359909459937,-0.0011166846509997185,0.31666666666666665,-5.9530458744795,170.22578867686633,0.004410143329658214,0.020396912899669238
0.8,WF2,4999,4851,0.9703940788157631,0.06252742861937205,0.08215842037215491,0.5730777159348588,1.1464609156120589,0.06252742861937205,0.375,303.32055623257384,73.58297900835252,0.003800760152030406,0.02960592118423685
0.8,WF3,4870,4783,0.9821355236139631,0.027334845420898816,0.07076543160779233,0.5465189211791762,1.0602778080443334,0.027334845420898816,0.3333333333333333,130.74256564815903,94.59176623185009,0.002053388090349076,0.01786447638603696
0.8,WF0,4308,4202,0.9753946146703807,-0.02885980920893709,0.017384961781113532,0.5264159923845788,0.9390608450774104,-0.02885980920893709,0.29411764705882354,-121.26891829595365,241.65924830798258,0.003714020427112349,0.02460538532961931
1.2,WF1,6827,6678,0.9781748938040135,-0.05692307740499277,0.02939975303848615,0.5151242887091944,0.882602745240722,-0.05692307740499277,0.26969696969696966,-380.1323109105417,383.4032368685313,0.0017577266735022705,0.021825106195986523
1.2,WF2,6626,6486,0.9788711137941443,-0.028263894490985687,0.048524435257272805,0.5191181005242059,0.9412248734631186,-0.028263894490985687,0.2857142857142857,-183.31961966853316,234.69849175551434,0.002112888620585572,0.02112888620585572
1.2,WF3,6564,6417,0.9776051188299817,-0.009674604713439554,0.08891673433068169,0.510363098020882,0.9802412672036467,-0.009674604713439554,0.24324324324324326,-62.08193844614162,149.45682249264567,0.0009140767824497258,0.022394881170018283
1.2,WF0,5832,5703,0.977880658436214,-0.14452955032361542,-0.05101187035510187,0.4641416798176398,0.7302840230708184,-0.14452955032361542,-1.0,-824.2520254955787,830.8916734456674,0.0017146776406035665,0.022119341563786008
