action,h,scale,target_bin,risk_bin,WF1_n,WF1_E_R_lower,WF1_ambiguity_gap_R,WF2_n,WF2_E_R_lower,WF2_ambiguity_gap_R,WF3_n,WF3_E_R_lower,WF3_ambiguity_gap_R,sample_gate,positive_3_of_3,ambiguity_gate,robust_positive_geometry
OUTWARD,2,0.2,1-2,0.25-0.5,1623,0.07724512726647575,0.0016404199475065617,1723,-0.17994817651020883,0.00937007768981893,1372,-0.17063562113342962,0.016188349953041276,True,False,True,False
OUTWARD,2,0.2,0.5-1,0.5-1,1657,-0.10764315375619155,0.020128284907376382,1375,-0.23007103619406993,0.02865114022319263,1486,-0.0005211178351520368,0.0370251453454468,True,False,True,False
OUTWARD,2,0.2,2-3,0.25-0.5,722,-0.04595767389584595,0.0,632,-0.14371329749392237,0.0336734693877551,610,-0.2680857585432433,0.0,True,False,True,False
OUTWARD,2,0.2,1-2,0.5-1,2195,-0.09039480833191069,0.0016118633139909737,1931,-0.08659429896013965,0.004089219330855019,1762,-0.014815836053303838,0.0059139784946236566,True,False,True,False
OUTWARD,2,0.2,1-2,1-2,1254,-0.08368579166771466,0.004884004884004884,1277,-0.1022264942876044,0.0,1068,-0.004509424672991248,0.004849137931034483,True,False,True,False
OUTWARD,2,0.2,3-5,0.25-0.5,321,-0.714316034119567,0.0,365,-0.3696983812371008,0.0,369,-0.45422429843243156,0.0,True,False,True,False
OUTWARD,2,0.2,2-3,0.5-1,846,-0.07154847699885283,0.0,785,0.0912152030694359,0.0,810,-0.18474511395546445,0.0,True,False,True,False
OUTWARD,2,0.2,>=5,0.25-0.5,139,-0.47916666666666674,0.0,106,-0.7542623258683944,0.0,130,-0.8156825878002025,0.0,False,False,True,False
OUTWARD,2,0.2,3-5,0.5-1,402,-0.16595591518868813,0.0,337,-0.08956927745280259,0.0,416,-0.6090638417408593,0.0,True,False,True,False
OUTWARD,2,0.2,>=5,<0.25,100,-1.0,0.0,80,0.8985148728299275,0.0,132,-0.5370967852695576,0.0,False,False,True,False
OUTWARD,2,0.2,>=5,1-2,207,-0.6002340930880197,0.0,100,-0.47273526339458843,0.0,130,-0.8000188826790797,0.0,False,False,True,False
OUTWARD,2,0.2,<0.5,0.25-0.5,259,-0.2254215141107974,0.10167645345716833,264,0.08329265337895624,0.008608815426997244,232,0.49969208261673964,0.02270114942528736,True,False,True,False
OUTWARD,2,0.2,1-2,2-3,238,0.04204183808484008,0.0,353,-0.024912232209459376,0.0,232,-0.16583275193915079,0.0,True,False,True,False
OUTWARD,2,0.2,0.5-1,1-2,1022,0.03913612963307013,0.0033033903216459,897,0.010691317772484474,0.0015748031496062992,1048,0.033297753325151766,0.0,True,True,True,True
OUTWARD,2,0.2,2-3,<0.25,439,-0.5073312665665305,0.0,551,0.6197632739025273,0.0,581,0.034093779448046924,0.0,True,False,True,False
OUTWARD,2,0.2,0.5-1,0.25-0.5,1178,-0.11161913999199391,0.003451251078515962,1130,-0.020072245188805377,0.0,913,0.20549944880989435,0.02597288236713624,True,False,True,False
OUTWARD,2,0.2,3-5,>=3,37,-0.19132663629669358,0.0,83,-0.37454121622717196,0.0,73,0.19100883375744182,0.0,False,False,True,False
OUTWARD,2,0.2,1-2,<0.25,1161,-0.34661947544497507,0.006902502157031924,1310,-0.255018885522397,0.007187780772686433,1147,-0.08344730337618328,0.0,True,False,True,False
OUTWARD,2,0.2,3-5,2-3,120,-0.4380249878576178,0.0,112,0.010380883035764532,0.0,105,-0.6423887321503029,0.0,False,False,True,False
OUTWARD,2,0.2,>=5,0.5-1,173,-0.6218185222152951,0.0,149,-0.20581709561576075,0.0,130,-0.19720743843044272,0.0,False,False,True,False
OUTWARD,2,0.2,<0.5,0.5-1,735,-0.03400731632310693,0.009423251589464124,602,-0.020440033613998602,0.0,626,0.01137887722614726,0.024946751863684773,True,False,True,False
OUTWARD,2,0.2,0.5-1,<0.25,598,-0.6919506833231592,0.007692307692307692,514,0.00890890106400026,0.0914396887159533,584,-0.1855277081707216,0.017698901598837257,True,False,True,False
OUTWARD,2,0.2,2-3,1-2,555,-0.09714883364785251,0.0,433,-0.2096805966777454,0.00949239875419397,490,-0.20367516866796836,0.0,True,False,True,False
OUTWARD,2,0.2,1-2,>=3,108,-0.2136167485692419,0.0,115,-0.002670834921328466,0.0,148,0.22924275209054898,0.0,False,False,True,False
OUTWARD,2,0.2,>=5,>=3,40,-0.4112369719760521,0.0,30,-0.532656995865681,0.0,40,0.4015109890109891,0.0,False,False,True,False
OUTWARD,2,0.2,2-3,2-3,133,0.37818463688792847,0.0,115,-0.07032049993477262,0.0,134,0.2659459402791697,0.0,False,False,True,False
OUTWARD,2,0.2,<0.5,1-2,698,-0.06093311080991365,0.0015705972287489557,603,0.02977381117959459,0.0,543,0.06585795259711569,0.013940520446096654,True,False,True,False
OUTWARD,2,0.2,2-3,>=3,89,0.49568653949482794,0.0,90,0.3171951887902831,0.0,79,-0.15762055892106785,0.0,False,False,True,False
OUTWARD,2,0.2,3-5,1-2,330,-0.2562181070589901,0.0,292,-0.23360366304875627,0.0,363,-0.1990367285688935,0.0,True,False,True,False
OUTWARD,2,0.2,<0.5,>=3,38,0.06141702444464358,0.0,29,0.006872380964102458,0.0,46,0.11102548008864997,0.0,False,True,True,False
OUTWARD,2,0.2,>=5,2-3,79,-0.1336826024814306,0.0,32,-0.10689433439059842,0.0,77,-0.7742448330683626,0.0,False,False,True,False
OUTWARD,2,0.2,3-5,<0.25,214,-0.5679413664235009,0.0,254,-0.05295872139992309,0.0,342,-0.8135956052906773,0.0,True,False,True,False
OUTWARD,2,0.2,0.5-1,2-3,210,0.033840326970752725,0.0,192,-0.015234852245288784,0.0,259,0.10949995387727149,0.0,False,False,True,False
OUTWARD,2,0.2,<0.5,2-3,90,0.004929335861576125,0.0,78,0.14186683987853832,0.0,106,-0.15472783263765033,0.0,False,False,True,False
OUTWARD,2,0.2,<0.5,<0.25,62,-0.21466973886328727,0.0,48,-0.5032814407814408,0.125,68,0.14803921568627457,0.0,False,False,True,False
