task,wf,model,half_life,auc,log_loss,brier,n_train,n_test,r2,spearman,mae
action_target_first,WF1,Linear,None,0.8263203297323515,0.3883635034759056,0.12180936980577604,634119,745031,,,
action_target_first,WF1,Linear,60,0.8256556664154129,0.38883445017308466,0.12193946129789404,634119,745031,,,
action_target_first,WF1,Linear,120,0.8258866739942796,0.38863923511926485,0.12186682996594819,634119,745031,,,
action_target_first,WF1,Linear,240,0.8260712797062878,0.38852540532201657,0.12186166339639555,634119,745031,,,
action_target_first,WF1,Linear,480,0.8262281630039753,0.3884149268241183,0.12183086663228342,634119,745031,,,
action_target_first,WF1,GBDT,None,0.8353998962824574,0.37437839395238404,0.11780302670976804,634119,745031,,,
action_target_first,WF1,GBDT,60,0.8343958411067944,0.37528860461791036,0.11816889233240765,634119,745031,,,
action_target_first,WF1,GBDT,120,0.8349496009447417,0.37478518035532055,0.11800009093809159,634119,745031,,,
action_target_first,WF1,GBDT,240,0.8350736031575126,0.3746479270621613,0.117921669824412,634119,745031,,,
action_target_first,WF1,GBDT,480,0.835176492330521,0.3744891678529254,0.11782505653950234,634119,745031,,,
action_target_first,WF2,Linear,None,0.8182856067452041,0.393519554239749,0.12320816286582188,1000000,720027,,,
action_target_first,WF2,Linear,60,0.8189779112387232,0.3932620020710015,0.12315749540054585,1000000,720027,,,
action_target_first,WF2,Linear,120,0.8192534180987452,0.39287394613865256,0.12306310889668619,1000000,720027,,,
action_target_first,WF2,Linear,240,0.8189830510118217,0.393031450843603,0.12309869580039826,1000000,720027,,,
action_target_first,WF2,Linear,480,0.8186518128417197,0.3932500903218608,0.12314773248982427,1000000,720027,,,
action_target_first,WF2,GBDT,None,0.8298857145776822,0.3775020398945428,0.11905008206206066,1000000,720027,,,
action_target_first,WF2,GBDT,60,0.829373273105396,0.3781650642793316,0.11929979704641533,1000000,720027,,,
action_target_first,WF2,GBDT,120,0.8298751170628804,0.37764008969693613,0.11913629384461591,1000000,720027,,,
action_target_first,WF2,GBDT,240,0.8301793985505281,0.3773303284411433,0.11902381875587971,1000000,720027,,,
