wf,feature_block,model_type,half_life,EV_censor_worst_per_signal,total_R_censor_worst
WF1,S1,HistGBR,480.0,-0.0020733854243023056,-6.5518979407952855
WF1,S2,HistGBR,480.0,0.016241304702721355,51.322522860599484
WF1,S3,HistGBR,480.0,-0.01126815652879379,-35.607374630988375
WF1,S4,HistGBR,480.0,-0.022323359988285975,-70.54181756298368
WF2,S1,HistGBR,480.0,0.030272696680828715,86.18636745031935
WF2,S2,HistGBR,480.0,0.061605871471175085,175.39191607843546
WF2,S3,HistGBR,480.0,0.03723460031310461,106.00690709140883
WF2,S4,HistGBR,480.0,0.057002496980047467,162.28610890219514
WF3,S1,Linear,60.0,0.09261621814834431,278.5895841902197
WF3,S2,Linear,60.0,0.055263755091063016,166.23337531391755
WF3,S3,Linear,60.0,0.08949408291816743,269.19820141784766
WF3,S4,Linear,60.0,0.06348336863129295,190.95797284292917
