wf,model_type,half_life,feature_block,score_ev_cw,if1_ev,if2_ev,if3_ev
WF1,Linear,None,S1,-0.06411040414634843,-0.06563252224388988,-0.039057712845718816,-0.08764097734943657
WF1,Linear,None,S2,-0.06925590915676359,-0.11301734465872153,-0.016639654042265837,-0.0781107287693034
WF1,Linear,None,S3,-0.06451177129924762,-0.07564028236055076,-0.0405189357266402,-0.07737609581055192
WF1,Linear,None,S4,-0.07767757517550414,-0.10829773277339712,-0.03657652197767905,-0.08815847077543623
WF1,Linear,60,S1,-0.05625008476482912,-0.061042707702419687,-0.03858521888359496,-0.06912232770847272
WF1,Linear,60,S2,-0.06348715177662159,-0.1183150309207261,-0.02334347032055015,-0.04880295408858853
WF1,Linear,60,S3,-0.049582051518121915,-0.08476162354054877,-0.055139823339167116,-0.008844707674649843
WF1,Linear,60,S4,-0.06176937433881274,-0.11044058991625426,-0.041542734246584834,-0.03332479885359909
WF1,Linear,120,S1,-0.05814368074217715,-0.06991823652960416,-0.0403353515607793,-0.06417745413614799
WF1,Linear,120,S2,-0.0646949597827473,-0.11682346710770089,-0.022482274778503546,-0.05477913746203747
WF1,Linear,120,S3,-0.04616839845909487,-0.07619019496912019,-0.05423103101700094,-0.008083969391163489
WF1,Linear,120,S4,-0.06462642133151192,-0.1075834470591114,-0.042142704185460636,-0.04415311274996373
WF1,Linear,240,S1,-0.05935202518354071,-0.06848966510103273,-0.036930053271250735,-0.07263635717833869
WF1,Linear,240,S2,-0.07053821146532858,-0.11816020180157867,-0.020354615204035458,-0.07309981739037165
WF1,Linear,240,S3,-0.05699432260142134,-0.07722469794496635,-0.05164744439086112,-0.042110825468436565
WF1,Linear,240,S4,-0.06455625071151717,-0.11472630420196854,-0.03363206588758828,-0.04531038204499469
WF1,Linear,480,S1,-0.06141177071346384,-0.0670610936724613,-0.03389053959343918,-0.08328367887449104
WF1,Linear,480,S2,-0.07000633572613048,-0.11530305894443582,-0.02096251793959777,-0.07375343029435787
WF1,Linear,480,S3,-0.06848773198225283,-0.07693898365925206,-0.05637687464688915,-0.07214733764061727
WF1,Linear,480,S4,-0.06406175633091517,-0.10829773277339712,-0.03413865150055688,-0.049748884718791526
WF1,HistGBR,None,S1,-0.02973889941712653,-0.08970940589240345,0.006992355613595975,-0.0064996479725721226
WF1,HistGBR,None,S2,-0.04109523875921376,-0.08970940589240345,-0.017045542678616694,-0.01653076770662114
WF1,HistGBR,None,S3,-0.04811019651471762,-0.08430375340171627,-0.002360507067363333,-0.057666329075073235
WF1,HistGBR,None,S4,-0.029989397214030402,-0.08430375340171627,-0.0024327758736529034,-0.003231662366722035
WF1,HistGBR,60,S1,-0.016442196316487814,-0.07520141397063157,0.02052953055596713,0.0053452944652009945
WF1,HistGBR,60,S2,-0.014773547717091712,-0.07520141397063157,0.018527089949549852,0.01235368086980658
WF1,HistGBR,60,S3,-0.017562596433255362,-0.08641287473366042,0.02192848012630041,0.01179660530759392
WF1,HistGBR,60,S4,-0.013981115694465007,-0.08641287473366042,0.027587660207559674,0.016881867442705725
WF1,HistGBR,120,S1,-0.010842224900067955,-0.07317521568327509,0.029863276125905093,0.010785264857166134
WF1,HistGBR,120,S2,-0.015394102447818137,-0.07317521568327509,0.02362673279491485,0.0033661755449058257
WF1,HistGBR,120,S3,-0.02101562817250972,-0.07332874708041691,0.047432879418944494,-0.03715101685605675
WF1,HistGBR,120,S4,-0.02534035460213792,-0.07332874708041691,0.03670912740822854,-0.03940144413422539
WF1,HistGBR,240,S1,-0.01712370512633569,-0.076015591557198,0.01859406737966355,0.006050408798527385
