wf,region,action,count,share
WF1,R1,SKIP,185,0.3978494623655914
WF1,R1,MARKET,65,0.13978494623655913
WF1,R1,LIMIT_RR3,59,0.12688172043010754
WF1,R1,REASSESS_RR3,156,0.33548387096774196
WF1,R2,SKIP,299,0.28639846743295017
WF1,R2,MARKET,291,0.27873563218390807
WF1,R2,LIMIT_RR3,235,0.22509578544061304
WF1,R2,REASSESS_RR3,219,0.20977011494252873
WF1,R3,SKIP,234,0.325
WF1,R3,MARKET,175,0.24305555555555555
WF1,R3,LIMIT_RR3,82,0.11388888888888889
WF1,R3,REASSESS_RR3,229,0.31805555555555554
WF1,R4,SKIP,312,0.3351235230934479
WF1,R4,MARKET,240,0.2577873254564984
WF1,R4,LIMIT_RR3,163,0.17508055853920515
WF1,R4,REASSESS_RR3,216,0.23200859291084855
WF2,R1,SKIP,164,0.43157894736842106
WF2,R1,MARKET,56,0.14736842105263157
WF2,R1,LIMIT_RR3,69,0.18157894736842106
WF2,R1,REASSESS_RR3,91,0.2394736842105263
WF2,R2,SKIP,301,0.3161764705882353
WF2,R2,MARKET,211,0.22163865546218486
WF2,R2,LIMIT_RR3,228,0.23949579831932774
WF2,R2,REASSESS_RR3,212,0.22268907563025211
WF2,R3,SKIP,184,0.24242424242424243
WF2,R3,MARKET,210,0.2766798418972332
WF2,R3,LIMIT_RR3,152,0.2002635046113307
WF2,R3,REASSESS_RR3,213,0.28063241106719367
WF2,R4,SKIP,253,0.33465608465608465
WF2,R4,MARKET,147,0.19444444444444445
WF2,R4,LIMIT_RR3,170,0.22486772486772486
WF2,R4,REASSESS_RR3,186,0.24603174603174602
WF3,R1,SKIP,131,0.3171912832929782
WF3,R1,MARKET,122,0.29539951573849876
WF3,R1,LIMIT_RR3,109,0.2639225181598063
WF3,R1,REASSESS_RR3,51,0.1234866828087167
WF3,R2,SKIP,126,0.13651137594799567
WF3,R2,MARKET,374,0.40520043336944744
WF3,R2,LIMIT_RR3,311,0.3369447453954496
WF3,R2,REASSESS_RR3,112,0.12134344528710726
WF3,R3,SKIP,86,0.12554744525547445
WF3,R3,MARKET,443,0.6467153284671533
WF3,R3,LIMIT_RR3,77,0.11240875912408758
WF3,R3,REASSESS_RR3,79,0.11532846715328467
WF3,R4,SKIP,229,0.232016210739615
WF3,R4,MARKET,248,0.2512664640324215
WF3,R4,LIMIT_RR3,281,0.2847011144883485
WF3,R4,REASSESS_RR3,229,0.232016210739615
