task,wf,model,selected_half_life,metric_name,metric_value,auc,brier,spearman,mae
action_target_first,WF1,GBDT,None,log_loss,0.37441981382997946,0.8351414530087149,0.11779289553284687,,
action_target_first,WF1,Linear,240,log_loss,0.3883693380334495,0.8262371023979191,0.12181794579790342,,
action_target_first,WF2,GBDT,480,log_loss,0.3772610233318646,0.8301864994655868,0.11898557453101101,,
action_target_first,WF2,Linear,480,log_loss,0.392930969741664,0.8190267481975987,0.12308188249770637,,
action_target_first,WF3,GBDT,480,log_loss,0.37255578711784454,0.8336454260692192,0.11734951624432781,,
action_target_first,WF3,Linear,None,log_loss,0.3863293210395645,0.8238001806921369,0.12109876240258664,,
wait_value,WF1,GBDT,240,r2,-0.029209965401900462,,,0.16733402001229733,0.9550579508955284
wait_value,WF1,Linear,120,r2,0.0008396643419449346,,,0.0992900968102124,0.9213532195301941
wait_value,WF2,GBDT,60,r2,-0.07280385580583926,,,0.16149330175510987,0.9764568428766104
wait_value,WF2,Linear,480,r2,0.00228747281011088,,,0.11595473640275898,0.9323323061055577
wait_value,WF3,GBDT,60,r2,-0.0004213464372300191,,,0.16837377530724643,1.0012746066650726
wait_value,WF3,Linear,480,r2,0.0019500488697493656,,,0.13083688562152465,0.9577505602475604
