wf,margin_R,share_best_alt_gt_margin,n_best_alt_gt_margin
WF1,0.0,0.5306962025316456,1677
WF1,0.05,0.5303797468354431,1676
WF1,0.1,0.5262658227848102,1663
WF1,0.25,0.4825949367088608,1525
WF1,0.5,0.39556962025316456,1250
WF1,1.0,0.04968354430379747,157
WF2,0.0,0.5451352300667369,1552
WF2,0.05,0.5447839831401475,1551
WF2,0.1,0.538110291534949,1532
WF2,0.25,0.4956094134176326,1411
WF2,0.5,0.3955040393396558,1126
WF2,1.0,0.07060063224446786,201
WF3,0.0,0.5545212765957447,1668
WF3,0.05,0.5525265957446809,1662
WF3,0.1,0.5485372340425532,1650
WF3,0.25,0.5056515957446809,1521
WF3,0.5,0.378656914893617,1139
WF3,1.0,0.05585106382978723,168
